民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
108,1,6,新店區,0歲,0,0,不相關,0.0,男,868
108,1,6,新店區,0歲,0,0,不相關,0.0,女,875
108,1,6,新店區,1歲,1,1,不相關,0.0,男,1063
108,1,6,新店區,1歲,1,1,不相關,0.0,女,916
108,1,6,新店區,2歲,2,2,不相關,0.0,男,1091
108,1,6,新店區,2歲,2,2,不相關,0.0,女,1010
108,1,6,新店區,3歲,3,3,不相關,0.0,男,1008
108,1,6,新店區,3歲,3,3,不相關,0.0,女,948
108,1,6,新店區,4歲,4,4,不相關,0.0,男,1045
108,1,6,新店區,4歲,4,4,不相關,0.0,女,956
108,1,6,新店區,5歲,5,5,不相關,0.0,男,982
108,1,6,新店區,5歲,5,5,不相關,0.0,女,950
108,1,6,新店區,6歲,6,6,不相關,0.0,男,1196
108,1,6,新店區,6歲,6,6,不相關,0.0,女,1158
108,1,6,新店區,7歲,7,7,不相關,0.0,男,1038
108,1,6,新店區,7歲,7,7,不相關,0.0,女,996
108,1,6,新店區,8歲,8,8,不相關,0.0,男,910
108,1,6,新店區,8歲,8,8,不相關,0.0,女,860
108,1,6,新店區,9歲,9,9,不相關,0.0,男,906
108,1,6,新店區,9歲,9,9,不相關,0.0,女,959
108,1,6,新店區,10歲,10,10,不相關,0.0,男,957
108,1,6,新店區,10歲,10,10,不相關,0.0,女,939
108,1,6,新店區,11歲,11,11,不相關,0.0,男,959
108,1,6,新店區,11歲,11,11,不相關,0.0,女,898
108,1,6,新店區,12歲,12,12,不相關,0.0,男,905
108,1,6,新店區,12歲,12,12,不相關,0.0,女,865
108,1,6,新店區,13歲,13,13,不相關,0.0,男,889
108,1,6,新店區,13歲,13,13,不相關,0.0,女,945
108,1,6,新店區,14歲,14,14,不相關,0.0,男,1092
108,1,6,新店區,14歲,14,14,不相關,0.0,女,989
108,1,6,新店區,15歲,15,15,不相關,0.0,男,1188
108,1,6,新店區,15歲,15,15,不相關,0.0,女,1153
108,1,6,新店區,16歲,16,16,不相關,0.0,男,1340
108,1,6,新店區,16歲,16,16,不相關,0.0,女,1292
108,1,6,新店區,17歲,17,17,不相關,0.0,男,1455
108,1,6,新店區,17歲,17,17,不相關,0.0,女,1333
108,1,6,新店區,18歲,18,18,完全落入,1.0,男,1702
108,1,6,新店區,18歲,18,18,完全落入,1.0,女,1686
108,1,6,新店區,19歲,19,19,完全落入,1.0,男,1677
108,1,6,新店區,19歲,19,19,完全落入,1.0,女,1629
108,1,6,新店區,20歲,20,20,完全落入,1.0,男,1640
108,1,6,新店區,20歲,20,20,完全落入,1.0,女,1557
108,1,6,新店區,21歲,21,21,完全落入,1.0,男,1970
108,1,6,新店區,21歲,21,21,完全落入,1.0,女,1819
108,1,6,新店區,22歲,22,22,完全落入,1.0,男,2028
108,1,6,新店區,22歲,22,22,完全落入,1.0,女,1854
108,1,6,新店區,23歲,23,23,完全落入,1.0,男,2079
108,1,6,新店區,23歲,23,23,完全落入,1.0,女,1965
108,1,6,新店區,24歲,24,24,完全落入,1.0,男,2026
108,1,6,新店區,24歲,24,24,完全落入,1.0,女,2003
108,1,6,新店區,25歲,25,25,完全落入,1.0,男,2090
108,1,6,新店區,25歲,25,25,完全落入,1.0,女,2013
108,1,6,新店區,26歲,26,26,完全落入,1.0,男,2089
108,1,6,新店區,26歲,26,26,完全落入,1.0,女,1934
108,1,6,新店區,27歲,27,27,完全落入,1.0,男,2051
108,1,6,新店區,27歲,27,27,完全落入,1.0,女,1980
108,1,6,新店區,28歲,28,28,完全落入,1.0,男,2192
108,1,6,新店區,28歲,28,28,完全落入,1.0,女,1955
108,1,6,新店區,29歲,29,29,完全落入,1.0,男,1993
108,1,6,新店區,29歲,29,29,完全落入,1.0,女,1877
108,1,6,新店區,30歲,30,30,完全落入,1.0,男,2049
108,1,6,新店區,30歲,30,30,完全落入,1.0,女,2041
108,1,6,新店區,31歲,31,31,完全落入,1.0,男,1771
108,1,6,新店區,31歲,31,31,完全落入,1.0,女,1772
108,1,6,新店區,32歲,32,32,完全落入,1.0,男,1812
108,1,6,新店區,32歲,32,32,完全落入,1.0,女,1739
108,1,6,新店區,33歲,33,33,完全落入,1.0,男,1975
108,1,6,新店區,33歲,33,33,完全落入,1.0,女,1987
108,1,6,新店區,34歲,34,34,完全落入,1.0,男,2106
108,1,6,新店區,34歲,34,34,完全落入,1.0,女,2227
108,1,6,新店區,35歲,35,35,完全落入,1.0,男,2147
108,1,6,新店區,35歲,35,35,完全落入,1.0,女,2140
108,1,6,新店區,36歲,36,36,不相關,0.0,男,2144
108,1,6,新店區,36歲,36,36,不相關,0.0,女,2268
108,1,6,新店區,37歲,37,37,不相關,0.0,男,2253
108,1,6,新店區,37歲,37,37,不相關,0.0,女,2279
108,1,6,新店區,38歲,38,38,不相關,0.0,男,2240
108,1,6,新店區,38歲,38,38,不相關,0.0,女,2244
108,1,6,新店區,39歲,39,39,不相關,0.0,男,2222
108,1,6,新店區,39歲,39,39,不相關,0.0,女,2393
108,1,6,新店區,40歲,40,40,不相關,0.0,男,2259
108,1,6,新店區,40歲,40,40,不相關,0.0,女,2375
108,1,6,新店區,41歲,41,41,不相關,0.0,男,2043
108,1,6,新店區,41歲,41,41,不相關,0.0,女,2287
108,1,6,新店區,42歲,42,42,不相關,0.0,男,2446
108,1,6,新店區,42歲,42,42,不相關,0.0,女,2592
108,1,6,新店區,43歲,43,43,不相關,0.0,男,2021
108,1,6,新店區,43歲,43,43,不相關,0.0,女,2356
108,1,6,新店區,44歲,44,44,不相關,0.0,男,2126
108,1,6,新店區,44歲,44,44,不相關,0.0,女,2317
108,1,6,新店區,45歲,45,45,不相關,0.0,男,2282
108,1,6,新店區,45歲,45,45,不相關,0.0,女,2440
108,1,6,新店區,46歲,46,46,不相關,0.0,男,2310
108,1,6,新店區,46歲,46,46,不相關,0.0,女,2491
108,1,6,新店區,47歲,47,47,不相關,0.0,男,2392
108,1,6,新店區,47歲,47,47,不相關,0.0,女,2490
108,1,6,新店區,48歲,48,48,不相關,0.0,男,2390
108,1,6,新店區,48歲,48,48,不相關,0.0,女,2626
108,1,6,新店區,49歲,49,49,不相關,0.0,男,2512
108,1,6,新店區,49歲,49,49,不相關,0.0,女,2798
108,1,6,新店區,50歲,50,50,不相關,0.0,男,2560
108,1,6,新店區,50歲,50,50,不相關,0.0,女,2834
108,1,6,新店區,51歲,51,51,不相關,0.0,男,2404
108,1,6,新店區,51歲,51,51,不相關,0.0,女,2685
108,1,6,新店區,52歲,52,52,不相關,0.0,男,2450
108,1,6,新店區,52歲,52,52,不相關,0.0,女,2752
