民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
108,1,16,泰山區,0歲,0,0,不相關,0.0,男,272
108,1,16,泰山區,0歲,0,0,不相關,0.0,女,287
108,1,16,泰山區,1歲,1,1,不相關,0.0,男,322
108,1,16,泰山區,1歲,1,1,不相關,0.0,女,318
108,1,16,泰山區,2歲,2,2,不相關,0.0,男,366
108,1,16,泰山區,2歲,2,2,不相關,0.0,女,348
108,1,16,泰山區,3歲,3,3,不相關,0.0,男,377
108,1,16,泰山區,3歲,3,3,不相關,0.0,女,359
108,1,16,泰山區,4歲,4,4,不相關,0.0,男,406
108,1,16,泰山區,4歲,4,4,不相關,0.0,女,390
108,1,16,泰山區,5歲,5,5,不相關,0.0,男,394
108,1,16,泰山區,5歲,5,5,不相關,0.0,女,336
108,1,16,泰山區,6歲,6,6,不相關,0.0,男,481
108,1,16,泰山區,6歲,6,6,不相關,0.0,女,475
108,1,16,泰山區,7歲,7,7,不相關,0.0,男,438
108,1,16,泰山區,7歲,7,7,不相關,0.0,女,388
108,1,16,泰山區,8歲,8,8,不相關,0.0,男,375
108,1,16,泰山區,8歲,8,8,不相關,0.0,女,334
108,1,16,泰山區,9歲,9,9,不相關,0.0,男,396
108,1,16,泰山區,9歲,9,9,不相關,0.0,女,379
108,1,16,泰山區,10歲,10,10,不相關,0.0,男,463
108,1,16,泰山區,10歲,10,10,不相關,0.0,女,403
108,1,16,泰山區,11歲,11,11,不相關,0.0,男,421
108,1,16,泰山區,11歲,11,11,不相關,0.0,女,391
108,1,16,泰山區,12歲,12,12,不相關,0.0,男,477
108,1,16,泰山區,12歲,12,12,不相關,0.0,女,411
108,1,16,泰山區,13歲,13,13,不相關,0.0,男,410
108,1,16,泰山區,13歲,13,13,不相關,0.0,女,370
108,1,16,泰山區,14歲,14,14,不相關,0.0,男,429
108,1,16,泰山區,14歲,14,14,不相關,0.0,女,423
108,1,16,泰山區,15歲,15,15,不相關,0.0,男,455
108,1,16,泰山區,15歲,15,15,不相關,0.0,女,436
108,1,16,泰山區,16歲,16,16,不相關,0.0,男,454
108,1,16,泰山區,16歲,16,16,不相關,0.0,女,385
108,1,16,泰山區,17歲,17,17,不相關,0.0,男,471
108,1,16,泰山區,17歲,17,17,不相關,0.0,女,426
108,1,16,泰山區,18歲,18,18,完全落入,1.0,男,561
108,1,16,泰山區,18歲,18,18,完全落入,1.0,女,496
108,1,16,泰山區,19歲,19,19,完全落入,1.0,男,496
108,1,16,泰山區,19歲,19,19,完全落入,1.0,女,435
108,1,16,泰山區,20歲,20,20,完全落入,1.0,男,493
108,1,16,泰山區,20歲,20,20,完全落入,1.0,女,420
108,1,16,泰山區,21歲,21,21,完全落入,1.0,男,556
108,1,16,泰山區,21歲,21,21,完全落入,1.0,女,516
108,1,16,泰山區,22歲,22,22,完全落入,1.0,男,557
108,1,16,泰山區,22歲,22,22,完全落入,1.0,女,513
108,1,16,泰山區,23歲,23,23,完全落入,1.0,男,582
108,1,16,泰山區,23歲,23,23,完全落入,1.0,女,499
108,1,16,泰山區,24歲,24,24,完全落入,1.0,男,544
108,1,16,泰山區,24歲,24,24,完全落入,1.0,女,522
108,1,16,泰山區,25歲,25,25,完全落入,1.0,男,616
108,1,16,泰山區,25歲,25,25,完全落入,1.0,女,500
108,1,16,泰山區,26歲,26,26,完全落入,1.0,男,556
108,1,16,泰山區,26歲,26,26,完全落入,1.0,女,478
108,1,16,泰山區,27歲,27,27,完全落入,1.0,男,554
108,1,16,泰山區,27歲,27,27,完全落入,1.0,女,481
108,1,16,泰山區,28歲,28,28,完全落入,1.0,男,572
108,1,16,泰山區,28歲,28,28,完全落入,1.0,女,516
108,1,16,泰山區,29歲,29,29,完全落入,1.0,男,543
108,1,16,泰山區,29歲,29,29,完全落入,1.0,女,482
108,1,16,泰山區,30歲,30,30,完全落入,1.0,男,576
108,1,16,泰山區,30歲,30,30,完全落入,1.0,女,523
108,1,16,泰山區,31歲,31,31,完全落入,1.0,男,508
108,1,16,泰山區,31歲,31,31,完全落入,1.0,女,515
108,1,16,泰山區,32歲,32,32,完全落入,1.0,男,484
108,1,16,泰山區,32歲,32,32,完全落入,1.0,女,455
