民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
109,1,18,八里區,0歲,0,0,不相關,0.0,男,148
109,1,18,八里區,0歲,0,0,不相關,0.0,女,145
109,1,18,八里區,1歲,1,1,不相關,0.0,男,168
109,1,18,八里區,1歲,1,1,不相關,0.0,女,129
109,1,18,八里區,2歲,2,2,不相關,0.0,男,190
109,1,18,八里區,2歲,2,2,不相關,0.0,女,155
109,1,18,八里區,3歲,3,3,不相關,0.0,男,181
109,1,18,八里區,3歲,3,3,不相關,0.0,女,161
109,1,18,八里區,4歲,4,4,不相關,0.0,男,153
109,1,18,八里區,4歲,4,4,不相關,0.0,女,146
109,1,18,八里區,5歲,5,5,不相關,0.0,男,180
109,1,18,八里區,5歲,5,5,不相關,0.0,女,167
109,1,18,八里區,6歲,6,6,不相關,0.0,男,149
109,1,18,八里區,6歲,6,6,不相關,0.0,女,133
109,1,18,八里區,7歲,7,7,不相關,0.0,男,215
109,1,18,八里區,7歲,7,7,不相關,0.0,女,180
109,1,18,八里區,8歲,8,8,不相關,0.0,男,164
109,1,18,八里區,8歲,8,8,不相關,0.0,女,138
109,1,18,八里區,9歲,9,9,不相關,0.0,男,145
109,1,18,八里區,9歲,9,9,不相關,0.0,女,130
109,1,18,八里區,10歲,10,10,不相關,0.0,男,157
109,1,18,八里區,10歲,10,10,不相關,0.0,女,120
109,1,18,八里區,11歲,11,11,不相關,0.0,男,134
109,1,18,八里區,11歲,11,11,不相關,0.0,女,125
109,1,18,八里區,12歲,12,12,不相關,0.0,男,139
109,1,18,八里區,12歲,12,12,不相關,0.0,女,112
109,1,18,八里區,13歲,13,13,不相關,0.0,男,157
109,1,18,八里區,13歲,13,13,不相關,0.0,女,129
109,1,18,八里區,14歲,14,14,不相關,0.0,男,151
109,1,18,八里區,14歲,14,14,不相關,0.0,女,152
109,1,18,八里區,15歲,15,15,不相關,0.0,男,182
109,1,18,八里區,15歲,15,15,不相關,0.0,女,178
109,1,18,八里區,16歲,16,16,不相關,0.0,男,206
109,1,18,八里區,16歲,16,16,不相關,0.0,女,209
109,1,18,八里區,17歲,17,17,不相關,0.0,男,219
109,1,18,八里區,17歲,17,17,不相關,0.0,女,209
109,1,18,八里區,18歲,18,18,完全落入,1.0,男,243
109,1,18,八里區,18歲,18,18,完全落入,1.0,女,243
