民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
109,1,24,金山區,0歲,0,0,不相關,0.0,男,52
109,1,24,金山區,0歲,0,0,不相關,0.0,女,42
109,1,24,金山區,1歲,1,1,不相關,0.0,男,66
109,1,24,金山區,1歲,1,1,不相關,0.0,女,68
109,1,24,金山區,2歲,2,2,不相關,0.0,男,60
109,1,24,金山區,2歲,2,2,不相關,0.0,女,77
109,1,24,金山區,3歲,3,3,不相關,0.0,男,63
109,1,24,金山區,3歲,3,3,不相關,0.0,女,83
109,1,24,金山區,4歲,4,4,不相關,0.0,男,79
109,1,24,金山區,4歲,4,4,不相關,0.0,女,40
109,1,24,金山區,5歲,5,5,不相關,0.0,男,68
109,1,24,金山區,5歲,5,5,不相關,0.0,女,60
109,1,24,金山區,6歲,6,6,不相關,0.0,男,69
109,1,24,金山區,6歲,6,6,不相關,0.0,女,54
109,1,24,金山區,7歲,7,7,不相關,0.0,男,76
109,1,24,金山區,7歲,7,7,不相關,0.0,女,67
109,1,24,金山區,8歲,8,8,不相關,0.0,男,48
109,1,24,金山區,8歲,8,8,不相關,0.0,女,56
109,1,24,金山區,9歲,9,9,不相關,0.0,男,57
109,1,24,金山區,9歲,9,9,不相關,0.0,女,67
109,1,24,金山區,10歲,10,10,不相關,0.0,男,70
109,1,24,金山區,10歲,10,10,不相關,0.0,女,58
109,1,24,金山區,11歲,11,11,不相關,0.0,男,68
109,1,24,金山區,11歲,11,11,不相關,0.0,女,65
109,1,24,金山區,12歲,12,12,不相關,0.0,男,69
109,1,24,金山區,12歲,12,12,不相關,0.0,女,86
109,1,24,金山區,13歲,13,13,不相關,0.0,男,80
109,1,24,金山區,13歲,13,13,不相關,0.0,女,77
109,1,24,金山區,14歲,14,14,不相關,0.0,男,72
109,1,24,金山區,14歲,14,14,不相關,0.0,女,62
109,1,24,金山區,15歲,15,15,不相關,0.0,男,97
109,1,24,金山區,15歲,15,15,不相關,0.0,女,76
109,1,24,金山區,16歲,16,16,不相關,0.0,男,104
109,1,24,金山區,16歲,16,16,不相關,0.0,女,104
109,1,24,金山區,17歲,17,17,不相關,0.0,男,113
109,1,24,金山區,17歲,17,17,不相關,0.0,女,108
109,1,24,金山區,18歲,18,18,完全落入,1.0,男,116
109,1,24,金山區,18歲,18,18,完全落入,1.0,女,124
109,1,24,金山區,19歲,19,19,完全落入,1.0,男,140
109,1,24,金山區,19歲,19,19,完全落入,1.0,女,127
109,1,24,金山區,20歲,20,20,完全落入,1.0,男,148
109,1,24,金山區,20歲,20,20,完全落入,1.0,女,110
109,1,24,金山區,21歲,21,21,完全落入,1.0,男,133
109,1,24,金山區,21歲,21,21,完全落入,1.0,女,135
109,1,24,金山區,22歲,22,22,完全落入,1.0,男,147
109,1,24,金山區,22歲,22,22,完全落入,1.0,女,164
109,1,24,金山區,23歲,23,23,完全落入,1.0,男,163
109,1,24,金山區,23歲,23,23,完全落入,1.0,女,149
109,1,24,金山區,24歲,24,24,完全落入,1.0,男,157
109,1,24,金山區,24歲,24,24,完全落入,1.0,女,152
109,1,24,金山區,25歲,25,25,完全落入,1.0,男,137
109,1,24,金山區,25歲,25,25,完全落入,1.0,女,177
109,1,24,金山區,26歲,26,26,完全落入,1.0,男,164
109,1,24,金山區,26歲,26,26,完全落入,1.0,女,167
109,1,24,金山區,27歲,27,27,完全落入,1.0,男,143
109,1,24,金山區,27歲,27,27,完全落入,1.0,女,177
109,1,24,金山區,28歲,28,28,完全落入,1.0,男,143
109,1,24,金山區,28歲,28,28,完全落入,1.0,女,145
109,1,24,金山區,29歲,29,29,完全落入,1.0,男,159
109,1,24,金山區,29歲,29,29,完全落入,1.0,女,151
109,1,24,金山區,30歲,30,30,完全落入,1.0,男,123
109,1,24,金山區,30歲,30,30,完全落入,1.0,女,135
109,1,24,金山區,31歲,31,31,完全落入,1.0,男,137
109,1,24,金山區,31歲,31,31,完全落入,1.0,女,147
109,1,24,金山區,32歲,32,32,完全落入,1.0,男,123
109,1,24,金山區,32歲,32,32,完全落入,1.0,女,117
109,1,24,金山區,33歲,33,33,完全落入,1.0,男,109
109,1,24,金山區,33歲,33,33,完全落入,1.0,女,115
109,1,24,金山區,34歲,34,34,完全落入,1.0,男,137
109,1,24,金山區,34歲,34,34,完全落入,1.0,女,140
109,1,24,金山區,35歲,35,35,完全落入,1.0,男,135
109,1,24,金山區,35歲,35,35,完全落入,1.0,女,181
109,1,24,金山區,36歲,36,36,不相關,0.0,男,137
109,1,24,金山區,36歲,36,36,不相關,0.0,女,179
109,1,24,金山區,37歲,37,37,不相關,0.0,男,159
109,1,24,金山區,37歲,37,37,不相關,0.0,女,191
109,1,24,金山區,38歲,38,38,不相關,0.0,男,174
109,1,24,金山區,38歲,38,38,不相關,0.0,女,193
109,1,24,金山區,39歲,39,39,不相關,0.0,男,155
109,1,24,金山區,39歲,39,39,不相關,0.0,女,193
109,1,24,金山區,40歲,40,40,不相關,0.0,男,178
109,1,24,金山區,40歲,40,40,不相關,0.0,女,192
109,1,24,金山區,41歲,41,41,不相關,0.0,男,181
109,1,24,金山區,41歲,41,41,不相關,0.0,女,224
109,1,24,金山區,42歲,42,42,不相關,0.0,男,189
109,1,24,金山區,42歲,42,42,不相關,0.0,女,201
