民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
110,1,8,蘆洲區,0歲,0,0,不相關,0.0,男,697
110,1,8,蘆洲區,0歲,0,0,不相關,0.0,女,639
110,1,8,蘆洲區,1歲,1,1,不相關,0.0,男,778
110,1,8,蘆洲區,1歲,1,1,不相關,0.0,女,738
110,1,8,蘆洲區,2歲,2,2,不相關,0.0,男,780
110,1,8,蘆洲區,2歲,2,2,不相關,0.0,女,755
110,1,8,蘆洲區,3歲,3,3,不相關,0.0,男,807
110,1,8,蘆洲區,3歲,3,3,不相關,0.0,女,811
110,1,8,蘆洲區,4歲,4,4,不相關,0.0,男,942
110,1,8,蘆洲區,4歲,4,4,不相關,0.0,女,816
110,1,8,蘆洲區,5歲,5,5,不相關,0.0,男,1020
110,1,8,蘆洲區,5歲,5,5,不相關,0.0,女,856
110,1,8,蘆洲區,6歲,6,6,不相關,0.0,男,1030
110,1,8,蘆洲區,6歲,6,6,不相關,0.0,女,993
110,1,8,蘆洲區,7歲,7,7,不相關,0.0,男,937
110,1,8,蘆洲區,7歲,7,7,不相關,0.0,女,846
110,1,8,蘆洲區,8歲,8,8,不相關,0.0,男,1191
110,1,8,蘆洲區,8歲,8,8,不相關,0.0,女,1031
110,1,8,蘆洲區,9歲,9,9,不相關,0.0,男,929
110,1,8,蘆洲區,9歲,9,9,不相關,0.0,女,883
110,1,8,蘆洲區,10歲,10,10,不相關,0.0,男,738
110,1,8,蘆洲區,10歲,10,10,不相關,0.0,女,677
110,1,8,蘆洲區,11歲,11,11,不相關,0.0,男,898
110,1,8,蘆洲區,11歲,11,11,不相關,0.0,女,750
110,1,8,蘆洲區,12歲,12,12,不相關,0.0,男,873
110,1,8,蘆洲區,12歲,12,12,不相關,0.0,女,761
110,1,8,蘆洲區,13歲,13,13,不相關,0.0,男,935
110,1,8,蘆洲區,13歲,13,13,不相關,0.0,女,884
110,1,8,蘆洲區,14歲,14,14,不相關,0.0,男,999
110,1,8,蘆洲區,14歲,14,14,不相關,0.0,女,891
110,1,8,蘆洲區,15歲,15,15,不相關,0.0,男,945
110,1,8,蘆洲區,15歲,15,15,不相關,0.0,女,874
