民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
111,1,14,瑞芳區,0歲,0,0,不相關,0.0,男,97
111,1,14,瑞芳區,0歲,0,0,不相關,0.0,女,107
111,1,14,瑞芳區,1歲,1,1,不相關,0.0,男,109
111,1,14,瑞芳區,1歲,1,1,不相關,0.0,女,114
111,1,14,瑞芳區,2歲,2,2,不相關,0.0,男,104
111,1,14,瑞芳區,2歲,2,2,不相關,0.0,女,103
111,1,14,瑞芳區,3歲,3,3,不相關,0.0,男,107
111,1,14,瑞芳區,3歲,3,3,不相關,0.0,女,118
111,1,14,瑞芳區,4歲,4,4,不相關,0.0,男,128
111,1,14,瑞芳區,4歲,4,4,不相關,0.0,女,107
111,1,14,瑞芳區,5歲,5,5,不相關,0.0,男,135
111,1,14,瑞芳區,5歲,5,5,不相關,0.0,女,108
111,1,14,瑞芳區,6歲,6,6,不相關,0.0,男,119
111,1,14,瑞芳區,6歲,6,6,不相關,0.0,女,126
111,1,14,瑞芳區,7歲,7,7,不相關,0.0,男,119
111,1,14,瑞芳區,7歲,7,7,不相關,0.0,女,124
111,1,14,瑞芳區,8歲,8,8,不相關,0.0,男,96
111,1,14,瑞芳區,8歲,8,8,不相關,0.0,女,113
111,1,14,瑞芳區,9歲,9,9,不相關,0.0,男,120
111,1,14,瑞芳區,9歲,9,9,不相關,0.0,女,138
111,1,14,瑞芳區,10歲,10,10,不相關,0.0,男,106
111,1,14,瑞芳區,10歲,10,10,不相關,0.0,女,108
111,1,14,瑞芳區,11歲,11,11,不相關,0.0,男,92
111,1,14,瑞芳區,11歲,11,11,不相關,0.0,女,96
111,1,14,瑞芳區,12歲,12,12,不相關,0.0,男,108
111,1,14,瑞芳區,12歲,12,12,不相關,0.0,女,75
111,1,14,瑞芳區,13歲,13,13,不相關,0.0,男,116
111,1,14,瑞芳區,13歲,13,13,不相關,0.0,女,90
111,1,14,瑞芳區,14歲,14,14,不相關,0.0,男,120
111,1,14,瑞芳區,14歲,14,14,不相關,0.0,女,125
111,1,14,瑞芳區,15歲,15,15,不相關,0.0,男,131
111,1,14,瑞芳區,15歲,15,15,不相關,0.0,女,125
111,1,14,瑞芳區,16歲,16,16,不相關,0.0,男,141
111,1,14,瑞芳區,16歲,16,16,不相關,0.0,女,129
111,1,14,瑞芳區,17歲,17,17,不相關,0.0,男,156
111,1,14,瑞芳區,17歲,17,17,不相關,0.0,女,165
111,1,14,瑞芳區,18歲,18,18,完全落入,1.0,男,188
111,1,14,瑞芳區,18歲,18,18,完全落入,1.0,女,170
111,1,14,瑞芳區,19歲,19,19,完全落入,1.0,男,203
111,1,14,瑞芳區,19歲,19,19,完全落入,1.0,女,201
111,1,14,瑞芳區,20歲,20,20,完全落入,1.0,男,211
111,1,14,瑞芳區,20歲,20,20,完全落入,1.0,女,194
111,1,14,瑞芳區,21歲,21,21,完全落入,1.0,男,263
111,1,14,瑞芳區,21歲,21,21,完全落入,1.0,女,224
111,1,14,瑞芳區,22歲,22,22,完全落入,1.0,男,230
111,1,14,瑞芳區,22歲,22,22,完全落入,1.0,女,215
111,1,14,瑞芳區,23歲,23,23,完全落入,1.0,男,195
111,1,14,瑞芳區,23歲,23,23,完全落入,1.0,女,203
111,1,14,瑞芳區,24歲,24,24,完全落入,1.0,男,225
111,1,14,瑞芳區,24歲,24,24,完全落入,1.0,女,234
111,1,14,瑞芳區,25歲,25,25,完全落入,1.0,男,254
111,1,14,瑞芳區,25歲,25,25,完全落入,1.0,女,237
111,1,14,瑞芳區,26歲,26,26,完全落入,1.0,男,287
111,1,14,瑞芳區,26歲,26,26,完全落入,1.0,女,231
111,1,14,瑞芳區,27歲,27,27,完全落入,1.0,男,275
111,1,14,瑞芳區,27歲,27,27,完全落入,1.0,女,259
111,1,14,瑞芳區,28歲,28,28,完全落入,1.0,男,278
111,1,14,瑞芳區,28歲,28,28,完全落入,1.0,女,251
111,1,14,瑞芳區,29歲,29,29,完全落入,1.0,男,315
111,1,14,瑞芳區,29歲,29,29,完全落入,1.0,女,264
111,1,14,瑞芳區,30歲,30,30,完全落入,1.0,男,299
111,1,14,瑞芳區,30歲,30,30,完全落入,1.0,女,235
111,1,14,瑞芳區,31歲,31,31,完全落入,1.0,男,302
111,1,14,瑞芳區,31歲,31,31,完全落入,1.0,女,245
111,1,14,瑞芳區,32歲,32,32,完全落入,1.0,男,277
111,1,14,瑞芳區,32歲,32,32,完全落入,1.0,女,210
111,1,14,瑞芳區,33歲,33,33,完全落入,1.0,男,282
111,1,14,瑞芳區,33歲,33,33,完全落入,1.0,女,257
111,1,14,瑞芳區,34歲,34,34,完全落入,1.0,男,231
111,1,14,瑞芳區,34歲,34,34,完全落入,1.0,女,223
111,1,14,瑞芳區,35歲,35,35,完全落入,1.0,男,226
111,1,14,瑞芳區,35歲,35,35,完全落入,1.0,女,205
111,1,14,瑞芳區,36歲,36,36,不相關,0.0,男,265
