民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
111,1,22,三芝區,0歲,0,0,不相關,0.0,男,61
111,1,22,三芝區,0歲,0,0,不相關,0.0,女,46
111,1,22,三芝區,1歲,1,1,不相關,0.0,男,50
111,1,22,三芝區,1歲,1,1,不相關,0.0,女,64
111,1,22,三芝區,2歲,2,2,不相關,0.0,男,66
111,1,22,三芝區,2歲,2,2,不相關,0.0,女,55
111,1,22,三芝區,3歲,3,3,不相關,0.0,男,60
111,1,22,三芝區,3歲,3,3,不相關,0.0,女,59
111,1,22,三芝區,4歲,4,4,不相關,0.0,男,48
111,1,22,三芝區,4歲,4,4,不相關,0.0,女,58
111,1,22,三芝區,5歲,5,5,不相關,0.0,男,68
111,1,22,三芝區,5歲,5,5,不相關,0.0,女,59
111,1,22,三芝區,6歲,6,6,不相關,0.0,男,63
111,1,22,三芝區,6歲,6,6,不相關,0.0,女,62
111,1,22,三芝區,7歲,7,7,不相關,0.0,男,59
111,1,22,三芝區,7歲,7,7,不相關,0.0,女,69
111,1,22,三芝區,8歲,8,8,不相關,0.0,男,72
111,1,22,三芝區,8歲,8,8,不相關,0.0,女,59
111,1,22,三芝區,9歲,9,9,不相關,0.0,男,73
111,1,22,三芝區,9歲,9,9,不相關,0.0,女,64
111,1,22,三芝區,10歲,10,10,不相關,0.0,男,70
111,1,22,三芝區,10歲,10,10,不相關,0.0,女,57
111,1,22,三芝區,11歲,11,11,不相關,0.0,男,59
111,1,22,三芝區,11歲,11,11,不相關,0.0,女,49
111,1,22,三芝區,12歲,12,12,不相關,0.0,男,67
111,1,22,三芝區,12歲,12,12,不相關,0.0,女,61
111,1,22,三芝區,13歲,13,13,不相關,0.0,男,61
111,1,22,三芝區,13歲,13,13,不相關,0.0,女,81
111,1,22,三芝區,14歲,14,14,不相關,0.0,男,72
111,1,22,三芝區,14歲,14,14,不相關,0.0,女,83
111,1,22,三芝區,15歲,15,15,不相關,0.0,男,96
111,1,22,三芝區,15歲,15,15,不相關,0.0,女,81
111,1,22,三芝區,16歲,16,16,不相關,0.0,男,77
111,1,22,三芝區,16歲,16,16,不相關,0.0,女,83
111,1,22,三芝區,17歲,17,17,不相關,0.0,男,113
111,1,22,三芝區,17歲,17,17,不相關,0.0,女,95
111,1,22,三芝區,18歲,18,18,完全落入,1.0,男,95
111,1,22,三芝區,18歲,18,18,完全落入,1.0,女,100
111,1,22,三芝區,19歲,19,19,完全落入,1.0,男,124
111,1,22,三芝區,19歲,19,19,完全落入,1.0,女,120
111,1,22,三芝區,20歲,20,20,完全落入,1.0,男,138
111,1,22,三芝區,20歲,20,20,完全落入,1.0,女,121
111,1,22,三芝區,21歲,21,21,完全落入,1.0,男,149
111,1,22,三芝區,21歲,21,21,完全落入,1.0,女,150
111,1,22,三芝區,22歲,22,22,完全落入,1.0,男,147
111,1,22,三芝區,22歲,22,22,完全落入,1.0,女,125
111,1,22,三芝區,23歲,23,23,完全落入,1.0,男,153
111,1,22,三芝區,23歲,23,23,完全落入,1.0,女,117
111,1,22,三芝區,24歲,24,24,完全落入,1.0,男,161
111,1,22,三芝區,24歲,24,24,完全落入,1.0,女,160
111,1,22,三芝區,25歲,25,25,完全落入,1.0,男,168
111,1,22,三芝區,25歲,25,25,完全落入,1.0,女,146
111,1,22,三芝區,26歲,26,26,完全落入,1.0,男,161
111,1,22,三芝區,26歲,26,26,完全落入,1.0,女,168
111,1,22,三芝區,27歲,27,27,完全落入,1.0,男,205
111,1,22,三芝區,27歲,27,27,完全落入,1.0,女,164
111,1,22,三芝區,28歲,28,28,完全落入,1.0,男,193
111,1,22,三芝區,28歲,28,28,完全落入,1.0,女,142
111,1,22,三芝區,29歲,29,29,完全落入,1.0,男,183
111,1,22,三芝區,29歲,29,29,完全落入,1.0,女,150
111,1,22,三芝區,30歲,30,30,完全落入,1.0,男,163
111,1,22,三芝區,30歲,30,30,完全落入,1.0,女,144
111,1,22,三芝區,31歲,31,31,完全落入,1.0,男,147
111,1,22,三芝區,31歲,31,31,完全落入,1.0,女,122
111,1,22,三芝區,32歲,32,32,完全落入,1.0,男,122
111,1,22,三芝區,32歲,32,32,完全落入,1.0,女,127
111,1,22,三芝區,33歲,33,33,完全落入,1.0,男,145
111,1,22,三芝區,33歲,33,33,完全落入,1.0,女,126
111,1,22,三芝區,34歲,34,34,完全落入,1.0,男,132
111,1,22,三芝區,34歲,34,34,完全落入,1.0,女,126
111,1,22,三芝區,35歲,35,35,完全落入,1.0,男,124
111,1,22,三芝區,35歲,35,35,完全落入,1.0,女,102
111,1,22,三芝區,36歲,36,36,不相關,0.0,男,127
111,1,22,三芝區,36歲,36,36,不相關,0.0,女,112
111,1,22,三芝區,37歲,37,37,不相關,0.0,男,163
111,1,22,三芝區,37歲,37,37,不相關,0.0,女,130
111,1,22,三芝區,38歲,38,38,不相關,0.0,男,147
111,1,22,三芝區,38歲,38,38,不相關,0.0,女,146
111,1,22,三芝區,39歲,39,39,不相關,0.0,男,143
111,1,22,三芝區,39歲,39,39,不相關,0.0,女,140
111,1,22,三芝區,40歲,40,40,不相關,0.0,男,164
111,1,22,三芝區,40歲,40,40,不相關,0.0,女,154
111,1,22,三芝區,41歲,41,41,不相關,0.0,男,157
111,1,22,三芝區,41歲,41,41,不相關,0.0,女,161
111,1,22,三芝區,42歲,42,42,不相關,0.0,男,167
111,1,22,三芝區,42歲,42,42,不相關,0.0,女,173
111,1,22,三芝區,43歲,43,43,不相關,0.0,男,177
111,1,22,三芝區,43歲,43,43,不相關,0.0,女,147
111,1,22,三芝區,44歲,44,44,不相關,0.0,男,173
111,1,22,三芝區,44歲,44,44,不相關,0.0,女,136
111,1,22,三芝區,45歲,45,45,不相關,0.0,男,171
111,1,22,三芝區,45歲,45,45,不相關,0.0,女,142
111,1,22,三芝區,46歲,46,46,不相關,0.0,男,153
111,1,22,三芝區,46歲,46,46,不相關,0.0,女,127
111,1,22,三芝區,47歲,47,47,不相關,0.0,男,166
111,1,22,三芝區,47歲,47,47,不相關,0.0,女,164
111,1,22,三芝區,48歲,48,48,不相關,0.0,男,187
111,1,22,三芝區,48歲,48,48,不相關,0.0,女,166
111,1,22,三芝區,49歲,49,49,不相關,0.0,男,153
111,1,22,三芝區,49歲,49,49,不相關,0.0,女,155
111,1,22,三芝區,50歲,50,50,不相關,0.0,男,179
111,1,22,三芝區,50歲,50,50,不相關,0.0,女,177
111,1,22,三芝區,51歲,51,51,不相關,0.0,男,214
111,1,22,三芝區,51歲,51,51,不相關,0.0,女,209
111,1,22,三芝區,52歲,52,52,不相關,0.0,男,199
111,1,22,三芝區,52歲,52,52,不相關,0.0,女,195
111,1,22,三芝區,53歲,53,53,不相關,0.0,男,228
111,1,22,三芝區,53歲,53,53,不相關,0.0,女,229
111,1,22,三芝區,54歲,54,54,不相關,0.0,男,191
111,1,22,三芝區,54歲,54,54,不相關,0.0,女,160
111,1,22,三芝區,55歲,55,55,不相關,0.0,男,203
111,1,22,三芝區,55歲,55,55,不相關,0.0,女,194
111,1,22,三芝區,56歲,56,56,不相關,0.0,男,193
111,1,22,三芝區,56歲,56,56,不相關,0.0,女,211
111,1,22,三芝區,57歲,57,57,不相關,0.0,男,228
111,1,22,三芝區,57歲,57,57,不相關,0.0,女,192
111,1,22,三芝區,58歲,58,58,不相關,0.0,男,222
111,1,22,三芝區,58歲,58,58,不相關,0.0,女,231
111,1,22,三芝區,59歲,59,59,不相關,0.0,男,229
111,1,22,三芝區,59歲,59,59,不相關,0.0,女,183
111,1,22,三芝區,60歲,60,60,不相關,0.0,男,194
111,1,22,三芝區,60歲,60,60,不相關,0.0,女,183
111,1,22,三芝區,61歲,61,61,不相關,0.0,男,222
111,1,22,三芝區,61歲,61,61,不相關,0.0,女,205
111,1,22,三芝區,62歲,62,62,不相關,0.0,男,192
111,1,22,三芝區,62歲,62,62,不相關,0.0,女,178
111,1,22,三芝區,63歲,63,63,不相關,0.0,男,185
111,1,22,三芝區,63歲,63,63,不相關,0.0,女,169
111,1,22,三芝區,64歲,64,64,不相關,0.0,男,180
111,1,22,三芝區,64歲,64,64,不相關,0.0,女,165
111,1,22,三芝區,65歲,65,65,不相關,0.0,男,176
111,1,22,三芝區,65歲,65,65,不相關,0.0,女,176
111,1,22,三芝區,66歲,66,66,不相關,0.0,男,212
111,1,22,三芝區,66歲,66,66,不相關,0.0,女,165
111,1,22,三芝區,67歲,67,67,不相關,0.0,男,184
111,1,22,三芝區,67歲,67,67,不相關,0.0,女,152
111,1,22,三芝區,68歲,68,68,不相關,0.0,男,140
111,1,22,三芝區,68歲,68,68,不相關,0.0,女,151
111,1,22,三芝區,69歲,69,69,不相關,0.0,男,154
111,1,22,三芝區,69歲,69,69,不相關,0.0,女,139
111,1,22,三芝區,70歲,70,70,不相關,0.0,男,162
111,1,22,三芝區,70歲,70,70,不相關,0.0,女,159
111,1,22,三芝區,71歲,71,71,不相關,0.0,男,124
111,1,22,三芝區,71歲,71,71,不相關,0.0,女,121
111,1,22,三芝區,72歲,72,72,不相關,0.0,男,119
111,1,22,三芝區,72歲,72,72,不相關,0.0,女,118
111,1,22,三芝區,73歲,73,73,不相關,0.0,男,92
111,1,22,三芝區,73歲,73,73,不相關,0.0,女,97
111,1,22,三芝區,74歲,74,74,不相關,0.0,男,87
111,1,22,三芝區,74歲,74,74,不相關,0.0,女,82
111,1,22,三芝區,75歲,75,75,不相關,0.0,男,51
111,1,22,三芝區,75歲,75,75,不相關,0.0,女,48
111,1,22,三芝區,76歲,76,76,不相關,0.0,男,51
