民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
111,1,23,石門區,0歲,0,0,不相關,0.0,男,25
111,1,23,石門區,0歲,0,0,不相關,0.0,女,27
111,1,23,石門區,1歲,1,1,不相關,0.0,男,27
111,1,23,石門區,1歲,1,1,不相關,0.0,女,25
111,1,23,石門區,2歲,2,2,不相關,0.0,男,24
111,1,23,石門區,2歲,2,2,不相關,0.0,女,33
111,1,23,石門區,3歲,3,3,不相關,0.0,男,22
111,1,23,石門區,3歲,3,3,不相關,0.0,女,20
111,1,23,石門區,4歲,4,4,不相關,0.0,男,25
111,1,23,石門區,4歲,4,4,不相關,0.0,女,32
111,1,23,石門區,5歲,5,5,不相關,0.0,男,30
111,1,23,石門區,5歲,5,5,不相關,0.0,女,18
111,1,23,石門區,6歲,6,6,不相關,0.0,男,26
111,1,23,石門區,6歲,6,6,不相關,0.0,女,25
111,1,23,石門區,7歲,7,7,不相關,0.0,男,29
111,1,23,石門區,7歲,7,7,不相關,0.0,女,27
111,1,23,石門區,8歲,8,8,不相關,0.0,男,25
111,1,23,石門區,8歲,8,8,不相關,0.0,女,25
111,1,23,石門區,9歲,9,9,不相關,0.0,男,38
111,1,23,石門區,9歲,9,9,不相關,0.0,女,35
111,1,23,石門區,10歲,10,10,不相關,0.0,男,29
111,1,23,石門區,10歲,10,10,不相關,0.0,女,30
111,1,23,石門區,11歲,11,11,不相關,0.0,男,23
111,1,23,石門區,11歲,11,11,不相關,0.0,女,24
111,1,23,石門區,12歲,12,12,不相關,0.0,男,33
111,1,23,石門區,12歲,12,12,不相關,0.0,女,24
111,1,23,石門區,13歲,13,13,不相關,0.0,男,31
111,1,23,石門區,13歲,13,13,不相關,0.0,女,27
111,1,23,石門區,14歲,14,14,不相關,0.0,男,54
111,1,23,石門區,14歲,14,14,不相關,0.0,女,34
111,1,23,石門區,15歲,15,15,不相關,0.0,男,41
111,1,23,石門區,15歲,15,15,不相關,0.0,女,37
111,1,23,石門區,16歲,16,16,不相關,0.0,男,41
111,1,23,石門區,16歲,16,16,不相關,0.0,女,33
111,1,23,石門區,17歲,17,17,不相關,0.0,男,46
111,1,23,石門區,17歲,17,17,不相關,0.0,女,58
111,1,23,石門區,18歲,18,18,完全落入,1.0,男,61
111,1,23,石門區,18歲,18,18,完全落入,1.0,女,59
111,1,23,石門區,19歲,19,19,完全落入,1.0,男,77
111,1,23,石門區,19歲,19,19,完全落入,1.0,女,72
111,1,23,石門區,20歲,20,20,完全落入,1.0,男,80
111,1,23,石門區,20歲,20,20,完全落入,1.0,女,73
111,1,23,石門區,21歲,21,21,完全落入,1.0,男,85
111,1,23,石門區,21歲,21,21,完全落入,1.0,女,80
111,1,23,石門區,22歲,22,22,完全落入,1.0,男,67
111,1,23,石門區,22歲,22,22,完全落入,1.0,女,55
111,1,23,石門區,23歲,23,23,完全落入,1.0,男,79
111,1,23,石門區,23歲,23,23,完全落入,1.0,女,51
111,1,23,石門區,24歲,24,24,完全落入,1.0,男,75
111,1,23,石門區,24歲,24,24,完全落入,1.0,女,77
111,1,23,石門區,25歲,25,25,完全落入,1.0,男,112
111,1,23,石門區,25歲,25,25,完全落入,1.0,女,85
111,1,23,石門區,26歲,26,26,完全落入,1.0,男,91
111,1,23,石門區,26歲,26,26,完全落入,1.0,女,87
111,1,23,石門區,27歲,27,27,完全落入,1.0,男,95
111,1,23,石門區,27歲,27,27,完全落入,1.0,女,93
111,1,23,石門區,28歲,28,28,完全落入,1.0,男,86
111,1,23,石門區,28歲,28,28,完全落入,1.0,女,74
111,1,23,石門區,29歲,29,29,完全落入,1.0,男,82
111,1,23,石門區,29歲,29,29,完全落入,1.0,女,68
111,1,23,石門區,30歲,30,30,完全落入,1.0,男,67
111,1,23,石門區,30歲,30,30,完全落入,1.0,女,76
111,1,23,石門區,31歲,31,31,完全落入,1.0,男,86
111,1,23,石門區,31歲,31,31,完全落入,1.0,女,70
111,1,23,石門區,32歲,32,32,完全落入,1.0,男,73
111,1,23,石門區,32歲,32,32,完全落入,1.0,女,68
111,1,23,石門區,33歲,33,33,完全落入,1.0,男,77
111,1,23,石門區,33歲,33,33,完全落入,1.0,女,70
111,1,23,石門區,34歲,34,34,完全落入,1.0,男,71
111,1,23,石門區,34歲,34,34,完全落入,1.0,女,58
111,1,23,石門區,35歲,35,35,完全落入,1.0,男,57
111,1,23,石門區,35歲,35,35,完全落入,1.0,女,65
111,1,23,石門區,36歲,36,36,不相關,0.0,男,76
111,1,23,石門區,36歲,36,36,不相關,0.0,女,65
111,1,23,石門區,37歲,37,37,不相關,0.0,男,74
111,1,23,石門區,37歲,37,37,不相關,0.0,女,70
111,1,23,石門區,38歲,38,38,不相關,0.0,男,83
111,1,23,石門區,38歲,38,38,不相關,0.0,女,83
111,1,23,石門區,39歲,39,39,不相關,0.0,男,96
111,1,23,石門區,39歲,39,39,不相關,0.0,女,90
111,1,23,石門區,40歲,40,40,不相關,0.0,男,90
111,1,23,石門區,40歲,40,40,不相關,0.0,女,109
111,1,23,石門區,41歲,41,41,不相關,0.0,男,93
111,1,23,石門區,41歲,41,41,不相關,0.0,女,108
111,1,23,石門區,42歲,42,42,不相關,0.0,男,101
111,1,23,石門區,42歲,42,42,不相關,0.0,女,87
111,1,23,石門區,43歲,43,43,不相關,0.0,男,107
111,1,23,石門區,43歲,43,43,不相關,0.0,女,106
111,1,23,石門區,44歲,44,44,不相關,0.0,男,86
111,1,23,石門區,44歲,44,44,不相關,0.0,女,93
111,1,23,石門區,45歲,45,45,不相關,0.0,男,83
111,1,23,石門區,45歲,45,45,不相關,0.0,女,102
111,1,23,石門區,46歲,46,46,不相關,0.0,男,86
111,1,23,石門區,46歲,46,46,不相關,0.0,女,95
111,1,23,石門區,47歲,47,47,不相關,0.0,男,77
111,1,23,石門區,47歲,47,47,不相關,0.0,女,84
111,1,23,石門區,48歲,48,48,不相關,0.0,男,99
111,1,23,石門區,48歲,48,48,不相關,0.0,女,96
111,1,23,石門區,49歲,49,49,不相關,0.0,男,111
111,1,23,石門區,49歲,49,49,不相關,0.0,女,81
111,1,23,石門區,50歲,50,50,不相關,0.0,男,88
111,1,23,石門區,50歲,50,50,不相關,0.0,女,85
111,1,23,石門區,51歲,51,51,不相關,0.0,男,92
111,1,23,石門區,51歲,51,51,不相關,0.0,女,69
111,1,23,石門區,52歲,52,52,不相關,0.0,男,90
111,1,23,石門區,52歲,52,52,不相關,0.0,女,76
111,1,23,石門區,53歲,53,53,不相關,0.0,男,107
111,1,23,石門區,53歲,53,53,不相關,0.0,女,77
111,1,23,石門區,54歲,54,54,不相關,0.0,男,74
111,1,23,石門區,54歲,54,54,不相關,0.0,女,89
111,1,23,石門區,55歲,55,55,不相關,0.0,男,111
111,1,23,石門區,55歲,55,55,不相關,0.0,女,93
111,1,23,石門區,56歲,56,56,不相關,0.0,男,102
111,1,23,石門區,56歲,56,56,不相關,0.0,女,87
111,1,23,石門區,57歲,57,57,不相關,0.0,男,110
111,1,23,石門區,57歲,57,57,不相關,0.0,女,68
111,1,23,石門區,58歲,58,58,不相關,0.0,男,101
111,1,23,石門區,58歲,58,58,不相關,0.0,女,78
111,1,23,石門區,59歲,59,59,不相關,0.0,男,99
111,1,23,石門區,59歲,59,59,不相關,0.0,女,90
111,1,23,石門區,60歲,60,60,不相關,0.0,男,122
111,1,23,石門區,60歲,60,60,不相關,0.0,女,90
111,1,23,石門區,61歲,61,61,不相關,0.0,男,98
111,1,23,石門區,61歲,61,61,不相關,0.0,女,83
111,1,23,石門區,62歲,62,62,不相關,0.0,男,108
