民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,5,新莊區,0歲,0,0,不相關,0.0,男,1106
113,1,5,新莊區,0歲,0,0,不相關,0.0,女,1143
113,1,5,新莊區,1歲,1,1,不相關,0.0,男,1368
113,1,5,新莊區,1歲,1,1,不相關,0.0,女,1290
113,1,5,新莊區,2歲,2,2,不相關,0.0,男,1559
113,1,5,新莊區,2歲,2,2,不相關,0.0,女,1484
113,1,5,新莊區,3歲,3,3,不相關,0.0,男,1667
113,1,5,新莊區,3歲,3,3,不相關,0.0,女,1524
113,1,5,新莊區,4歲,4,4,不相關,0.0,男,1762
113,1,5,新莊區,4歲,4,4,不相關,0.0,女,1647
113,1,5,新莊區,5歲,5,5,不相關,0.0,男,1928
113,1,5,新莊區,5歲,5,5,不相關,0.0,女,1736
113,1,5,新莊區,6歲,6,6,不相關,0.0,男,1987
113,1,5,新莊區,6歲,6,6,不相關,0.0,女,1973
113,1,5,新莊區,7歲,7,7,不相關,0.0,男,2179
113,1,5,新莊區,7歲,7,7,不相關,0.0,女,2016
113,1,5,新莊區,8歲,8,8,不相關,0.0,男,2302
113,1,5,新莊區,8歲,8,8,不相關,0.0,女,2195
113,1,5,新莊區,9歲,9,9,不相關,0.0,男,2303
113,1,5,新莊區,9歲,9,9,不相關,0.0,女,2196
113,1,5,新莊區,10歲,10,10,不相關,0.0,男,2072
113,1,5,新莊區,10歲,10,10,不相關,0.0,女,1944
113,1,5,新莊區,11歲,11,11,不相關,0.0,男,2434
113,1,5,新莊區,11歲,11,11,不相關,0.0,女,2403
113,1,5,新莊區,12歲,12,12,不相關,0.0,男,2080
113,1,5,新莊區,12歲,12,12,不相關,0.0,女,2053
113,1,5,新莊區,13歲,13,13,不相關,0.0,男,1729
113,1,5,新莊區,13歲,13,13,不相關,0.0,女,1584
113,1,5,新莊區,14歲,14,14,不相關,0.0,男,1980
113,1,5,新莊區,14歲,14,14,不相關,0.0,女,1880
113,1,5,新莊區,15歲,15,15,不相關,0.0,男,2020
113,1,5,新莊區,15歲,15,15,不相關,0.0,女,1782
113,1,5,新莊區,16歲,16,16,不相關,0.0,男,2085
113,1,5,新莊區,16歲,16,16,不相關,0.0,女,1919
113,1,5,新莊區,17歲,17,17,不相關,0.0,男,2029
113,1,5,新莊區,17歲,17,17,不相關,0.0,女,1836
113,1,5,新莊區,18歲,18,18,完全落入,1.0,男,2007
113,1,5,新莊區,18歲,18,18,完全落入,1.0,女,1861
113,1,5,新莊區,19歲,19,19,完全落入,1.0,男,2098
113,1,5,新莊區,19歲,19,19,完全落入,1.0,女,1867
113,1,5,新莊區,20歲,20,20,完全落入,1.0,男,2122
113,1,5,新莊區,20歲,20,20,完全落入,1.0,女,1895
113,1,5,新莊區,21歲,21,21,完全落入,1.0,男,2301
113,1,5,新莊區,21歲,21,21,完全落入,1.0,女,2118
113,1,5,新莊區,22歲,22,22,完全落入,1.0,男,2347
113,1,5,新莊區,22歲,22,22,完全落入,1.0,女,2200
113,1,5,新莊區,23歲,23,23,完全落入,1.0,男,2841
113,1,5,新莊區,23歲,23,23,完全落入,1.0,女,2586
113,1,5,新莊區,24歲,24,24,完全落入,1.0,男,2520
113,1,5,新莊區,24歲,24,24,完全落入,1.0,女,2426
113,1,5,新莊區,25歲,25,25,完全落入,1.0,男,2408
113,1,5,新莊區,25歲,25,25,完全落入,1.0,女,2228
113,1,5,新莊區,26歲,26,26,完全落入,1.0,男,2960
113,1,5,新莊區,26歲,26,26,完全落入,1.0,女,2708
113,1,5,新莊區,27歲,27,27,完全落入,1.0,男,2900
113,1,5,新莊區,27歲,27,27,完全落入,1.0,女,2827
113,1,5,新莊區,28歲,28,28,完全落入,1.0,男,2957
113,1,5,新莊區,28歲,28,28,完全落入,1.0,女,2882
113,1,5,新莊區,29歲,29,29,完全落入,1.0,男,2983
113,1,5,新莊區,29歲,29,29,完全落入,1.0,女,2863
113,1,5,新莊區,30歲,30,30,完全落入,1.0,男,3157
113,1,5,新莊區,30歲,30,30,完全落入,1.0,女,2996
113,1,5,新莊區,31歲,31,31,完全落入,1.0,男,3088
113,1,5,新莊區,31歲,31,31,完全落入,1.0,女,2924
113,1,5,新莊區,32歲,32,32,完全落入,1.0,男,3158
113,1,5,新莊區,32歲,32,32,完全落入,1.0,女,2992
113,1,5,新莊區,33歲,33,33,完全落入,1.0,男,3304
113,1,5,新莊區,33歲,33,33,完全落入,1.0,女,3211
113,1,5,新莊區,34歲,34,34,完全落入,1.0,男,3008
113,1,5,新莊區,34歲,34,34,完全落入,1.0,女,2938
