民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,15,五股區,0歲,0,0,不相關,0.0,男,286
113,1,15,五股區,0歲,0,0,不相關,0.0,女,284
113,1,15,五股區,1歲,1,1,不相關,0.0,男,351
113,1,15,五股區,1歲,1,1,不相關,0.0,女,309
113,1,15,五股區,2歲,2,2,不相關,0.0,男,322
113,1,15,五股區,2歲,2,2,不相關,0.0,女,316
113,1,15,五股區,3歲,3,3,不相關,0.0,男,327
113,1,15,五股區,3歲,3,3,不相關,0.0,女,362
113,1,15,五股區,4歲,4,4,不相關,0.0,男,341
113,1,15,五股區,4歲,4,4,不相關,0.0,女,344
113,1,15,五股區,5歲,5,5,不相關,0.0,男,345
113,1,15,五股區,5歲,5,5,不相關,0.0,女,320
113,1,15,五股區,6歲,6,6,不相關,0.0,男,391
113,1,15,五股區,6歲,6,6,不相關,0.0,女,357
113,1,15,五股區,7歲,7,7,不相關,0.0,男,391
113,1,15,五股區,7歲,7,7,不相關,0.0,女,358
113,1,15,五股區,8歲,8,8,不相關,0.0,男,434
113,1,15,五股區,8歲,8,8,不相關,0.0,女,378
113,1,15,五股區,9歲,9,9,不相關,0.0,男,411
113,1,15,五股區,9歲,9,9,不相關,0.0,女,366
113,1,15,五股區,10歲,10,10,不相關,0.0,男,358
113,1,15,五股區,10歲,10,10,不相關,0.0,女,344
113,1,15,五股區,11歲,11,11,不相關,0.0,男,451
113,1,15,五股區,11歲,11,11,不相關,0.0,女,391
113,1,15,五股區,12歲,12,12,不相關,0.0,男,342
113,1,15,五股區,12歲,12,12,不相關,0.0,女,286
113,1,15,五股區,13歲,13,13,不相關,0.0,男,318
113,1,15,五股區,13歲,13,13,不相關,0.0,女,267
113,1,15,五股區,14歲,14,14,不相關,0.0,男,365
113,1,15,五股區,14歲,14,14,不相關,0.0,女,347
113,1,15,五股區,15歲,15,15,不相關,0.0,男,401
113,1,15,五股區,15歲,15,15,不相關,0.0,女,336
113,1,15,五股區,16歲,16,16,不相關,0.0,男,405
113,1,15,五股區,16歲,16,16,不相關,0.0,女,380
113,1,15,五股區,17歲,17,17,不相關,0.0,男,457
113,1,15,五股區,17歲,17,17,不相關,0.0,女,417
113,1,15,五股區,18歲,18,18,完全落入,1.0,男,453
113,1,15,五股區,18歲,18,18,完全落入,1.0,女,395
113,1,15,五股區,19歲,19,19,完全落入,1.0,男,463
113,1,15,五股區,19歲,19,19,完全落入,1.0,女,410
113,1,15,五股區,20歲,20,20,完全落入,1.0,男,502
113,1,15,五股區,20歲,20,20,完全落入,1.0,女,447
113,1,15,五股區,21歲,21,21,完全落入,1.0,男,526
113,1,15,五股區,21歲,21,21,完全落入,1.0,女,452
113,1,15,五股區,22歲,22,22,完全落入,1.0,男,546
113,1,15,五股區,22歲,22,22,完全落入,1.0,女,521
113,1,15,五股區,23歲,23,23,完全落入,1.0,男,664
113,1,15,五股區,23歲,23,23,完全落入,1.0,女,653
113,1,15,五股區,24歲,24,24,完全落入,1.0,男,655
113,1,15,五股區,24歲,24,24,完全落入,1.0,女,596
113,1,15,五股區,25歲,25,25,完全落入,1.0,男,594
113,1,15,五股區,25歲,25,25,完全落入,1.0,女,596
113,1,15,五股區,26歲,26,26,完全落入,1.0,男,727
113,1,15,五股區,26歲,26,26,完全落入,1.0,女,711
113,1,15,五股區,27歲,27,27,完全落入,1.0,男,771
113,1,15,五股區,27歲,27,27,完全落入,1.0,女,712
113,1,15,五股區,28歲,28,28,完全落入,1.0,男,776
113,1,15,五股區,28歲,28,28,完全落入,1.0,女,735
113,1,15,五股區,29歲,29,29,完全落入,1.0,男,797
113,1,15,五股區,29歲,29,29,完全落入,1.0,女,716
113,1,15,五股區,30歲,30,30,完全落入,1.0,男,767
113,1,15,五股區,30歲,30,30,完全落入,1.0,女,683
113,1,15,五股區,31歲,31,31,完全落入,1.0,男,821
113,1,15,五股區,31歲,31,31,完全落入,1.0,女,711
113,1,15,五股區,32歲,32,32,完全落入,1.0,男,805
113,1,15,五股區,32歲,32,32,完全落入,1.0,女,718
113,1,15,五股區,33歲,33,33,完全落入,1.0,男,836
113,1,15,五股區,33歲,33,33,完全落入,1.0,女,747
113,1,15,五股區,34歲,34,34,完全落入,1.0,男,715
113,1,15,五股區,34歲,34,34,完全落入,1.0,女,655
113,1,15,五股區,35歲,35,35,完全落入,1.0,男,796
113,1,15,五股區,35歲,35,35,完全落入,1.0,女,704
113,1,15,五股區,36歲,36,36,不相關,0.0,男,715
113,1,15,五股區,36歲,36,36,不相關,0.0,女,646
113,1,15,五股區,37歲,37,37,不相關,0.0,男,638
113,1,15,五股區,37歲,37,37,不相關,0.0,女,617
113,1,15,五股區,38歲,38,38,不相關,0.0,男,750
113,1,15,五股區,38歲,38,38,不相關,0.0,女,733
113,1,15,五股區,39歲,39,39,不相關,0.0,男,826
113,1,15,五股區,39歲,39,39,不相關,0.0,女,736
113,1,15,五股區,40歲,40,40,不相關,0.0,男,779
113,1,15,五股區,40歲,40,40,不相關,0.0,女,791
113,1,15,五股區,41歲,41,41,不相關,0.0,男,874
113,1,15,五股區,41歲,41,41,不相關,0.0,女,830
113,1,15,五股區,42歲,42,42,不相關,0.0,男,900
113,1,15,五股區,42歲,42,42,不相關,0.0,女,896
113,1,15,五股區,43歲,43,43,不相關,0.0,男,841
113,1,15,五股區,43歲,43,43,不相關,0.0,女,874
113,1,15,五股區,44歲,44,44,不相關,0.0,男,851
113,1,15,五股區,44歲,44,44,不相關,0.0,女,879
113,1,15,五股區,45歲,45,45,不相關,0.0,男,870
113,1,15,五股區,45歲,45,45,不相關,0.0,女,851
113,1,15,五股區,46歲,46,46,不相關,0.0,男,767
113,1,15,五股區,46歲,46,46,不相關,0.0,女,813
113,1,15,五股區,47歲,47,47,不相關,0.0,男,801
113,1,15,五股區,47歲,47,47,不相關,0.0,女,834
113,1,15,五股區,48歲,48,48,不相關,0.0,男,714
113,1,15,五股區,48歲,48,48,不相關,0.0,女,693
113,1,15,五股區,49歲,49,49,不相關,0.0,男,705
113,1,15,五股區,49歲,49,49,不相關,0.0,女,760
113,1,15,五股區,50歲,50,50,不相關,0.0,男,707
113,1,15,五股區,50歲,50,50,不相關,0.0,女,655
113,1,15,五股區,51歲,51,51,不相關,0.0,男,686
113,1,15,五股區,51歲,51,51,不相關,0.0,女,754
113,1,15,五股區,52歲,52,52,不相關,0.0,男,730
113,1,15,五股區,52歲,52,52,不相關,0.0,女,679
113,1,15,五股區,53歲,53,53,不相關,0.0,男,668
113,1,15,五股區,53歲,53,53,不相關,0.0,女,785
113,1,15,五股區,54歲,54,54,不相關,0.0,男,727
113,1,15,五股區,54歲,54,54,不相關,0.0,女,781
113,1,15,五股區,55歲,55,55,不相關,0.0,男,703
113,1,15,五股區,55歲,55,55,不相關,0.0,女,765
113,1,15,五股區,56歲,56,56,不相關,0.0,男,734
113,1,15,五股區,56歲,56,56,不相關,0.0,女,699
113,1,15,五股區,57歲,57,57,不相關,0.0,男,719
113,1,15,五股區,57歲,57,57,不相關,0.0,女,767
113,1,15,五股區,58歲,58,58,不相關,0.0,男,686
113,1,15,五股區,58歲,58,58,不相關,0.0,女,764
113,1,15,五股區,59歲,59,59,不相關,0.0,男,718
113,1,15,五股區,59歲,59,59,不相關,0.0,女,804
113,1,15,五股區,60歲,60,60,不相關,0.0,男,729
113,1,15,五股區,60歲,60,60,不相關,0.0,女,795
113,1,15,五股區,61歲,61,61,不相關,0.0,男,704
113,1,15,五股區,61歲,61,61,不相關,0.0,女,729
113,1,15,五股區,62歲,62,62,不相關,0.0,男,699
113,1,15,五股區,62歲,62,62,不相關,0.0,女,734
113,1,15,五股區,63歲,63,63,不相關,0.0,男,610
