民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
115,1,10,鶯歌區,0歲,0,0,不相關,0.0,男,223
115,1,10,鶯歌區,0歲,0,0,不相關,0.0,女,200
115,1,10,鶯歌區,1歲,1,1,不相關,0.0,男,285
115,1,10,鶯歌區,1歲,1,1,不相關,0.0,女,268
115,1,10,鶯歌區,2歲,2,2,不相關,0.0,男,280
115,1,10,鶯歌區,2歲,2,2,不相關,0.0,女,259
115,1,10,鶯歌區,3歲,3,3,不相關,0.0,男,316
115,1,10,鶯歌區,3歲,3,3,不相關,0.0,女,266
115,1,10,鶯歌區,4歲,4,4,不相關,0.0,男,311
115,1,10,鶯歌區,4歲,4,4,不相關,0.0,女,329
115,1,10,鶯歌區,5歲,5,5,不相關,0.0,男,315
115,1,10,鶯歌區,5歲,5,5,不相關,0.0,女,329
115,1,10,鶯歌區,6歲,6,6,不相關,0.0,男,330
115,1,10,鶯歌區,6歲,6,6,不相關,0.0,女,339
115,1,10,鶯歌區,7歲,7,7,不相關,0.0,男,371
115,1,10,鶯歌區,7歲,7,7,不相關,0.0,女,351
115,1,10,鶯歌區,8歲,8,8,不相關,0.0,男,417
115,1,10,鶯歌區,8歲,8,8,不相關,0.0,女,409
115,1,10,鶯歌區,9歲,9,9,不相關,0.0,男,436
115,1,10,鶯歌區,9歲,9,9,不相關,0.0,女,441
115,1,10,鶯歌區,10歲,10,10,不相關,0.0,男,411
115,1,10,鶯歌區,10歲,10,10,不相關,0.0,女,394
115,1,10,鶯歌區,11歲,11,11,不相關,0.0,男,447
115,1,10,鶯歌區,11歲,11,11,不相關,0.0,女,380
115,1,10,鶯歌區,12歲,12,12,不相關,0.0,男,374
115,1,10,鶯歌區,12歲,12,12,不相關,0.0,女,349
115,1,10,鶯歌區,13歲,13,13,不相關,0.0,男,455
115,1,10,鶯歌區,13歲,13,13,不相關,0.0,女,445
115,1,10,鶯歌區,14歲,14,14,不相關,0.0,男,390
115,1,10,鶯歌區,14歲,14,14,不相關,0.0,女,369
115,1,10,鶯歌區,15歲,15,15,不相關,0.0,男,349
115,1,10,鶯歌區,15歲,15,15,不相關,0.0,女,295
115,1,10,鶯歌區,16歲,16,16,不相關,0.0,男,417
115,1,10,鶯歌區,16歲,16,16,不相關,0.0,女,368
115,1,10,鶯歌區,17歲,17,17,不相關,0.0,男,392
