民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
107,,5,新莊區,,,,無年齡維度,0.0,女,不識字,未分,1671
107,,5,新莊區,,,,無年齡維度,0.0,女,二專,畢業,12629
107,,5,新莊區,,,,無年齡維度,0.0,女,二專,肄業,1673
107,,5,新莊區,,,,無年齡維度,0.0,女,五專前三年,肄業,1064
107,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,畢業,6759
107,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,肄業,338
107,,5,新莊區,,,,無年齡維度,0.0,女,博士,畢業,268
107,,5,新莊區,,,,無年齡維度,0.0,女,博士,肄業,177
107,,5,新莊區,,,,無年齡維度,0.0,女,國中,畢業,24280
107,,5,新莊區,,,,無年齡維度,0.0,女,國中,肄業,2782
107,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),畢業,204
107,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),肄業,25
107,,5,新莊區,,,,無年齡維度,0.0,女,國小,畢業,17107
107,,5,新莊區,,,,無年齡維度,0.0,女,國小,肄業,1890
107,,5,新莊區,,,,無年齡維度,0.0,女,大學,畢業,39692
107,,5,新莊區,,,,無年齡維度,0.0,女,大學,肄業,12003
107,,5,新莊區,,,,無年齡維度,0.0,女,碩士,畢業,5900
107,,5,新莊區,,,,無年齡維度,0.0,女,碩士,肄業,2022
107,,5,新莊區,,,,無年齡維度,0.0,女,自學,未分,316
107,,5,新莊區,,,,無年齡維度,0.0,女,高中,畢業,10409
107,,5,新莊區,,,,無年齡維度,0.0,女,高中,肄業,5092
107,,5,新莊區,,,,無年齡維度,0.0,女,高職,畢業,33244
107,,5,新莊區,,,,無年齡維度,0.0,女,高職,肄業,6415
107,,5,新莊區,,,,無年齡維度,0.0,男,不識字,未分,179
107,,5,新莊區,,,,無年齡維度,0.0,男,二專,畢業,10149
107,,5,新莊區,,,,無年齡維度,0.0,男,二專,肄業,2250
107,,5,新莊區,,,,無年齡維度,0.0,男,五專前三年,肄業,759
107,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,畢業,7858
107,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,肄業,609
107,,5,新莊區,,,,無年齡維度,0.0,男,博士,畢業,587
107,,5,新莊區,,,,無年齡維度,0.0,男,博士,肄業,404
107,,5,新莊區,,,,無年齡維度,0.0,男,國中,畢業,19870
107,,5,新莊區,,,,無年齡維度,0.0,男,國中,肄業,2774
107,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),畢業,224
107,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),肄業,72
107,,5,新莊區,,,,無年齡維度,0.0,男,國小,畢業,10843
107,,5,新莊區,,,,無年齡維度,0.0,男,國小,肄業,686
107,,5,新莊區,,,,無年齡維度,0.0,男,大學,畢業,34090
107,,5,新莊區,,,,無年齡維度,0.0,男,大學,肄業,13602
107,,5,新莊區,,,,無年齡維度,0.0,男,碩士,畢業,9875
107,,5,新莊區,,,,無年齡維度,0.0,男,碩士,肄業,2616
107,,5,新莊區,,,,無年齡維度,0.0,男,自學,未分,106
107,,5,新莊區,,,,無年齡維度,0.0,男,高中,畢業,11251
107,,5,新莊區,,,,無年齡維度,0.0,男,高中,肄業,5703
107,,5,新莊區,,,,無年齡維度,0.0,男,高職,畢業,30275
107,,5,新莊區,,,,無年齡維度,0.0,男,高職,肄業,8704
