民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,25,萬里區,,,,無年齡維度,0.0,女,不識字,未分,457
108,,25,萬里區,,,,無年齡維度,0.0,女,二專,畢業,129
108,,25,萬里區,,,,無年齡維度,0.0,女,二專,肄業,24
108,,25,萬里區,,,,無年齡維度,0.0,女,五專前三年,肄業,24
108,,25,萬里區,,,,無年齡維度,0.0,女,五專後二年,畢業,79
108,,25,萬里區,,,,無年齡維度,0.0,女,五專後二年,肄業,4
108,,25,萬里區,,,,無年齡維度,0.0,女,博士,畢業,3
108,,25,萬里區,,,,無年齡維度,0.0,女,博士,肄業,0
108,,25,萬里區,,,,無年齡維度,0.0,女,國中,畢業,519
108,,25,萬里區,,,,無年齡維度,0.0,女,國中,肄業,75
108,,25,萬里區,,,,無年齡維度,0.0,女,國中(職業),畢業,2
108,,25,萬里區,,,,無年齡維度,0.0,女,國中(職業),肄業,0
108,,25,萬里區,,,,無年齡維度,0.0,女,國小,畢業,690
108,,25,萬里區,,,,無年齡維度,0.0,女,國小,肄業,151
108,,25,萬里區,,,,無年齡維度,0.0,女,大學,畢業,499
108,,25,萬里區,,,,無年齡維度,0.0,女,大學,肄業,158
108,,25,萬里區,,,,無年齡維度,0.0,女,碩士,畢業,56
108,,25,萬里區,,,,無年齡維度,0.0,女,碩士,肄業,26
108,,25,萬里區,,,,無年齡維度,0.0,女,自學,未分,29
108,,25,萬里區,,,,無年齡維度,0.0,女,高中,畢業,134
108,,25,萬里區,,,,無年齡維度,0.0,女,高中,肄業,65
108,,25,萬里區,,,,無年齡維度,0.0,女,高職,畢業,460
108,,25,萬里區,,,,無年齡維度,0.0,女,高職,肄業,93
108,,25,萬里區,,,,無年齡維度,0.0,男,不識字,未分,78
108,,25,萬里區,,,,無年齡維度,0.0,男,二專,畢業,187
108,,25,萬里區,,,,無年齡維度,0.0,男,二專,肄業,42
108,,25,萬里區,,,,無年齡維度,0.0,男,五專前三年,肄業,13
108,,25,萬里區,,,,無年齡維度,0.0,男,五專後二年,畢業,117
108,,25,萬里區,,,,無年齡維度,0.0,男,五專後二年,肄業,12
108,,25,萬里區,,,,無年齡維度,0.0,男,博士,畢業,6
108,,25,萬里區,,,,無年齡維度,0.0,男,博士,肄業,8
108,,25,萬里區,,,,無年齡維度,0.0,男,國中,畢業,930
108,,25,萬里區,,,,無年齡維度,0.0,男,國中,肄業,173
108,,25,萬里區,,,,無年齡維度,0.0,男,國中(職業),畢業,1
108,,25,萬里區,,,,無年齡維度,0.0,男,國中(職業),肄業,0
108,,25,萬里區,,,,無年齡維度,0.0,男,國小,畢業,611
108,,25,萬里區,,,,無年齡維度,0.0,男,國小,肄業,111
108,,25,萬里區,,,,無年齡維度,0.0,男,大學,畢業,437
108,,25,萬里區,,,,無年齡維度,0.0,男,大學,肄業,190
108,,25,萬里區,,,,無年齡維度,0.0,男,碩士,畢業,98
108,,25,萬里區,,,,無年齡維度,0.0,男,碩士,肄業,34
108,,25,萬里區,,,,無年齡維度,0.0,男,自學,未分,24
108,,25,萬里區,,,,無年齡維度,0.0,男,高中,畢業,310
108,,25,萬里區,,,,無年齡維度,0.0,男,高中,肄業,121
108,,25,萬里區,,,,無年齡維度,0.0,男,高職,畢業,693
108,,25,萬里區,,,,無年齡維度,0.0,男,高職,肄業,200
