民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
110,,3,中和區,,,,無年齡維度,0.0,女,不識字,未分,1561
110,,3,中和區,,,,無年齡維度,0.0,女,二專,畢業,12750
110,,3,中和區,,,,無年齡維度,0.0,女,二專,肄業,1725
110,,3,中和區,,,,無年齡維度,0.0,女,五專前三年,肄業,1014
110,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,畢業,8560
110,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,肄業,451
110,,3,中和區,,,,無年齡維度,0.0,女,博士,畢業,410
110,,3,中和區,,,,無年齡維度,0.0,女,博士,肄業,254
110,,3,中和區,,,,無年齡維度,0.0,女,國中,畢業,19371
110,,3,中和區,,,,無年齡維度,0.0,女,國中,肄業,1987
110,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),畢業,537
110,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),肄業,72
110,,3,中和區,,,,無年齡維度,0.0,女,國小,畢業,17816
110,,3,中和區,,,,無年齡維度,0.0,女,國小,肄業,1702
110,,3,中和區,,,,無年齡維度,0.0,女,大學,畢業,46906
110,,3,中和區,,,,無年齡維度,0.0,女,大學,肄業,10625
110,,3,中和區,,,,無年齡維度,0.0,女,碩士,畢業,8793
110,,3,中和區,,,,無年齡維度,0.0,女,碩士,肄業,2483
110,,3,中和區,,,,無年齡維度,0.0,女,自學,未分,382
110,,3,中和區,,,,無年齡維度,0.0,女,高中,畢業,13236
110,,3,中和區,,,,無年齡維度,0.0,女,高中,肄業,4341
110,,3,中和區,,,,無年齡維度,0.0,女,高職,畢業,30306
110,,3,中和區,,,,無年齡維度,0.0,女,高職,肄業,4589
110,,3,中和區,,,,無年齡維度,0.0,男,不識字,未分,154
110,,3,中和區,,,,無年齡維度,0.0,男,二專,畢業,11062
110,,3,中和區,,,,無年齡維度,0.0,男,二專,肄業,2343
110,,3,中和區,,,,無年齡維度,0.0,男,五專前三年,肄業,760
110,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,畢業,9543
110,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,肄業,692
110,,3,中和區,,,,無年齡維度,0.0,男,博士,畢業,1031
110,,3,中和區,,,,無年齡維度,0.0,男,博士,肄業,567
110,,3,中和區,,,,無年齡維度,0.0,男,國中,畢業,14906
110,,3,中和區,,,,無年齡維度,0.0,男,國中,肄業,1890
110,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),畢業,354
110,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),肄業,75
110,,3,中和區,,,,無年齡維度,0.0,男,國小,畢業,8504
110,,3,中和區,,,,無年齡維度,0.0,男,國小,肄業,629
110,,3,中和區,,,,無年齡維度,0.0,男,大學,畢業,42297
110,,3,中和區,,,,無年齡維度,0.0,男,大學,肄業,12459
110,,3,中和區,,,,無年齡維度,0.0,男,碩士,畢業,13426
110,,3,中和區,,,,無年齡維度,0.0,男,碩士,肄業,3226
110,,3,中和區,,,,無年齡維度,0.0,男,自學,未分,92
110,,3,中和區,,,,無年齡維度,0.0,男,高中,畢業,12333
110,,3,中和區,,,,無年齡維度,0.0,男,高中,肄業,5012
110,,3,中和區,,,,無年齡維度,0.0,男,高職,畢業,26568
110,,3,中和區,,,,無年齡維度,0.0,男,高職,肄業,6899
