民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
110,,11,三峽區,,,,無年齡維度,0.0,女,不識字,未分,856
110,,11,三峽區,,,,無年齡維度,0.0,女,二專,畢業,6833
110,,11,三峽區,,,,無年齡維度,0.0,女,二專,肄業,871
110,,11,三峽區,,,,無年齡維度,0.0,女,五專前三年,肄業,513
110,,11,三峽區,,,,無年齡維度,0.0,女,五專後二年,畢業,4909
110,,11,三峽區,,,,無年齡維度,0.0,女,五專後二年,肄業,201
110,,11,三峽區,,,,無年齡維度,0.0,女,博士,畢業,245
110,,11,三峽區,,,,無年齡維度,0.0,女,博士,肄業,150
110,,11,三峽區,,,,無年齡維度,0.0,女,國中,畢業,9376
110,,11,三峽區,,,,無年齡維度,0.0,女,國中,肄業,969
110,,11,三峽區,,,,無年齡維度,0.0,女,國中(職業),畢業,102
110,,11,三峽區,,,,無年齡維度,0.0,女,國中(職業),肄業,17
110,,11,三峽區,,,,無年齡維度,0.0,女,國小,畢業,8273
110,,11,三峽區,,,,無年齡維度,0.0,女,國小,肄業,830
110,,11,三峽區,,,,無年齡維度,0.0,女,大學,畢業,24028
110,,11,三峽區,,,,無年齡維度,0.0,女,大學,肄業,5556
110,,11,三峽區,,,,無年齡維度,0.0,女,碩士,畢業,4034
110,,11,三峽區,,,,無年齡維度,0.0,女,碩士,肄業,1141
110,,11,三峽區,,,,無年齡維度,0.0,女,自學,未分,165
110,,11,三峽區,,,,無年齡維度,0.0,女,高中,畢業,6014
110,,11,三峽區,,,,無年齡維度,0.0,女,高中,肄業,2072
110,,11,三峽區,,,,無年齡維度,0.0,女,高職,畢業,16298
110,,11,三峽區,,,,無年齡維度,0.0,女,高職,肄業,2557
110,,11,三峽區,,,,無年齡維度,0.0,男,不識字,未分,79
110,,11,三峽區,,,,無年齡維度,0.0,男,二專,畢業,5666
110,,11,三峽區,,,,無年齡維度,0.0,男,二專,肄業,1218
110,,11,三峽區,,,,無年齡維度,0.0,男,五專前三年,肄業,235
110,,11,三峽區,,,,無年齡維度,0.0,男,五專後二年,畢業,4947
110,,11,三峽區,,,,無年齡維度,0.0,男,五專後二年,肄業,311
110,,11,三峽區,,,,無年齡維度,0.0,男,博士,畢業,585
110,,11,三峽區,,,,無年齡維度,0.0,男,博士,肄業,260
110,,11,三峽區,,,,無年齡維度,0.0,男,國中,畢業,8302
110,,11,三峽區,,,,無年齡維度,0.0,男,國中,肄業,935
110,,11,三峽區,,,,無年齡維度,0.0,男,國中(職業),畢業,57
110,,11,三峽區,,,,無年齡維度,0.0,男,國中(職業),肄業,25
110,,11,三峽區,,,,無年齡維度,0.0,男,國小,畢業,4061
110,,11,三峽區,,,,無年齡維度,0.0,男,國小,肄業,322
110,,11,三峽區,,,,無年齡維度,0.0,男,大學,畢業,21355
110,,11,三峽區,,,,無年齡維度,0.0,男,大學,肄業,6766
110,,11,三峽區,,,,無年齡維度,0.0,男,碩士,畢業,6622
110,,11,三峽區,,,,無年齡維度,0.0,男,碩士,肄業,1558
110,,11,三峽區,,,,無年齡維度,0.0,男,自學,未分,45
110,,11,三峽區,,,,無年齡維度,0.0,男,高中,畢業,5620
110,,11,三峽區,,,,無年齡維度,0.0,男,高中,肄業,2381
110,,11,三峽區,,,,無年齡維度,0.0,男,高職,畢業,14272
110,,11,三峽區,,,,無年齡維度,0.0,男,高職,肄業,4025
