民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
111,,6,新店區,,,,無年齡維度,0.0,女,不識字,未分,810
111,,6,新店區,,,,無年齡維度,0.0,女,二專,畢業,9044
111,,6,新店區,,,,無年齡維度,0.0,女,二專,肄業,1081
111,,6,新店區,,,,無年齡維度,0.0,女,五專前三年,肄業,615
111,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,畢業,7986
111,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,肄業,336
111,,6,新店區,,,,無年齡維度,0.0,女,博士,畢業,685
111,,6,新店區,,,,無年齡維度,0.0,女,博士,肄業,311
111,,6,新店區,,,,無年齡維度,0.0,女,國中,畢業,11712
111,,6,新店區,,,,無年齡維度,0.0,女,國中,肄業,1156
111,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),畢業,155
111,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),肄業,23
111,,6,新店區,,,,無年齡維度,0.0,女,國小,畢業,9930
111,,6,新店區,,,,無年齡維度,0.0,女,國小,肄業,1062
111,,6,新店區,,,,無年齡維度,0.0,女,大學,畢業,40156
111,,6,新店區,,,,無年齡維度,0.0,女,大學,肄業,7873
111,,6,新店區,,,,無年齡維度,0.0,女,碩士,畢業,8672
111,,6,新店區,,,,無年齡維度,0.0,女,碩士,肄業,2239
111,,6,新店區,,,,無年齡維度,0.0,女,自學,未分,321
111,,6,新店區,,,,無年齡維度,0.0,女,高中,畢業,10697
111,,6,新店區,,,,無年齡維度,0.0,女,高中,肄業,3289
111,,6,新店區,,,,無年齡維度,0.0,女,高職,畢業,21749
111,,6,新店區,,,,無年齡維度,0.0,女,高職,肄業,2608
111,,6,新店區,,,,無年齡維度,0.0,男,不識字,未分,78
111,,6,新店區,,,,無年齡維度,0.0,男,二專,畢業,7263
111,,6,新店區,,,,無年齡維度,0.0,男,二專,肄業,1488
111,,6,新店區,,,,無年齡維度,0.0,男,五專前三年,肄業,303
111,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,畢業,8010
111,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,肄業,445
111,,6,新店區,,,,無年齡維度,0.0,男,博士,畢業,1517
111,,6,新店區,,,,無年齡維度,0.0,男,博士,肄業,568
111,,6,新店區,,,,無年齡維度,0.0,男,國中,畢業,9112
111,,6,新店區,,,,無年齡維度,0.0,男,國中,肄業,1057
111,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),畢業,64
111,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),肄業,20
111,,6,新店區,,,,無年齡維度,0.0,男,國小,畢業,4201
111,,6,新店區,,,,無年齡維度,0.0,男,國小,肄業,512
111,,6,新店區,,,,無年齡維度,0.0,男,大學,畢業,35392
111,,6,新店區,,,,無年齡維度,0.0,男,大學,肄業,9271
111,,6,新店區,,,,無年齡維度,0.0,男,碩士,畢業,12320
111,,6,新店區,,,,無年齡維度,0.0,男,碩士,肄業,2807
111,,6,新店區,,,,無年齡維度,0.0,男,自學,未分,67
111,,6,新店區,,,,無年齡維度,0.0,男,高中,畢業,9000
111,,6,新店區,,,,無年齡維度,0.0,男,高中,肄業,3448
111,,6,新店區,,,,無年齡維度,0.0,男,高職,畢業,18101
111,,6,新店區,,,,無年齡維度,0.0,男,高職,肄業,4030
