民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
111,,29,烏來區,,,,無年齡維度,0.0,女,不識字,未分,6
111,,29,烏來區,,,,無年齡維度,0.0,女,二專,畢業,100
111,,29,烏來區,,,,無年齡維度,0.0,女,二專,肄業,35
111,,29,烏來區,,,,無年齡維度,0.0,女,五專前三年,肄業,41
111,,29,烏來區,,,,無年齡維度,0.0,女,五專後二年,畢業,101
111,,29,烏來區,,,,無年齡維度,0.0,女,五專後二年,肄業,12
111,,29,烏來區,,,,無年齡維度,0.0,女,博士,畢業,3
111,,29,烏來區,,,,無年齡維度,0.0,女,博士,肄業,2
111,,29,烏來區,,,,無年齡維度,0.0,女,國中,畢業,355
111,,29,烏來區,,,,無年齡維度,0.0,女,國中,肄業,60
111,,29,烏來區,,,,無年齡維度,0.0,女,國中(職業),畢業,6
111,,29,烏來區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
111,,29,烏來區,,,,無年齡維度,0.0,女,國小,畢業,312
111,,29,烏來區,,,,無年齡維度,0.0,女,國小,肄業,43
111,,29,烏來區,,,,無年齡維度,0.0,女,大學,畢業,471
111,,29,烏來區,,,,無年齡維度,0.0,女,大學,肄業,208
111,,29,烏來區,,,,無年齡維度,0.0,女,碩士,畢業,60
111,,29,烏來區,,,,無年齡維度,0.0,女,碩士,肄業,37
111,,29,烏來區,,,,無年齡維度,0.0,女,自學,未分,3
111,,29,烏來區,,,,無年齡維度,0.0,女,高中,畢業,191
111,,29,烏來區,,,,無年齡維度,0.0,女,高中,肄業,87
111,,29,烏來區,,,,無年齡維度,0.0,女,高職,畢業,533
111,,29,烏來區,,,,無年齡維度,0.0,女,高職,肄業,141
111,,29,烏來區,,,,無年齡維度,0.0,男,不識字,未分,3
111,,29,烏來區,,,,無年齡維度,0.0,男,二專,畢業,117
111,,29,烏來區,,,,無年齡維度,0.0,男,二專,肄業,47
111,,29,烏來區,,,,無年齡維度,0.0,男,五專前三年,肄業,10
111,,29,烏來區,,,,無年齡維度,0.0,男,五專後二年,畢業,106
111,,29,烏來區,,,,無年齡維度,0.0,男,五專後二年,肄業,8
111,,29,烏來區,,,,無年齡維度,0.0,男,博士,畢業,3
111,,29,烏來區,,,,無年齡維度,0.0,男,博士,肄業,8
111,,29,烏來區,,,,無年齡維度,0.0,男,國中,畢業,293
111,,29,烏來區,,,,無年齡維度,0.0,男,國中,肄業,70
111,,29,烏來區,,,,無年齡維度,0.0,男,國中(職業),畢業,9
111,,29,烏來區,,,,無年齡維度,0.0,男,國中(職業),肄業,2
111,,29,烏來區,,,,無年齡維度,0.0,男,國小,畢業,162
111,,29,烏來區,,,,無年齡維度,0.0,男,國小,肄業,11
111,,29,烏來區,,,,無年齡維度,0.0,男,大學,畢業,389
111,,29,烏來區,,,,無年齡維度,0.0,男,大學,肄業,198
111,,29,烏來區,,,,無年齡維度,0.0,男,碩士,畢業,79
111,,29,烏來區,,,,無年齡維度,0.0,男,碩士,肄業,33
111,,29,烏來區,,,,無年齡維度,0.0,男,自學,未分,1
111,,29,烏來區,,,,無年齡維度,0.0,男,高中,畢業,205
111,,29,烏來區,,,,無年齡維度,0.0,男,高中,肄業,120
111,,29,烏來區,,,,無年齡維度,0.0,男,高職,畢業,527
111,,29,烏來區,,,,無年齡維度,0.0,男,高職,肄業,255
