民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
112,,15,五股區,,,,無年齡維度,0.0,女,不識字,未分,335
112,,15,五股區,,,,無年齡維度,0.0,女,二專,畢業,2558
112,,15,五股區,,,,無年齡維度,0.0,女,二專,肄業,417
112,,15,五股區,,,,無年齡維度,0.0,女,五專前三年,肄業,264
112,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,畢業,1278
112,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,肄業,75
112,,15,五股區,,,,無年齡維度,0.0,女,博士,畢業,35
112,,15,五股區,,,,無年齡維度,0.0,女,博士,肄業,30
112,,15,五股區,,,,無年齡維度,0.0,女,國中,畢業,4982
112,,15,五股區,,,,無年齡維度,0.0,女,國中,肄業,506
112,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),畢業,33
112,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
112,,15,五股區,,,,無年齡維度,0.0,女,國小,畢業,4034
112,,15,五股區,,,,無年齡維度,0.0,女,國小,肄業,516
112,,15,五股區,,,,無年齡維度,0.0,女,大學,畢業,9681
112,,15,五股區,,,,無年齡維度,0.0,女,大學,肄業,2470
112,,15,五股區,,,,無年齡維度,0.0,女,碩士,畢業,1106
112,,15,五股區,,,,無年齡維度,0.0,女,碩士,肄業,426
112,,15,五股區,,,,無年齡維度,0.0,女,自學,未分,63
112,,15,五股區,,,,無年齡維度,0.0,女,高中,畢業,2439
112,,15,五股區,,,,無年齡維度,0.0,女,高中,肄業,935
112,,15,五股區,,,,無年齡維度,0.0,女,高職,畢業,7793
112,,15,五股區,,,,無年齡維度,0.0,女,高職,肄業,1499
112,,15,五股區,,,,無年齡維度,0.0,男,不識字,未分,28
112,,15,五股區,,,,無年齡維度,0.0,男,二專,畢業,2332
112,,15,五股區,,,,無年齡維度,0.0,男,二專,肄業,532
112,,15,五股區,,,,無年齡維度,0.0,男,五專前三年,肄業,158
112,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,畢業,1528
112,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,肄業,142
112,,15,五股區,,,,無年齡維度,0.0,男,博士,畢業,102
112,,15,五股區,,,,無年齡維度,0.0,男,博士,肄業,73
112,,15,五股區,,,,無年齡維度,0.0,男,國中,畢業,5080
112,,15,五股區,,,,無年齡維度,0.0,男,國中,肄業,619
112,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),畢業,28
112,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),肄業,10
112,,15,五股區,,,,無年齡維度,0.0,男,國小,畢業,2281
112,,15,五股區,,,,無年齡維度,0.0,男,國小,肄業,181
112,,15,五股區,,,,無年齡維度,0.0,男,大學,畢業,8640
112,,15,五股區,,,,無年齡維度,0.0,男,大學,肄業,3038
112,,15,五股區,,,,無年齡維度,0.0,男,碩士,畢業,1790
112,,15,五股區,,,,無年齡維度,0.0,男,碩士,肄業,580
112,,15,五股區,,,,無年齡維度,0.0,男,自學,未分,16
112,,15,五股區,,,,無年齡維度,0.0,男,高中,畢業,2573
112,,15,五股區,,,,無年齡維度,0.0,男,高中,肄業,1189
112,,15,五股區,,,,無年齡維度,0.0,男,高職,畢業,7473
112,,15,五股區,,,,無年齡維度,0.0,男,高職,肄業,2415
