民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
112,,28,貢寮區,,,,無年齡維度,0.0,女,不識字,未分,273
112,,28,貢寮區,,,,無年齡維度,0.0,女,二專,畢業,466
112,,28,貢寮區,,,,無年齡維度,0.0,女,二專,肄業,81
112,,28,貢寮區,,,,無年齡維度,0.0,女,五專前三年,肄業,80
112,,28,貢寮區,,,,無年齡維度,0.0,女,五專後二年,畢業,265
112,,28,貢寮區,,,,無年齡維度,0.0,女,五專後二年,肄業,19
112,,28,貢寮區,,,,無年齡維度,0.0,女,博士,畢業,9
112,,28,貢寮區,,,,無年齡維度,0.0,女,博士,肄業,9
112,,28,貢寮區,,,,無年齡維度,0.0,女,國中,畢業,1259
112,,28,貢寮區,,,,無年齡維度,0.0,女,國中,肄業,213
112,,28,貢寮區,,,,無年齡維度,0.0,女,國中(職業),畢業,7
112,,28,貢寮區,,,,無年齡維度,0.0,女,國中(職業),肄業,4
112,,28,貢寮區,,,,無年齡維度,0.0,女,國小,畢業,1322
112,,28,貢寮區,,,,無年齡維度,0.0,女,國小,肄業,291
112,,28,貢寮區,,,,無年齡維度,0.0,女,大學,畢業,1595
112,,28,貢寮區,,,,無年齡維度,0.0,女,大學,肄業,522
112,,28,貢寮區,,,,無年齡維度,0.0,女,碩士,畢業,168
112,,28,貢寮區,,,,無年齡維度,0.0,女,碩士,肄業,86
112,,28,貢寮區,,,,無年齡維度,0.0,女,自學,未分,37
112,,28,貢寮區,,,,無年齡維度,0.0,女,高中,畢業,730
112,,28,貢寮區,,,,無年齡維度,0.0,女,高中,肄業,223
112,,28,貢寮區,,,,無年齡維度,0.0,女,高職,畢業,1697
112,,28,貢寮區,,,,無年齡維度,0.0,女,高職,肄業,367
112,,28,貢寮區,,,,無年齡維度,0.0,男,不識字,未分,51
112,,28,貢寮區,,,,無年齡維度,0.0,男,二專,畢業,377
112,,28,貢寮區,,,,無年齡維度,0.0,男,二專,肄業,116
112,,28,貢寮區,,,,無年齡維度,0.0,男,五專前三年,肄業,42
112,,28,貢寮區,,,,無年齡維度,0.0,男,五專後二年,畢業,280
112,,28,貢寮區,,,,無年齡維度,0.0,男,五專後二年,肄業,34
112,,28,貢寮區,,,,無年齡維度,0.0,男,博士,畢業,9
112,,28,貢寮區,,,,無年齡維度,0.0,男,博士,肄業,4
112,,28,貢寮區,,,,無年齡維度,0.0,男,國中,畢業,1652
112,,28,貢寮區,,,,無年齡維度,0.0,男,國中,肄業,277
112,,28,貢寮區,,,,無年齡維度,0.0,男,國中(職業),畢業,7
112,,28,貢寮區,,,,無年齡維度,0.0,男,國中(職業),肄業,2
112,,28,貢寮區,,,,無年齡維度,0.0,男,國小,畢業,980
112,,28,貢寮區,,,,無年齡維度,0.0,男,國小,肄業,147
112,,28,貢寮區,,,,無年齡維度,0.0,男,大學,畢業,1293
112,,28,貢寮區,,,,無年齡維度,0.0,男,大學,肄業,525
112,,28,貢寮區,,,,無年齡維度,0.0,男,碩士,畢業,253
112,,28,貢寮區,,,,無年齡維度,0.0,男,碩士,肄業,85
112,,28,貢寮區,,,,無年齡維度,0.0,男,自學,未分,28
112,,28,貢寮區,,,,無年齡維度,0.0,男,高中,畢業,804
112,,28,貢寮區,,,,無年齡維度,0.0,男,高中,肄業,289
112,,28,貢寮區,,,,無年齡維度,0.0,男,高職,畢業,1685
112,,28,貢寮區,,,,無年齡維度,0.0,男,高職,肄業,598
