民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,12,淡水區,,,,無年齡維度,0.0,女,不識字,未分,570
113,,12,淡水區,,,,無年齡維度,0.0,女,二專,畢業,786
113,,12,淡水區,,,,無年齡維度,0.0,女,二專,肄業,176
113,,12,淡水區,,,,無年齡維度,0.0,女,五專前三年,肄業,125
113,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,畢業,408
113,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,肄業,46
113,,12,淡水區,,,,無年齡維度,0.0,女,博士,畢業,10
113,,12,淡水區,,,,無年齡維度,0.0,女,博士,肄業,10
113,,12,淡水區,,,,無年齡維度,0.0,女,國中,畢業,2385
113,,12,淡水區,,,,無年齡維度,0.0,女,國中,肄業,386
113,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),畢業,12
113,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
113,,12,淡水區,,,,無年齡維度,0.0,女,國小,畢業,2586
113,,12,淡水區,,,,無年齡維度,0.0,女,國小,肄業,438
113,,12,淡水區,,,,無年齡維度,0.0,女,大學,畢業,2690
113,,12,淡水區,,,,無年齡維度,0.0,女,大學,肄業,799
113,,12,淡水區,,,,無年齡維度,0.0,女,碩士,畢業,349
113,,12,淡水區,,,,無年齡維度,0.0,女,碩士,肄業,106
113,,12,淡水區,,,,無年齡維度,0.0,女,自學,未分,61
113,,12,淡水區,,,,無年齡維度,0.0,女,高中,畢業,744
113,,12,淡水區,,,,無年齡維度,0.0,女,高中,肄業,296
113,,12,淡水區,,,,無年齡維度,0.0,女,高職,畢業,2927
113,,12,淡水區,,,,無年齡維度,0.0,女,高職,肄業,716
113,,12,淡水區,,,,無年齡維度,0.0,男,不識字,未分,47
113,,12,淡水區,,,,無年齡維度,0.0,男,二專,畢業,838
113,,12,淡水區,,,,無年齡維度,0.0,男,二專,肄業,226
113,,12,淡水區,,,,無年齡維度,0.0,男,五專前三年,肄業,50
113,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,畢業,489
113,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,肄業,39
113,,12,淡水區,,,,無年齡維度,0.0,男,博士,畢業,27
113,,12,淡水區,,,,無年齡維度,0.0,男,博士,肄業,25
113,,12,淡水區,,,,無年齡維度,0.0,男,國中,畢業,2963
113,,12,淡水區,,,,無年齡維度,0.0,男,國中,肄業,485
113,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),畢業,15
113,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),肄業,6
113,,12,淡水區,,,,無年齡維度,0.0,男,國小,畢業,1379
113,,12,淡水區,,,,無年齡維度,0.0,男,國小,肄業,149
113,,12,淡水區,,,,無年齡維度,0.0,男,大學,畢業,2588
113,,12,淡水區,,,,無年齡維度,0.0,男,大學,肄業,970
113,,12,淡水區,,,,無年齡維度,0.0,男,碩士,畢業,473
113,,12,淡水區,,,,無年齡維度,0.0,男,碩士,肄業,167
113,,12,淡水區,,,,無年齡維度,0.0,男,自學,未分,58
113,,12,淡水區,,,,無年齡維度,0.0,男,高中,畢業,731
113,,12,淡水區,,,,無年齡維度,0.0,男,高中,肄業,368
113,,12,淡水區,,,,無年齡維度,0.0,男,高職,畢業,3476
113,,12,淡水區,,,,無年齡維度,0.0,男,高職,肄業,1325
