民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,14,瑞芳區,,,,無年齡維度,0.0,女,不識字,未分,569
113,,14,瑞芳區,,,,無年齡維度,0.0,女,二專,畢業,5364
113,,14,瑞芳區,,,,無年齡維度,0.0,女,二專,肄業,929
113,,14,瑞芳區,,,,無年齡維度,0.0,女,五專前三年,肄業,467
113,,14,瑞芳區,,,,無年齡維度,0.0,女,五專後二年,畢業,3219
113,,14,瑞芳區,,,,無年齡維度,0.0,女,五專後二年,肄業,242
113,,14,瑞芳區,,,,無年齡維度,0.0,女,博士,畢業,108
113,,14,瑞芳區,,,,無年齡維度,0.0,女,博士,肄業,77
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國中,畢業,12696
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國中,肄業,913
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國中(職業),畢業,64
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國中(職業),肄業,13
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國小,畢業,7612
113,,14,瑞芳區,,,,無年齡維度,0.0,女,國小,肄業,808
113,,14,瑞芳區,,,,無年齡維度,0.0,女,大學,畢業,22297
113,,14,瑞芳區,,,,無年齡維度,0.0,女,大學,肄業,5453
113,,14,瑞芳區,,,,無年齡維度,0.0,女,碩士,畢業,3121
113,,14,瑞芳區,,,,無年齡維度,0.0,女,碩士,肄業,1026
113,,14,瑞芳區,,,,無年齡維度,0.0,女,自學,未分,143
113,,14,瑞芳區,,,,無年齡維度,0.0,女,高中,畢業,5817
113,,14,瑞芳區,,,,無年齡維度,0.0,女,高中,肄業,2247
113,,14,瑞芳區,,,,無年齡維度,0.0,女,高職,畢業,14571
113,,14,瑞芳區,,,,無年齡維度,0.0,女,高職,肄業,2919
113,,14,瑞芳區,,,,無年齡維度,0.0,男,不識字,未分,50
113,,14,瑞芳區,,,,無年齡維度,0.0,男,二專,畢業,4156
113,,14,瑞芳區,,,,無年齡維度,0.0,男,二專,肄業,1212
113,,14,瑞芳區,,,,無年齡維度,0.0,男,五專前三年,肄業,269
113,,14,瑞芳區,,,,無年齡維度,0.0,男,五專後二年,畢業,3434
113,,14,瑞芳區,,,,無年齡維度,0.0,男,五專後二年,肄業,324
113,,14,瑞芳區,,,,無年齡維度,0.0,男,博士,畢業,253
113,,14,瑞芳區,,,,無年齡維度,0.0,男,博士,肄業,139
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國中,畢業,10964
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國中,肄業,986
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國中(職業),畢業,52
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國中(職業),肄業,19
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國小,畢業,4443
113,,14,瑞芳區,,,,無年齡維度,0.0,男,國小,肄業,311
113,,14,瑞芳區,,,,無年齡維度,0.0,男,大學,畢業,19063
113,,14,瑞芳區,,,,無年齡維度,0.0,男,大學,肄業,6795
113,,14,瑞芳區,,,,無年齡維度,0.0,男,碩士,畢業,4965
113,,14,瑞芳區,,,,無年齡維度,0.0,男,碩士,肄業,1409
113,,14,瑞芳區,,,,無年齡維度,0.0,男,自學,未分,31
113,,14,瑞芳區,,,,無年齡維度,0.0,男,高中,畢業,5787
113,,14,瑞芳區,,,,無年齡維度,0.0,男,高中,肄業,2717
113,,14,瑞芳區,,,,無年齡維度,0.0,男,高職,畢業,13030
113,,14,瑞芳區,,,,無年齡維度,0.0,男,高職,肄業,4529
