民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,27,雙溪區,,,,無年齡維度,0.0,女,不識字,未分,297
113,,27,雙溪區,,,,無年齡維度,0.0,女,二專,畢業,458
113,,27,雙溪區,,,,無年齡維度,0.0,女,二專,肄業,104
113,,27,雙溪區,,,,無年齡維度,0.0,女,五專前三年,肄業,58
113,,27,雙溪區,,,,無年齡維度,0.0,女,五專後二年,畢業,202
113,,27,雙溪區,,,,無年齡維度,0.0,女,五專後二年,肄業,20
113,,27,雙溪區,,,,無年齡維度,0.0,女,博士,畢業,13
113,,27,雙溪區,,,,無年齡維度,0.0,女,博士,肄業,9
113,,27,雙溪區,,,,無年齡維度,0.0,女,國中,畢業,1249
113,,27,雙溪區,,,,無年齡維度,0.0,女,國中,肄業,186
113,,27,雙溪區,,,,無年齡維度,0.0,女,國中(職業),畢業,2
113,,27,雙溪區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
113,,27,雙溪區,,,,無年齡維度,0.0,女,國小,畢業,1290
113,,27,雙溪區,,,,無年齡維度,0.0,女,國小,肄業,282
113,,27,雙溪區,,,,無年齡維度,0.0,女,大學,畢業,1787
113,,27,雙溪區,,,,無年齡維度,0.0,女,大學,肄業,464
113,,27,雙溪區,,,,無年齡維度,0.0,女,碩士,畢業,196
113,,27,雙溪區,,,,無年齡維度,0.0,女,碩士,肄業,84
113,,27,雙溪區,,,,無年齡維度,0.0,女,自學,未分,33
113,,27,雙溪區,,,,無年齡維度,0.0,女,高中,畢業,454
113,,27,雙溪區,,,,無年齡維度,0.0,女,高中,肄業,225
113,,27,雙溪區,,,,無年齡維度,0.0,女,高職,畢業,1681
113,,27,雙溪區,,,,無年齡維度,0.0,女,高職,肄業,354
113,,27,雙溪區,,,,無年齡維度,0.0,男,不識字,未分,41
113,,27,雙溪區,,,,無年齡維度,0.0,男,二專,畢業,417
113,,27,雙溪區,,,,無年齡維度,0.0,男,二專,肄業,116
113,,27,雙溪區,,,,無年齡維度,0.0,男,五專前三年,肄業,34
113,,27,雙溪區,,,,無年齡維度,0.0,男,五專後二年,畢業,243
113,,27,雙溪區,,,,無年齡維度,0.0,男,五專後二年,肄業,20
113,,27,雙溪區,,,,無年齡維度,0.0,男,博士,畢業,17
113,,27,雙溪區,,,,無年齡維度,0.0,男,博士,肄業,4
113,,27,雙溪區,,,,無年齡維度,0.0,男,國中,畢業,1732
113,,27,雙溪區,,,,無年齡維度,0.0,男,國中,肄業,274
113,,27,雙溪區,,,,無年齡維度,0.0,男,國中(職業),畢業,1
113,,27,雙溪區,,,,無年齡維度,0.0,男,國中(職業),肄業,5
113,,27,雙溪區,,,,無年齡維度,0.0,男,國小,畢業,967
113,,27,雙溪區,,,,無年齡維度,0.0,男,國小,肄業,145
113,,27,雙溪區,,,,無年齡維度,0.0,男,大學,畢業,1304
113,,27,雙溪區,,,,無年齡維度,0.0,男,大學,肄業,548
113,,27,雙溪區,,,,無年齡維度,0.0,男,碩士,畢業,269
113,,27,雙溪區,,,,無年齡維度,0.0,男,碩士,肄業,102
113,,27,雙溪區,,,,無年齡維度,0.0,男,自學,未分,37
113,,27,雙溪區,,,,無年齡維度,0.0,男,高中,畢業,475
113,,27,雙溪區,,,,無年齡維度,0.0,男,高中,肄業,280
113,,27,雙溪區,,,,無年齡維度,0.0,男,高職,畢業,1606
113,,27,雙溪區,,,,無年齡維度,0.0,男,高職,肄業,499
