民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,7,土城區,,,,無年齡維度,0.0,女,不識字,未分,400
114,,7,土城區,,,,無年齡維度,0.0,女,二專,畢業,4732
114,,7,土城區,,,,無年齡維度,0.0,女,二專,肄業,587
114,,7,土城區,,,,無年齡維度,0.0,女,五專前三年,肄業,418
114,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,畢業,2616
114,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,肄業,255
114,,7,土城區,,,,無年齡維度,0.0,女,博士,畢業,151
114,,7,土城區,,,,無年齡維度,0.0,女,博士,肄業,81
114,,7,土城區,,,,無年齡維度,0.0,女,國中,畢業,9191
114,,7,土城區,,,,無年齡維度,0.0,女,國中,肄業,1036
114,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),畢業,130
114,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),肄業,16
114,,7,土城區,,,,無年齡維度,0.0,女,國小,畢業,7224
114,,7,土城區,,,,無年齡維度,0.0,女,國小,肄業,667
114,,7,土城區,,,,無年齡維度,0.0,女,大學,畢業,19694
114,,7,土城區,,,,無年齡維度,0.0,女,大學,肄業,4779
114,,7,土城區,,,,無年齡維度,0.0,女,碩士,畢業,3167
114,,7,土城區,,,,無年齡維度,0.0,女,碩士,肄業,931
114,,7,土城區,,,,無年齡維度,0.0,女,自學,未分,148
114,,7,土城區,,,,無年齡維度,0.0,女,高中,畢業,4546
114,,7,土城區,,,,無年齡維度,0.0,女,高中,肄業,1944
114,,7,土城區,,,,無年齡維度,0.0,女,高職,畢業,14401
114,,7,土城區,,,,無年齡維度,0.0,女,高職,肄業,2491
114,,7,土城區,,,,無年齡維度,0.0,男,不識字,未分,52
114,,7,土城區,,,,無年齡維度,0.0,男,二專,畢業,4434
114,,7,土城區,,,,無年齡維度,0.0,男,二專,肄業,862
114,,7,土城區,,,,無年齡維度,0.0,男,五專前三年,肄業,277
114,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,畢業,3009
114,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,肄業,268
114,,7,土城區,,,,無年齡維度,0.0,男,博士,畢業,363
114,,7,土城區,,,,無年齡維度,0.0,男,博士,肄業,196
114,,7,土城區,,,,無年齡維度,0.0,男,國中,畢業,8344
114,,7,土城區,,,,無年齡維度,0.0,男,國中,肄業,1062
114,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),畢業,107
114,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),肄業,18
114,,7,土城區,,,,無年齡維度,0.0,男,國小,畢業,3758
114,,7,土城區,,,,無年齡維度,0.0,男,國小,肄業,290
114,,7,土城區,,,,無年齡維度,0.0,男,大學,畢業,16951
114,,7,土城區,,,,無年齡維度,0.0,男,大學,肄業,5989
114,,7,土城區,,,,無年齡維度,0.0,男,碩士,畢業,4773
114,,7,土城區,,,,無年齡維度,0.0,男,碩士,肄業,1240
114,,7,土城區,,,,無年齡維度,0.0,男,自學,未分,30
114,,7,土城區,,,,無年齡維度,0.0,男,高中,畢業,5318
114,,7,土城區,,,,無年齡維度,0.0,男,高中,肄業,2496
114,,7,土城區,,,,無年齡維度,0.0,男,高職,畢業,13570
114,,7,土城區,,,,無年齡維度,0.0,男,高職,肄業,3733
