民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,8,蘆洲區,,,,無年齡維度,0.0,女,不識字,未分,342
114,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,畢業,2042
114,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,肄業,345
114,,8,蘆洲區,,,,無年齡維度,0.0,女,五專前三年,肄業,204
114,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,畢業,1249
114,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,肄業,135
114,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,畢業,51
114,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,肄業,36
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,畢業,5210
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,肄業,490
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),畢業,22
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,畢業,3602
114,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,肄業,410
114,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,畢業,9585
114,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,肄業,2436
114,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,畢業,1369
114,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,肄業,492
114,,8,蘆洲區,,,,無年齡維度,0.0,女,自學,未分,57
114,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,畢業,2207
114,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,肄業,867
114,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,畢業,7054
114,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,肄業,1548
114,,8,蘆洲區,,,,無年齡維度,0.0,男,不識字,未分,29
114,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,畢業,1844
114,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,肄業,390
114,,8,蘆洲區,,,,無年齡維度,0.0,男,五專前三年,肄業,105
114,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,畢業,1358
114,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,肄業,152
114,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,畢業,141
114,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,肄業,87
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,畢業,4921
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,肄業,523
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),畢業,21
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),肄業,11
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,畢業,2039
114,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,肄業,126
114,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,畢業,8787
114,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,肄業,2849
114,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,畢業,2212
114,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,肄業,624
114,,8,蘆洲區,,,,無年齡維度,0.0,男,自學,未分,26
114,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,畢業,2174
114,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,肄業,1066
114,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,畢業,7285
114,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,肄業,2486
