民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,18,八里區,,,,無年齡維度,0.0,女,不識字,未分,85
114,,18,八里區,,,,無年齡維度,0.0,女,二專,畢業,688
114,,18,八里區,,,,無年齡維度,0.0,女,二專,肄業,93
114,,18,八里區,,,,無年齡維度,0.0,女,五專前三年,肄業,53
114,,18,八里區,,,,無年齡維度,0.0,女,五專後二年,畢業,499
114,,18,八里區,,,,無年齡維度,0.0,女,五專後二年,肄業,45
114,,18,八里區,,,,無年齡維度,0.0,女,博士,畢業,53
114,,18,八里區,,,,無年齡維度,0.0,女,博士,肄業,20
114,,18,八里區,,,,無年齡維度,0.0,女,國中,畢業,933
114,,18,八里區,,,,無年齡維度,0.0,女,國中,肄業,148
114,,18,八里區,,,,無年齡維度,0.0,女,國中(職業),畢業,7
114,,18,八里區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
114,,18,八里區,,,,無年齡維度,0.0,女,國小,畢業,1088
114,,18,八里區,,,,無年齡維度,0.0,女,國小,肄業,127
114,,18,八里區,,,,無年齡維度,0.0,女,大學,畢業,2782
114,,18,八里區,,,,無年齡維度,0.0,女,大學,肄業,591
114,,18,八里區,,,,無年齡維度,0.0,女,碩士,畢業,476
114,,18,八里區,,,,無年齡維度,0.0,女,碩士,肄業,138
114,,18,八里區,,,,無年齡維度,0.0,女,自學,未分,24
114,,18,八里區,,,,無年齡維度,0.0,女,高中,畢業,780
114,,18,八里區,,,,無年齡維度,0.0,女,高中,肄業,251
114,,18,八里區,,,,無年齡維度,0.0,女,高職,畢業,1827
114,,18,八里區,,,,無年齡維度,0.0,女,高職,肄業,287
114,,18,八里區,,,,無年齡維度,0.0,男,不識字,未分,8
114,,18,八里區,,,,無年齡維度,0.0,男,二專,畢業,570
114,,18,八里區,,,,無年齡維度,0.0,男,二專,肄業,114
114,,18,八里區,,,,無年齡維度,0.0,男,五專前三年,肄業,20
114,,18,八里區,,,,無年齡維度,0.0,男,五專後二年,畢業,550
114,,18,八里區,,,,無年齡維度,0.0,男,五專後二年,肄業,40
114,,18,八里區,,,,無年齡維度,0.0,男,博士,畢業,88
114,,18,八里區,,,,無年齡維度,0.0,男,博士,肄業,24
114,,18,八里區,,,,無年齡維度,0.0,男,國中,畢業,1056
114,,18,八里區,,,,無年齡維度,0.0,男,國中,肄業,125
114,,18,八里區,,,,無年齡維度,0.0,男,國中(職業),畢業,1
114,,18,八里區,,,,無年齡維度,0.0,男,國中(職業),肄業,2
114,,18,八里區,,,,無年齡維度,0.0,男,國小,畢業,611
114,,18,八里區,,,,無年齡維度,0.0,男,國小,肄業,42
114,,18,八里區,,,,無年齡維度,0.0,男,大學,畢業,2607
114,,18,八里區,,,,無年齡維度,0.0,男,大學,肄業,811
114,,18,八里區,,,,無年齡維度,0.0,男,碩士,畢業,666
114,,18,八里區,,,,無年齡維度,0.0,男,碩士,肄業,183
114,,18,八里區,,,,無年齡維度,0.0,男,自學,未分,4
114,,18,八里區,,,,無年齡維度,0.0,男,高中,畢業,758
114,,18,八里區,,,,無年齡維度,0.0,男,高中,肄業,290
114,,18,八里區,,,,無年齡維度,0.0,男,高職,畢業,1701
114,,18,八里區,,,,無年齡維度,0.0,男,高職,肄業,503
