民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,21,坪林區,,,,無年齡維度,0.0,女,不識字,未分,266
114,,21,坪林區,,,,無年齡維度,0.0,女,二專,畢業,477
114,,21,坪林區,,,,無年齡維度,0.0,女,二專,肄業,97
114,,21,坪林區,,,,無年齡維度,0.0,女,五專前三年,肄業,85
114,,21,坪林區,,,,無年齡維度,0.0,女,五專後二年,畢業,375
114,,21,坪林區,,,,無年齡維度,0.0,女,五專後二年,肄業,43
114,,21,坪林區,,,,無年齡維度,0.0,女,博士,畢業,16
114,,21,坪林區,,,,無年齡維度,0.0,女,博士,肄業,9
114,,21,坪林區,,,,無年齡維度,0.0,女,國中,畢業,1564
114,,21,坪林區,,,,無年齡維度,0.0,女,國中,肄業,119
114,,21,坪林區,,,,無年齡維度,0.0,女,國中(職業),畢業,8
114,,21,坪林區,,,,無年齡維度,0.0,女,國中(職業),肄業,0
114,,21,坪林區,,,,無年齡維度,0.0,女,國小,畢業,923
114,,21,坪林區,,,,無年齡維度,0.0,女,國小,肄業,135
114,,21,坪林區,,,,無年齡維度,0.0,女,大學,畢業,1922
114,,21,坪林區,,,,無年齡維度,0.0,女,大學,肄業,545
114,,21,坪林區,,,,無年齡維度,0.0,女,碩士,畢業,285
114,,21,坪林區,,,,無年齡維度,0.0,女,碩士,肄業,99
114,,21,坪林區,,,,無年齡維度,0.0,女,自學,未分,29
114,,21,坪林區,,,,無年齡維度,0.0,女,高中,畢業,642
114,,21,坪林區,,,,無年齡維度,0.0,女,高中,肄業,193
114,,21,坪林區,,,,無年齡維度,0.0,女,高職,畢業,1799
114,,21,坪林區,,,,無年齡維度,0.0,女,高職,肄業,346
114,,21,坪林區,,,,無年齡維度,0.0,男,不識字,未分,42
114,,21,坪林區,,,,無年齡維度,0.0,男,二專,畢業,478
114,,21,坪林區,,,,無年齡維度,0.0,男,二專,肄業,115
114,,21,坪林區,,,,無年齡維度,0.0,男,五專前三年,肄業,102
114,,21,坪林區,,,,無年齡維度,0.0,男,五專後二年,畢業,393
114,,21,坪林區,,,,無年齡維度,0.0,男,五專後二年,肄業,30
114,,21,坪林區,,,,無年齡維度,0.0,男,博士,畢業,48
114,,21,坪林區,,,,無年齡維度,0.0,男,博士,肄業,19
114,,21,坪林區,,,,無年齡維度,0.0,男,國中,畢業,1829
114,,21,坪林區,,,,無年齡維度,0.0,男,國中,肄業,131
114,,21,坪林區,,,,無年齡維度,0.0,男,國中(職業),畢業,2
114,,21,坪林區,,,,無年齡維度,0.0,男,國中(職業),肄業,4
114,,21,坪林區,,,,無年齡維度,0.0,男,國小,畢業,746
114,,21,坪林區,,,,無年齡維度,0.0,男,國小,肄業,84
114,,21,坪林區,,,,無年齡維度,0.0,男,大學,畢業,1873
114,,21,坪林區,,,,無年齡維度,0.0,男,大學,肄業,633
114,,21,坪林區,,,,無年齡維度,0.0,男,碩士,畢業,376
114,,21,坪林區,,,,無年齡維度,0.0,男,碩士,肄業,101
114,,21,坪林區,,,,無年齡維度,0.0,男,自學,未分,27
114,,21,坪林區,,,,無年齡維度,0.0,男,高中,畢業,694
114,,21,坪林區,,,,無年齡維度,0.0,男,高中,肄業,280
114,,21,坪林區,,,,無年齡維度,0.0,男,高職,畢業,1941
114,,21,坪林區,,,,無年齡維度,0.0,男,高職,肄業,556
