民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,22,三芝區,,,,無年齡維度,0.0,女,不識字,未分,21
114,,22,三芝區,,,,無年齡維度,0.0,女,二專,畢業,166
114,,22,三芝區,,,,無年齡維度,0.0,女,二專,肄業,44
114,,22,三芝區,,,,無年齡維度,0.0,女,五專前三年,肄業,27
114,,22,三芝區,,,,無年齡維度,0.0,女,五專後二年,畢業,103
114,,22,三芝區,,,,無年齡維度,0.0,女,五專後二年,肄業,13
114,,22,三芝區,,,,無年齡維度,0.0,女,博士,畢業,3
114,,22,三芝區,,,,無年齡維度,0.0,女,博士,肄業,1
114,,22,三芝區,,,,無年齡維度,0.0,女,國中,畢業,770
114,,22,三芝區,,,,無年齡維度,0.0,女,國中,肄業,51
114,,22,三芝區,,,,無年齡維度,0.0,女,國中(職業),畢業,0
114,,22,三芝區,,,,無年齡維度,0.0,女,國中(職業),肄業,0
114,,22,三芝區,,,,無年齡維度,0.0,女,國小,畢業,611
114,,22,三芝區,,,,無年齡維度,0.0,女,國小,肄業,105
114,,22,三芝區,,,,無年齡維度,0.0,女,大學,畢業,822
114,,22,三芝區,,,,無年齡維度,0.0,女,大學,肄業,237
114,,22,三芝區,,,,無年齡維度,0.0,女,碩士,畢業,78
114,,22,三芝區,,,,無年齡維度,0.0,女,碩士,肄業,28
114,,22,三芝區,,,,無年齡維度,0.0,女,自學,未分,6
114,,22,三芝區,,,,無年齡維度,0.0,女,高中,畢業,263
114,,22,三芝區,,,,無年齡維度,0.0,女,高中,肄業,96
114,,22,三芝區,,,,無年齡維度,0.0,女,高職,畢業,859
114,,22,三芝區,,,,無年齡維度,0.0,女,高職,肄業,172
114,,22,三芝區,,,,無年齡維度,0.0,男,不識字,未分,10
114,,22,三芝區,,,,無年齡維度,0.0,男,二專,畢業,170
114,,22,三芝區,,,,無年齡維度,0.0,男,二專,肄業,36
114,,22,三芝區,,,,無年齡維度,0.0,男,五專前三年,肄業,40
114,,22,三芝區,,,,無年齡維度,0.0,男,五專後二年,畢業,124
114,,22,三芝區,,,,無年齡維度,0.0,男,五專後二年,肄業,22
114,,22,三芝區,,,,無年齡維度,0.0,男,博士,畢業,4
114,,22,三芝區,,,,無年齡維度,0.0,男,博士,肄業,2
114,,22,三芝區,,,,無年齡維度,0.0,男,國中,畢業,968
114,,22,三芝區,,,,無年齡維度,0.0,男,國中,肄業,68
114,,22,三芝區,,,,無年齡維度,0.0,男,國中(職業),畢業,0
114,,22,三芝區,,,,無年齡維度,0.0,男,國中(職業),肄業,1
114,,22,三芝區,,,,無年齡維度,0.0,男,國小,畢業,471
114,,22,三芝區,,,,無年齡維度,0.0,男,國小,肄業,76
114,,22,三芝區,,,,無年齡維度,0.0,男,大學,畢業,728
114,,22,三芝區,,,,無年齡維度,0.0,男,大學,肄業,276
114,,22,三芝區,,,,無年齡維度,0.0,男,碩士,畢業,113
114,,22,三芝區,,,,無年齡維度,0.0,男,碩士,肄業,50
114,,22,三芝區,,,,無年齡維度,0.0,男,自學,未分,3
114,,22,三芝區,,,,無年齡維度,0.0,男,高中,畢業,345
114,,22,三芝區,,,,無年齡維度,0.0,男,高中,肄業,125
114,,22,三芝區,,,,無年齡維度,0.0,男,高職,畢業,938
114,,22,三芝區,,,,無年齡維度,0.0,男,高職,肄業,311
