民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,24,金山區,,,,無年齡維度,0.0,女,不識字,未分,119
114,,24,金山區,,,,無年齡維度,0.0,女,二專,畢業,60
114,,24,金山區,,,,無年齡維度,0.0,女,二專,肄業,13
114,,24,金山區,,,,無年齡維度,0.0,女,五專前三年,肄業,11
114,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,畢業,38
114,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,肄業,8
114,,24,金山區,,,,無年齡維度,0.0,女,博士,畢業,1
114,,24,金山區,,,,無年齡維度,0.0,女,博士,肄業,0
114,,24,金山區,,,,無年齡維度,0.0,女,國中,畢業,279
114,,24,金山區,,,,無年齡維度,0.0,女,國中,肄業,29
114,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),畢業,0
114,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
114,,24,金山區,,,,無年齡維度,0.0,女,國小,畢業,306
114,,24,金山區,,,,無年齡維度,0.0,女,國小,肄業,79
114,,24,金山區,,,,無年齡維度,0.0,女,大學,畢業,202
114,,24,金山區,,,,無年齡維度,0.0,女,大學,肄業,61
114,,24,金山區,,,,無年齡維度,0.0,女,碩士,畢業,15
114,,24,金山區,,,,無年齡維度,0.0,女,碩士,肄業,13
114,,24,金山區,,,,無年齡維度,0.0,女,自學,未分,6
114,,24,金山區,,,,無年齡維度,0.0,女,高中,畢業,74
114,,24,金山區,,,,無年齡維度,0.0,女,高中,肄業,28
114,,24,金山區,,,,無年齡維度,0.0,女,高職,畢業,221
114,,24,金山區,,,,無年齡維度,0.0,女,高職,肄業,57
114,,24,金山區,,,,無年齡維度,0.0,男,不識字,未分,9
114,,24,金山區,,,,無年齡維度,0.0,男,二專,畢業,90
114,,24,金山區,,,,無年齡維度,0.0,男,二專,肄業,24
114,,24,金山區,,,,無年齡維度,0.0,男,五專前三年,肄業,7
114,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,畢業,72
114,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,肄業,9
114,,24,金山區,,,,無年齡維度,0.0,男,博士,畢業,1
114,,24,金山區,,,,無年齡維度,0.0,男,博士,肄業,3
114,,24,金山區,,,,無年齡維度,0.0,男,國中,畢業,567
114,,24,金山區,,,,無年齡維度,0.0,男,國中,肄業,30
114,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),畢業,0
114,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),肄業,0
114,,24,金山區,,,,無年齡維度,0.0,男,國小,畢業,181
114,,24,金山區,,,,無年齡維度,0.0,男,國小,肄業,25
114,,24,金山區,,,,無年齡維度,0.0,男,大學,畢業,181
114,,24,金山區,,,,無年齡維度,0.0,男,大學,肄業,74
114,,24,金山區,,,,無年齡維度,0.0,男,碩士,畢業,43
114,,24,金山區,,,,無年齡維度,0.0,男,碩士,肄業,12
114,,24,金山區,,,,無年齡維度,0.0,男,自學,未分,2
114,,24,金山區,,,,無年齡維度,0.0,男,高中,畢業,168
114,,24,金山區,,,,無年齡維度,0.0,男,高中,肄業,47
114,,24,金山區,,,,無年齡維度,0.0,男,高職,畢業,454
114,,24,金山區,,,,無年齡維度,0.0,男,高職,肄業,146
