民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,未婚,0,13783
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,未婚,0,14693
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,13,汐止區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,11
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,5227
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,3
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,5774
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
109,,13,汐止區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,有偶,0,265
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,有偶,1,4
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,未婚,0,7284
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,離婚,0,75
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,女,離婚,1,2
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,有偶,0,142
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,未婚,0,8153
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,離婚,0,36
109,,13,汐止區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,5
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1402
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,有偶,1,14
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,未婚,0,7137
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,離婚,0,237
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,女,離婚,1,2
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,有偶,0,852
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,有偶,1,7
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,未婚,0,8491
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,離婚,0,120
109,,13,汐止區,25~29歲,25,29,完全落入,1.0,男,離婚,1,1
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,14
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,有偶,0,3485
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,有偶,1,15
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,未婚,0,4673
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,離婚,0,486
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,2
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,有偶,0,2659
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,有偶,1,4
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,未婚,0,6358
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,離婚,0,339
109,,13,汐止區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,41
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,5819
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,12
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,3230
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,995
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,9
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,4858
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,4
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,4806
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,722
109,,13,汐止區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,2
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,喪偶,0,103
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,有偶,0,6531
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,有偶,1,6
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,未婚,0,2369
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,離婚,0,1416
109,,13,汐止區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,喪偶,0,25
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,有偶,0,5886
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,有偶,1,5
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,未婚,0,3192
109,,13,汐止區,40~44歲,40,44,不相關,0.0,男,離婚,0,1152
