民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,未婚,0,12327
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,未婚,0,13562
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,14
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,5057
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,6
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,5569
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,有偶,0,216
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,未婚,0,6567
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,離婚,0,42
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,有偶,0,131
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,有偶,1,1
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,未婚,0,7349
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,離婚,0,22
109,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,1
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1152
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,有偶,1,13
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,未婚,0,6163
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,離婚,0,174
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,離婚,1,2
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,有偶,0,730
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,有偶,1,3
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,未婚,0,7280
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,離婚,0,126
109,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,男,離婚,1,1
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,7
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,有偶,0,2937
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,有偶,1,11
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,未婚,0,3983
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,離婚,0,376
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,女,離婚,1,2
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,有偶,0,2185
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,有偶,1,4
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,未婚,0,5173
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,離婚,0,258
109,,14,瑞芳區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,36
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,4795
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,13
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,2613
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,773
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,1
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,6
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,3879
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,6
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,3753
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,563
109,,14,瑞芳區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,喪偶,0,112
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,有偶,0,5895
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,有偶,1,11
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,未婚,0,1954
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,離婚,0,1214
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,女,離婚,1,1
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,喪偶,0,20
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,有偶,0,5098
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,有偶,1,5
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,未婚,0,2592
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,離婚,0,905
109,,14,瑞芳區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
109,,14,瑞芳區,45~49歲,45,49,不相關,0.0,女,喪偶,0,189
109,,14,瑞芳區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
109,,14,瑞芳區,45~49歲,45,49,不相關,0.0,女,有偶,0,5491
109,,14,瑞芳區,45~49歲,45,49,不相關,0.0,女,有偶,1,4
