民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,未婚,0,18062
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,未婚,0,19602
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
113,,3,中和區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,11
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,7563
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,5
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,8375
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
113,,3,中和區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,有偶,0,167
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,有偶,1,5
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,未婚,0,9188
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,離婚,0,58
113,,3,中和區,20~24歲,20,24,完全落入,1.0,女,離婚,1,2
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,有偶,0,96
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,有偶,1,2
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,未婚,0,10217
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,離婚,0,39
113,,3,中和區,20~24歲,20,24,完全落入,1.0,男,離婚,1,2
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,2
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1328
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,有偶,1,18
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,未婚,0,10063
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,離婚,0,238
113,,3,中和區,25~29歲,25,29,完全落入,1.0,女,離婚,1,9
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,1
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,有偶,0,845
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,有偶,1,11
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,未婚,0,11138
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,離婚,0,160
113,,3,中和區,25~29歲,25,29,完全落入,1.0,男,離婚,1,4
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,9
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,1
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,有偶,0,4167
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,有偶,1,47
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,未婚,0,7827
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,離婚,0,550
113,,3,中和區,30~34歲,30,34,完全落入,1.0,女,離婚,1,23
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,4
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,有偶,0,3219
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,有偶,1,25
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,未婚,0,9989
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,離婚,0,420
113,,3,中和區,30~34歲,30,34,完全落入,1.0,男,離婚,1,3
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,39
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,6707
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,78
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,5774
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,912
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,12
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,12
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,5565
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,31
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,7539
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,662
113,,3,中和區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,6
113,,3,中和區,40~44歲,40,44,不相關,0.0,女,喪偶,0,127
113,,3,中和區,40~44歲,40,44,不相關,0.0,女,喪偶,1,1
113,,3,中和區,40~44歲,40,44,不相關,0.0,女,有偶,0,9904
