民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,未婚,0,4547
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,未婚,0,4830
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
113,,16,泰山區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,6
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,1914
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,2113
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
113,,16,泰山區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,有偶,0,47
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,有偶,1,3
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,未婚,0,2016
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,離婚,0,17
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,女,離婚,1,1
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,有偶,0,34
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,有偶,1,1
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,未婚,0,2246
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,離婚,0,6
113,,16,泰山區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,1
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,有偶,0,349
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,有偶,1,4
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,未婚,0,1928
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,離婚,0,61
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,女,離婚,1,2
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,有偶,0,245
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,有偶,1,2
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,未婚,0,2299
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,離婚,0,41
113,,16,泰山區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
113,,16,泰山區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
113,,16,泰山區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
113,,16,泰山區,30~34歲,30,34,完全落入,1.0,女,有偶,0,1008
113,,16,泰山區,30~34歲,30,34,完全落入,1.0,女,有偶,1,15
113,,16,泰山區,30~34歲,30,34,完全落入,1.0,女,未婚,0,1386
