民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,未婚,0,9936
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,未婚,0,10731
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,7,土城區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,6
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,1
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,3788
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,2
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,4336
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
114,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,有偶,0,126
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,未婚,0,4268
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,離婚,0,42
114,,7,土城區,20~24歲,20,24,完全落入,1.0,女,離婚,1,7
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,有偶,0,80
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,有偶,1,1
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,未婚,0,4692
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,離婚,0,15
114,,7,土城區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,5
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,有偶,0,803
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,有偶,1,11
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,未婚,0,4607
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,離婚,0,149
114,,7,土城區,25~29歲,25,29,完全落入,1.0,女,離婚,1,6
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,有偶,0,543
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,有偶,1,2
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,未婚,0,5508
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,離婚,0,113
114,,7,土城區,25~29歲,25,29,完全落入,1.0,男,離婚,1,3
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,8
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,有偶,0,2100
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,有偶,1,22
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,未婚,0,3545
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,離婚,0,327
114,,7,土城區,30~34歲,30,34,完全落入,1.0,女,離婚,1,6
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,2
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1605
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,有偶,1,5
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,未婚,0,4570
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,離婚,0,249
114,,7,土城區,30~34歲,30,34,完全落入,1.0,男,離婚,1,4
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,16
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,3047
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,36
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,2338
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,505
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,9
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,6
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,2618
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,15
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,3375
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,391
114,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,3
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,喪偶,0,79
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,有偶,0,4569
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,有偶,1,28
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,未婚,0,1932
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,離婚,0,943
114,,7,土城區,40~44歲,40,44,不相關,0.0,女,離婚,1,4
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,喪偶,0,15
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,有偶,0,3947
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,有偶,1,10
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,未婚,0,2764
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,離婚,0,755
114,,7,土城區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,喪偶,0,193
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,有偶,0,5100
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,有偶,1,19
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,未婚,0,1564
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,離婚,0,1251
114,,7,土城區,45~49歲,45,49,不相關,0.0,女,離婚,1,3
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,喪偶,0,31
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,有偶,0,4887
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,有偶,1,5
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,未婚,0,2209
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,離婚,0,1082
114,,7,土城區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,喪偶,0,250
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,有偶,0,4519
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,有偶,1,8
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,未婚,0,1001
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,離婚,0,1134
114,,7,土城區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,喪偶,0,49
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,有偶,0,4116
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,有偶,1,2
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,未婚,0,1153
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,離婚,0,1058
114,,7,土城區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,喪偶,0,459
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,有偶,0,4448
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,未婚,0,715
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,離婚,0,1160
114,,7,土城區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,喪偶,0,88
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,有偶,0,4203
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,未婚,0,725
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,離婚,0,1016
114,,7,土城區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,喪偶,0,831
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,有偶,0,4706
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,未婚,0,445
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,離婚,0,1100
114,,7,土城區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,喪偶,0,165
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,有偶,0,4591
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,有偶,1,1
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,未婚,0,514
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,離婚,0,1023
114,,7,土城區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,喪偶,0,1216
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,有偶,0,4147
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,未婚,0,305
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,離婚,0,968
114,,7,土城區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,男,喪偶,0,271
114,,7,土城區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,男,有偶,0,4307
114,,7,土城區,65~69歲,65,69,不相關,0.0,男,有偶,1,0
114,,7,土城區,65~69歲,65,69,不相關,0.0,男,未婚,0,280
