民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,未婚,0,6735
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,未婚,0,7358
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,9,樹林區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,8
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,2544
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,1
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,2811
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
114,,9,樹林區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,1
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,有偶,0,84
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,有偶,1,2
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,未婚,0,2743
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,離婚,0,29
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,有偶,0,47
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,有偶,1,2
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,未婚,0,3182
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,離婚,0,17
114,,9,樹林區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,有偶,0,559
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,有偶,1,9
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,未婚,0,3044
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,離婚,0,117
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,女,離婚,1,6
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,有偶,0,379
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,有偶,1,5
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,未婚,0,3689
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,離婚,0,95
114,,9,樹林區,25~29歲,25,29,完全落入,1.0,男,離婚,1,2
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,4
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,有偶,0,1333
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,有偶,1,26
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,未婚,0,2168
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,離婚,0,246
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,女,離婚,1,4
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1066
114,,9,樹林區,30~34歲,30,34,完全落入,1.0,男,有偶,1,9
