民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,未婚,0,11462
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,未婚,0,12231
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,17,林口區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,3
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,3182
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,3
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,3415
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
114,,17,林口區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,1
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,有偶,0,70
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,有偶,1,2
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,未婚,0,2795
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,離婚,0,15
114,,17,林口區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,有偶,0,47
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,未婚,0,3199
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,離婚,0,12
114,,17,林口區,20~24歲,20,24,完全落入,1.0,男,離婚,1,2
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,2
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,有偶,0,533
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,有偶,1,6
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,未婚,0,3124
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,離婚,0,96
114,,17,林口區,25~29歲,25,29,完全落入,1.0,女,離婚,1,1
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,有偶,0,375
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,有偶,1,1
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,未婚,0,3600
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,離婚,0,43
114,,17,林口區,25~29歲,25,29,完全落入,1.0,男,離婚,1,4
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,2
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,有偶,0,2014
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,有偶,1,25
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,未婚,0,2334
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,離婚,0,205
114,,17,林口區,30~34歲,30,34,完全落入,1.0,女,離婚,1,4
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,1
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1530
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,有偶,1,9
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,未婚,0,2828
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,離婚,0,158
114,,17,林口區,30~34歲,30,34,完全落入,1.0,男,離婚,1,1
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,14
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,3405
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,27
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,1546
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,332
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,5
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,5
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,2823
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,16
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,1784
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,262
114,,17,林口區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,2
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,喪偶,0,56
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,有偶,0,4770
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,有偶,1,32
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,未婚,0,1241
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,離婚,0,663
114,,17,林口區,40~44歲,40,44,不相關,0.0,女,離婚,1,1
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,喪偶,0,10
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,喪偶,1,1
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,有偶,0,3889
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,有偶,1,13
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,未婚,0,1376
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,離婚,0,436
114,,17,林口區,40~44歲,40,44,不相關,0.0,男,離婚,1,2
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,喪偶,0,101
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,有偶,0,4925
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,有偶,1,24
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,未婚,0,1171
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,離婚,0,857
114,,17,林口區,45~49歲,45,49,不相關,0.0,女,離婚,1,2
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,喪偶,0,20
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,有偶,0,4521
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,有偶,1,7
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,未婚,0,1041
114,,17,林口區,45~49歲,45,49,不相關,0.0,男,離婚,0,659
