民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,未婚,0,193
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,未婚,0,178
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,86
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,124
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
114,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,有偶,0,7
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,未婚,0,180
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,離婚,0,3
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,有偶,0,1
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,未婚,0,187
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,離婚,0,0
114,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,有偶,0,25
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,未婚,0,187
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,離婚,0,8
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,有偶,0,31
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,未婚,0,201
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,離婚,0,6
114,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,0
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,有偶,0,48
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,有偶,1,1
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,未婚,0,103
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,離婚,0,8
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,離婚,1,1
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,有偶,0,42
