民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,未婚,0,217
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,未婚,0,230
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,1
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,103
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,132
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
114,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,0,7
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,未婚,0,212
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,0,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,0,6
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,未婚,0,191
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,離婚,0,2
114,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,1
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,有偶,0,40
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,未婚,0,195
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,離婚,0,11
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,離婚,1,1
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,有偶,0,26
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,有偶,1,1
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,未婚,0,270
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,離婚,0,7
114,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,有偶,0,91
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,有偶,1,1
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,未婚,0,149
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,離婚,0,15
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,有偶,0,75
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,有偶,1,1
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,未婚,0,208
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,離婚,0,23
114,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,1
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,108
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,1
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,99
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,33
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,84
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,157
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,12
114,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,喪偶,0,8
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,有偶,0,203
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,有偶,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,未婚,0,88
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,離婚,0,48
114,,26,平溪區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,喪偶,0,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,有偶,0,141
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,有偶,1,0
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,未婚,0,143
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,離婚,0,37
114,,26,平溪區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,喪偶,0,17
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,有偶,0,261
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,有偶,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,未婚,0,68
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,離婚,0,86
114,,26,平溪區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,喪偶,0,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,有偶,0,195
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,有偶,1,0
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,未婚,0,138
114,,26,平溪區,45~49歲,45,49,不相關,0.0,男,離婚,0,78
