民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,migrants,83
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,migrants,80
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,94
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,61
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,合計,161
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,合計,110
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,國外,1
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,國外,5
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,桃園市,6
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,桃園市,13
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,福建省,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,福建省,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺中市,6
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺中市,4
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺北市,20
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺北市,11
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺南市,2
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺南市,1
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺灣省,25
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺灣省,12
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,高雄市,4
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,高雄市,1
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,migrants,83
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,migrants,80
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,99
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,64
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,合計,163
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,合計,119
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,國外,2
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,國外,2
108,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,新北市內,0
108,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,新北市內,0
