民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,migrants,275
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,migrants,256
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,other,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,other,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,166
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,138
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,合計,369
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,合計,336
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,國外,27
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,國外,17
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,桃園市,27
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,桃園市,20
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,福建省,4
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,福建省,3
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺中市,14
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺中市,13
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺北市,75
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺北市,85
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺南市,3
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺南市,4
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺灣省,34
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺灣省,33
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,高雄市,8
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,高雄市,12
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,migrants,275
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,migrants,256
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,other,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,other,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,205
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,139
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,合計,369
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,合計,295
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,國外,18
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,國外,10
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,桃園市,55
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,桃園市,45
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,福建省,3
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,福建省,5
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,臺中市,8
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,臺中市,7
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,臺北市,38
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,臺北市,30
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,臺南市,3
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,臺南市,7
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,臺灣省,29
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,臺灣省,40
109,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,高雄市,10
109,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,高雄市,12
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,migrants,250
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,migrants,245
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,other,0
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,other,0
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,196
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,162
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,合計,405
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,合計,394
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,國外,7
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,國外,6
109,2,13,汐止區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,2,13,汐止區,,,,無年齡維度,0.0,男,遷入,新北市內,0
