民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,165
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,146
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,108
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,80
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,380
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,321
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,27
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,18
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,56
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,60
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,2
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,7
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,11
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,120
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,97
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺南市,4
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺南市,3
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺灣省,40
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺灣省,36
109,1,17,林口區,,,,無年齡維度,0.0,女,遷入,高雄市,11
109,1,17,林口區,,,,無年齡維度,0.0,男,遷入,高雄市,6
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,migrants,165
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,migrants,146
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,other,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,other,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,45
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,29
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,合計,180
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,合計,141
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,國外,18
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,國外,9
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,桃園市,50
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,桃園市,47
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,福建省,2
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺中市,8
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺中市,3
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺北市,38
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺北市,33
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺南市,1
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺南市,2
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺灣省,17
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺灣省,14
109,1,17,林口區,,,,無年齡維度,0.0,女,遷出,高雄市,3
109,1,17,林口區,,,,無年齡維度,0.0,男,遷出,高雄市,2
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,206
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,142
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,130
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,131
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,426
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,427
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,5
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,7
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,96
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,65
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,2
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,3
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,6
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,12
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,119
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,157
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺南市,7
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺南市,7
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺灣省,45
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺灣省,32
109,2,17,林口區,,,,無年齡維度,0.0,女,遷入,高雄市,14
109,2,17,林口區,,,,無年齡維度,0.0,男,遷入,高雄市,9
109,2,17,林口區,,,,無年齡維度,0.0,女,遷出,migrants,206
109,2,17,林口區,,,,無年齡維度,0.0,男,遷出,migrants,142
109,2,17,林口區,,,,無年齡維度,0.0,女,遷出,other,0
109,2,17,林口區,,,,無年齡維度,0.0,男,遷出,other,0
109,2,17,林口區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
