民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,migrants,122
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,migrants,101
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,other,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,other,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,70
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,61
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,合計,151
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,合計,134
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,國外,3
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,國外,5
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,桃園市,40
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,桃園市,39
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,福建省,3
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,福建省,4
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,臺中市,2
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,臺中市,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,臺北市,10
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,臺北市,9
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,臺南市,2
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,臺南市,1
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,臺灣省,14
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,臺灣省,10
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷入,高雄市,5
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷入,高雄市,2
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,migrants,122
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,migrants,101
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,other,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,other,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,47
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,31
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,合計,169
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,合計,117
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,國外,10
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,國外,7
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,新北市內,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,新北市內,0
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,桃園市,69
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,桃園市,48
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,福建省,2
110,1,8,蘆洲區,,,,無年齡維度,0.0,男,遷出,福建省,2
110,1,8,蘆洲區,,,,無年齡維度,0.0,女,遷出,臺中市,3
