民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,migrants,87
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,migrants,86
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,other,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,other,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,111
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,100
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,合計,205
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,合計,174
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,國外,3
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,國外,2
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,桃園市,15
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,桃園市,11
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,福建省,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,福建省,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺中市,3
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺中市,3
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺北市,46
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺北市,34
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺南市,4
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺南市,3
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺灣省,14
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺灣省,15
110,1,15,五股區,,,,無年齡維度,0.0,女,遷入,高雄市,5
110,1,15,五股區,,,,無年齡維度,0.0,男,遷入,高雄市,4
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,migrants,87
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,migrants,86
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,other,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,other,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,106
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,81
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,合計,171
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,合計,140
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,國外,13
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,國外,6
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,新北市內,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,新北市內,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,桃園市,8
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,桃園市,17
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,福建省,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,福建省,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,臺中市,10
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,臺中市,2
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,臺北市,17
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,臺北市,18
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,臺南市,0
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,臺南市,0
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,臺灣省,12
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,臺灣省,13
110,1,15,五股區,,,,無年齡維度,0.0,女,遷出,高雄市,5
110,1,15,五股區,,,,無年齡維度,0.0,男,遷出,高雄市,3
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,migrants,61
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,migrants,67
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,other,0
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,other,0
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,114
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,111
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,合計,167
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,合計,173
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,國外,1
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,國外,0
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,桃園市,3
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,桃園市,5
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,福建省,0
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,福建省,0
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,臺中市,2
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,臺中市,2
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,臺北市,26
110,2,15,五股區,,,,無年齡維度,0.0,男,遷入,臺北市,36
110,2,15,五股區,,,,無年齡維度,0.0,女,遷入,臺南市,2
