民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,migrants,231
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,migrants,196
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,other,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,other,0
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,181
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,151
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,合計,309
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,合計,272
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,國外,8
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,國外,6
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,桃園市,30
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,桃園市,19
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,福建省,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,福建省,2
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺中市,4
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺中市,5
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺北市,34
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺北市,35
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺南市,4
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺南市,5
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺灣省,35
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺灣省,44
111,1,7,土城區,,,,無年齡維度,0.0,女,遷入,高雄市,1
111,1,7,土城區,,,,無年齡維度,0.0,男,遷入,高雄市,2
111,1,7,土城區,,,,無年齡維度,0.0,女,遷出,migrants,231
111,1,7,土城區,,,,無年齡維度,0.0,男,遷出,migrants,196
111,1,7,土城區,,,,無年齡維度,0.0,女,遷出,other,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷出,other,0
111,1,7,土城區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
111,1,7,土城區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
111,1,7,土城區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,224
111,1,7,土城區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,180
