民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,366
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,366
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,185
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,164
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,640
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,560
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,66
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,47
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,34
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,26
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,3
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,3
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,18
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,11
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,248
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,223
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺南市,7
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺南市,10
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺灣省,57
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺灣省,55
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,高雄市,6
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,高雄市,9
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,migrants,366
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,migrants,366
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,other,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,other,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,73
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,70
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,合計,304
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,合計,248
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,國外,19
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,國外,13
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,桃園市,21
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,桃園市,21
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,福建省,2
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,福建省,4
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺中市,11
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺中市,9
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺北市,133
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺北市,102
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺南市,8
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺南市,3
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺灣省,29
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺灣省,21
113,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,高雄市,8
113,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,高雄市,4
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,288
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,261
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,171
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,114
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,593
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,482
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,49
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,43
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,27
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,27
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,4
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,2
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,20
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,18
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,237
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,209
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺南市,7
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺南市,2
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺灣省,56
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺灣省,48
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,高雄市,8
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,高雄市,8
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,migrants,288
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,migrants,261
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,other,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,other,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,87
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,74
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,合計,279
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,合計,243
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,國外,10
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,國外,20
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,桃園市,15
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,桃園市,9
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,福建省,1
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,福建省,2
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺中市,16
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺中市,15
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺北市,102
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺北市,85
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺南市,2
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺南市,4
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺灣省,34
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺灣省,28
113,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,高雄市,12
113,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,高雄市,6
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,393
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,366
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,153
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,120
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,569
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,466
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,49
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,40
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,31
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,24
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,1
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,2
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,15
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,16
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,232
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,176
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺南市,6
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺南市,6
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺灣省,54
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺灣省,49
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,高雄市,10
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,高雄市,13
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,migrants,393
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,migrants,366
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,other,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,other,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,103
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,78
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,合計,334
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,合計,243
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,國外,17
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,國外,9
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,桃園市,16
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,桃園市,17
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,福建省,2
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,福建省,1
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺中市,13
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺中市,8
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺北市,145
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺北市,86
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺南市,7
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺南市,11
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺灣省,24
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺灣省,26
113,3,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,高雄市,7
113,3,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,高雄市,7
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,379
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,313
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,152
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,147
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,571
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,501
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,39
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,33
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,38
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,29
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,4
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,1
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,17
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,14
113,4,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,226
113,4,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,211
