民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,migrants,28
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,migrants,25
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,11
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,15
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,合計,52
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,合計,43
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,國外,6
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,國外,6
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,桃園市,7
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,桃園市,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,福建省,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,福建省,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺中市,3
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺中市,3
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺北市,7
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺北市,8
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺南市,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺南市,1
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺灣省,16
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺灣省,9
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,高雄市,1
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,高雄市,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,migrants,28
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,migrants,25
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,other,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,other,0
113,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
