民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,migrants,244
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,migrants,186
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,173
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,114
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,合計,374
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,合計,282
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,國外,34
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,國外,22
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,桃園市,26
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,桃園市,16
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,福建省,1
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,福建省,4
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺中市,2
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺中市,1
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺北市,90
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺北市,80
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺南市,3
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺南市,6
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺灣省,37
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺灣省,34
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,高雄市,3
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,高雄市,3
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,migrants,244
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,migrants,186
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,other,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,other,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,185
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,149
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,合計,370
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,合計,313
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,國外,2
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,國外,4
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,桃園市,49
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,桃園市,39
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,福建省,2
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,福建省,2
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,臺中市,6
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,臺中市,7
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,臺北市,70
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,臺北市,63
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,臺南市,8
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,臺南市,3
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,臺灣省,42
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,臺灣省,36
113,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷出,高雄市,6
113,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷出,高雄市,10
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,migrants,194
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,migrants,153
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,other,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,other,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,148
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,111
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,合計,328
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,合計,254
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,國外,26
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,國外,25
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,2,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,桃園市,12
