民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樓厝里,1770.0,1388689.0,22658.0,21498.0,1119511.0,45860.0,36794.0,4370.0,1357.0,121773.0,529.0,9057.0,475.0,4806.0,899838.0,1168916.0,2860.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保和里,762.0,539957.0,13367.0,9035.0,426636.0,23996.0,13149.0,778.0,508.0,41598.0,4925.0,3847.0,0.0,2119.0,335796.0,449843.0,546.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,得勝里,932.0,665761.0,10226.0,16750.0,484234.0,35015.0,39312.0,2129.0,854.0,64197.0,906.0,4104.0,320.0,7714.0,381379.0,562907.0,959.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,仁復里,553.0,521580.0,4639.0,6607.0,339915.0,21943.0,16434.0,1174.0,280.0,120869.0,0.0,6885.0,270.0,2565.0,274982.0,456672.0,956.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,溪墘里,930.0,679748.0,8817.0,6499.0,544357.0,25315.0,17479.0,1926.0,546.0,68166.0,7.0,5232.0,0.0,1403.0,429779.0,565173.0,684.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,中路里,1154.0,808404.0,15074.0,6579.0,657229.0,30270.0,16829.0,2007.0,1382.0,69204.0,3.0,5823.0,0.0,4006.0,509775.0,660950.0,140.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,正義里,3411.0,3756815.0,70133.0,62692.0,2833258.0,115153.0,102209.0,16228.0,2814.0,491235.0,3447.0,45695.0,805.0,13146.0,2360853.0,3284995.0,4654.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,水湳里,2982.0,2544028.0,60418.0,21332.0,2010336.0,85014.0,50241.0,5683.0,2429.0,280056.0,49.0,21369.0,135.0,6965.0,1623077.0,2156664.0,1468.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保佑里,1027.0,710275.0,11760.0,7038.0,585981.0,21915.0,11303.0,2779.0,716.0,57140.0,12.0,6633.0,7.0,4992.0,459018.0,583688.0,553.0,,,,,,,,,,,
101,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樹德里,978.0,750993.0,8830.0,7473.0,605574.0,22676.0,27000.0,2430.0,703.0,66740.0,1.0,7680.0,80.0,1807.0,484065.0,629485.0,751.0,,,,,,,,,,,
