民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,三峽里,88.0,64027.0,1465.0,264.0,52556.0,4142.0,1390.0,216.0,52.0,2701.0,0.0,921.0,0.0,320.0,42328.0,53800.0,8.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,秀川里,159.0,102671.0,5473.0,541.0,84407.0,4763.0,1540.0,566.0,165.0,3948.0,0.0,581.0,0.0,685.0,66189.0,84452.0,20.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,八張里,957.0,691791.0,50642.0,4698.0,561452.0,23425.0,5563.0,7313.0,627.0,29320.0,0.0,6138.0,0.0,2613.0,438732.0,569071.0,326.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,中埔里,612.0,389581.0,10375.0,6454.0,337187.0,9634.0,1052.0,1603.0,477.0,14487.0,18.0,7937.0,0.0,359.0,256133.0,308528.0,38.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,礁溪里,1516.0,1061167.0,17474.0,17620.0,880227.0,37104.0,13850.0,5311.0,1254.0,70427.0,712.0,8707.0,0.0,8479.0,686324.0,867264.0,397.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,永館里,2000.0,1610859.0,22442.0,25435.0,1188556.0,73532.0,69989.0,11041.0,1683.0,186990.0,1660.0,15042.0,803.0,13685.0,950503.0,1372638.0,2593.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,鳶山里,2587.0,1946353.0,36966.0,25909.0,1558994.0,68694.0,44505.0,13506.0,2406.0,157888.0,6570.0,19904.0,250.0,10762.0,1231572.0,1618932.0,2219.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,龍埔里,2377.0,1773108.0,30878.0,32720.0,1450695.0,65775.0,32960.0,12311.0,1749.0,115342.0,931.0,18974.0,357.0,10414.0,1148445.0,1470763.0,2092.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,弘道里,273.0,180081.0,1721.0,2425.0,142788.0,4071.0,2071.0,208.0,228.0,25061.0,0.0,1059.0,0.0,449.0,106398.0,143692.0,26.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,大埔里,1055.0,790906.0,11606.0,9810.0,678427.0,29557.0,12953.0,2235.0,746.0,36552.0,174.0,7562.0,0.0,1286.0,541988.0,654599.0,225.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,嘉添里,550.0,402802.0,8391.0,2389.0,293699.0,15164.0,11746.0,1788.0,805.0,63457.0,151.0,2562.0,1557.0,1094.0,226231.0,335082.0,2896.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,添福里,312.0,185601.0,4717.0,1386.0,138376.0,5324.0,7528.0,1795.0,169.0,22583.0,0.0,2737.0,0.0,986.0,101052.0,148277.0,19.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,溪南里,366.0,261074.0,6233.0,1001.0,198792.0,8088.0,4377.0,796.0,194.0,36156.0,0.0,1926.0,0.0,3510.0,153726.0,216009.0,22.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,溪北里,542.0,335954.0,5006.0,4669.0,285355.0,12119.0,6132.0,670.0,286.0,17955.0,236.0,2626.0,0.0,899.0,215479.0,266078.0,10.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,溪東里,825.0,539105.0,11491.0,1494.0,448495.0,15051.0,7050.0,1315.0,787.0,45330.0,683.0,5244.0,0.0,2166.0,340048.0,430658.0,188.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,成福里,227.0,142389.0,1824.0,1289.0,120332.0,4314.0,1722.0,165.0,101.0,11230.0,8.0,795.0,0.0,607.0,90095.0,112152.0,12.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,安坑里,311.0,190039.0,3409.0,2990.0,152694.0,8096.0,5503.0,695.0,191.0,13143.0,337.0,2233.0,0.0,746.0,114877.0,152221.0,196.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,竹崙里,454.0,288170.0,11787.0,2559.0,202641.0,12543.0,13756.0,797.0,329.0,36949.0,0.0,5094.0,7.0,1709.0,152182.0,237711.0,198.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,金圳里,106.0,65161.0,1456.0,792.0,49263.0,1407.0,3374.0,97.0,8.0,6880.0,0.0,1798.0,0.0,87.0,36540.0,52438.0,3.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,五寮里,144.0,79219.0,1809.0,2080.0,66131.0,3587.0,1357.0,276.0,149.0,2682.0,0.0,1141.0,0.0,7.0,49953.0,63041.0,76.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,插角里,148.0,115764.0,1303.0,445.0,83958.0,4914.0,4550.0,305.0,50.0,17766.0,0.0,1662.0,0.0,811.0,66054.0,97859.0,17.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,有木里,111.0,77754.0,1933.0,710.0,43155.0,2916.0,4535.0,4624.0,14.0,18984.0,0.0,396.0,0.0,485.0,31354.0,65953.0,12.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,安溪里,1902.0,1444270.0,19012.0,10205.0,1226917.0,45365.0,14523.0,3437.0,2795.0,102258.0,304.0,14937.0,57.0,4459.0,970781.0,1188134.0,1272.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,中正里,1276.0,823467.0,10786.0,13179.0,710668.0,19157.0,12941.0,3003.0,1140.0,44926.0,0.0,5310.0,0.0,2358.0,543116.0,655915.0,477.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,介壽里,1518.0,964125.0,20388.0,17772.0,787794.0,33502.0,18604.0,2018.0,706.0,59367.0,54.0,17496.0,0.0,6424.0,593001.0,769332.0,357.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,二鬮里,880.0,607211.0,19020.0,7780.0,502281.0,17527.0,6253.0,2131.0,958.0,39466.0,927.0,7547.0,0.0,3321.0,389140.0,494070.0,366.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,龍恩里,1620.0,1731375.0,9002.0,21540.0,1398555.0,67717.0,18256.0,22178.0,4351.0,143177.0,2106.0,34017.0,474.0,10001.0,1188011.0,1520844.0,3494.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,龍學里,4166.0,4823504.0,51530.0,59874.0,3827922.0,170732.0,78255.0,71840.0,7263.0,446589.0,10667.0,60179.0,1742.0,36911.0,3278872.0,4274116.0,9628.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,其他,5.0,2112.0,0.0,0.0,2082.0,13.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,1538.0,1568.0,0.0,,,,,,,,,,,
102,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,合計,27087.0,21689639.0,378139.0,278033.0,17474398.0,768234.0,406334.0,172243.0,29687.0,1771628.0,25539.0,254526.0,5246.0,125632.0,14010663.0,18225199.0,27188.0,,,,,,,,,,,
