民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,龍源里,2067.0,1896538.0,19995.0,31888.0,1406363.0,61864.0,40668.0,19799.0,2577.0,281831.0,3709.0,16498.0,616.0,10731.0,1149768.0,1639807.0,3381.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,米倉里,880.0,678445.0,9396.0,9907.0,509744.0,27600.0,27311.0,2735.0,711.0,83145.0,0.0,5001.0,1106.0,1789.0,404843.0,573544.0,3735.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,大崁里,741.0,587207.0,14196.0,9778.0,416896.0,19162.0,21433.0,6299.0,1218.0,87677.0,32.0,8554.0,0.0,1963.0,325746.0,496058.0,343.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,埤頭里,971.0,692047.0,15667.0,9384.0,548912.0,24050.0,16691.0,1658.0,602.0,64830.0,281.0,8422.0,52.0,1497.0,426765.0,569900.0,643.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,頂罟里,497.0,346943.0,5038.0,3512.0,260594.0,9211.0,12818.0,533.0,149.0,51266.0,0.0,3708.0,0.0,114.0,198103.0,284452.0,193.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,舊城里,1804.0,1219083.0,15010.0,18828.0,1046138.0,36482.0,12254.0,5219.0,1270.0,67776.0,241.0,14078.0,227.0,1561.0,809379.0,982325.0,1171.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,訊塘里,1089.0,759606.0,15085.0,12782.0,595787.0,26971.0,17336.0,6093.0,689.0,70427.0,204.0,12572.0,0.0,1660.0,465108.0,628927.0,336.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,荖阡里,432.0,300133.0,5107.0,4768.0,233329.0,15589.0,10132.0,667.0,356.0,26955.0,0.0,2798.0,0.0,433.0,179438.0,246242.0,7.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,下罟里,363.0,245051.0,8331.0,2178.0,181576.0,8494.0,8350.0,1074.0,159.0,28706.0,204.0,5400.0,0.0,580.0,135630.0,199106.0,139.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,長坑里,387.0,232283.0,6521.0,754.0,176190.0,8874.0,7785.0,534.0,131.0,20258.0,0.0,9704.0,0.0,1533.0,130305.0,186398.0,4.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,其他,4.0,4581.0,0.0,0.0,3519.0,2.0,0.0,0.0,42.0,5.0,1013.0,0.0,0.0,0.0,2979.0,4041.0,0.0,,,,,,,,,,,
102,,18.0,八里區,,,,無年齡維度,0.0,,八里區,合計,9235.0,6961918.0,114345.0,103778.0,5379048.0,238299.0,174777.0,44610.0,7906.0,782875.0,5684.0,86735.0,2000.0,21861.0,4228064.0,5810800.0,9952.0,,,,,,,,,,,
