民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,中原里,1697.0,1692869.0,31099.0,35084.0,1223676.0,61753.0,75319.0,13235.0,1218.0,220068.0,2955.0,20519.0,415.0,7528.0,1006573.0,1475412.0,2083.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,平河里,2939.0,2720675.0,23244.0,38477.0,2167861.0,99404.0,42932.0,9150.0,3859.0,291928.0,3915.0,34254.0,1611.0,4041.0,1787858.0,2340260.0,5635.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,力行里,2012.0,1952365.0,13951.0,28567.0,1596732.0,83915.0,20832.0,10256.0,1677.0,161594.0,3458.0,23914.0,30.0,7438.0,1338318.0,1693915.0,1914.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,枋寮里,1145.0,997826.0,10984.0,15333.0,788566.0,49366.0,24644.0,6473.0,1079.0,78538.0,1177.0,12189.0,18.0,9461.0,655151.0,864371.0,1499.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,廟美里,1387.0,1240855.0,7688.0,21126.0,860886.0,53806.0,41425.0,6155.0,1918.0,227327.0,2107.0,11050.0,493.0,6874.0,695145.0,1075114.0,1621.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瓦󼍕里,1642.0,1514164.0,18337.0,18632.0,1210867.0,59975.0,20646.0,15155.0,1425.0,144696.0,5791.0,11053.0,530.0,7057.0,1008201.0,1311501.0,3098.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,積穗里,2720.0,2477349.0,24762.0,42176.0,1978858.0,91681.0,71096.0,12390.0,2528.0,205908.0,4460.0,31006.0,274.0,12208.0,1629612.0,2128103.0,2812.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瑞穗里,737.0,591860.0,5150.0,11126.0,491649.0,26846.0,11865.0,1904.0,821.0,34270.0,968.0,5632.0,89.0,1541.0,402817.0,502614.0,1379.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,灰󼍕里,194.0,147733.0,1647.0,2082.0,116975.0,6557.0,3845.0,656.0,102.0,12793.0,737.0,849.0,0.0,1491.0,92803.0,123561.0,80.0,,,,,,,,,,,
103,,3.0,中和區,,,,無年齡維度,0.0,,中和區,錦和里,1690.0,1674600.0,24765.0,18089.0,1249579.0,51118.0,32439.0,3719.0,1763.0,272217.0,278.0,13464.0,243.0,6926.0,1022502.0,1447523.0,3213.0,,,,,,,,,,,
