民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,黎明里,1023.0,781314.0,10703.0,4741.0,660597.0,24247.0,12523.0,1582.0,717.0,55403.0,477.0,9195.0,119.0,1010.0,525520.0,646650.0,1239.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,大科里,249.0,185010.0,5205.0,4395.0,151963.0,4467.0,4500.0,245.0,171.0,12603.0,0.0,1400.0,0.0,61.0,121435.0,154483.0,37.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,山腳里,2025.0,1500441.0,27752.0,20349.0,1208238.0,50834.0,30911.0,4671.0,1068.0,140433.0,22.0,11776.0,588.0,3799.0,946386.0,1239045.0,1519.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,楓樹里,1263.0,1094962.0,19328.0,10647.0,790887.0,42006.0,47917.0,6576.0,936.0,163433.0,38.0,9862.0,422.0,2909.0,631641.0,935715.0,1786.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,同榮里,1283.0,1054061.0,9041.0,12797.0,818621.0,38816.0,24028.0,2957.0,2199.0,129082.0,965.0,10481.0,0.0,5074.0,654111.0,889551.0,668.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,義學里,1330.0,989227.0,16937.0,8538.0,831189.0,30588.0,19792.0,2058.0,1015.0,67982.0,0.0,8298.0,532.0,2297.0,653518.0,811430.0,1930.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,明志里,1177.0,937598.0,13484.0,7225.0,747957.0,39994.0,16614.0,1629.0,925.0,99976.0,459.0,8177.0,0.0,1159.0,601554.0,791503.0,394.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴子里,1204.0,1029787.0,13604.0,6531.0,825814.0,35790.0,23916.0,2484.0,815.0,107568.0,928.0,9034.0,333.0,2973.0,670282.0,874256.0,1270.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴和里,1626.0,1276963.0,22109.0,13282.0,960367.0,55328.0,33290.0,11518.0,1119.0,164172.0,235.0,11113.0,0.0,4431.0,757025.0,1073620.0,566.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,福泰里,827.0,550688.0,8862.0,11313.0,413731.0,23167.0,29285.0,2403.0,612.0,55484.0,0.0,3479.0,0.0,2353.0,318572.0,455529.0,70.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,同興里,1165.0,1100160.0,15968.0,16216.0,844167.0,46031.0,21145.0,3462.0,2736.0,130490.0,218.0,15840.0,214.0,3673.0,690600.0,946576.0,1303.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,義仁里,2441.0,2159407.0,31979.0,35718.0,1748133.0,70235.0,58934.0,15891.0,2415.0,166730.0,185.0,23903.0,139.0,5145.0,1417340.0,1828503.0,1498.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,泰友里,638.0,456585.0,6686.0,2121.0,381835.0,17840.0,8191.0,1369.0,1200.0,30006.0,292.0,5260.0,649.0,1137.0,301467.0,376113.0,1552.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,新明里,1009.0,704460.0,9511.0,3918.0,605218.0,25671.0,6249.0,1816.0,795.0,41307.0,6.0,5493.0,0.0,4475.0,475117.0,574358.0,483.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴賢里,1252.0,1130714.0,6909.0,9510.0,894276.0,47347.0,21400.0,3577.0,1100.0,130137.0,284.0,12641.0,565.0,2968.0,734600.0,970897.0,2792.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,福興里,1154.0,1016038.0,10645.0,6804.0,826996.0,48445.0,21809.0,2655.0,1255.0,84706.0,140.0,10963.0,0.0,1620.0,673436.0,862478.0,497.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,全興里,2847.0,3031049.0,39711.0,49132.0,2494977.0,80397.0,35635.0,9333.0,3665.0,248193.0,1836.0,49887.0,626.0,17657.0,2084907.0,2620960.0,4646.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,其他,1.0,454.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,,,,,,,,,,,
103,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,合計,22514.0,18998919.0,268436.0,223237.0,15204966.0,681201.0,416139.0,74481.0,22743.0,1827902.0,6083.0,206801.0,4189.0,62741.0,12257511.0,16052121.0,22248.0,,,,,,,,,,,
