民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,薯榔里,96.0,49615.0,737.0,1245.0,43948.0,1263.0,137.0,0.0,83.0,1498.0,0.0,704.0,0.0,0.0,32899.0,38566.0,8.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,白石里,58.0,29566.0,292.0,12.0,25833.0,756.0,599.0,0.0,73.0,1881.0,0.0,23.0,0.0,98.0,18067.0,21799.0,0.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,菁桐里,61.0,35840.0,645.0,150.0,30783.0,1725.0,111.0,0.0,78.0,2192.0,0.0,141.0,0.0,15.0,22909.0,27965.0,0.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,平溪里,70.0,39239.0,518.0,502.0,32351.0,1984.0,865.0,74.0,25.0,2541.0,243.0,136.0,0.0,0.0,23862.0,30750.0,18.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,石底里,96.0,77682.0,330.0,19.0,49707.0,2370.0,1651.0,15003.0,35.0,8455.0,0.0,109.0,0.0,3.0,39162.0,67137.0,3.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,嶺腳里,167.0,105539.0,3003.0,473.0,85653.0,5118.0,3628.0,128.0,36.0,6604.0,0.0,882.0,0.0,16.0,64879.0,84766.0,4.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,東勢里,82.0,64411.0,586.0,140.0,52226.0,2177.0,452.0,138.0,81.0,8331.0,0.0,99.0,0.0,183.0,41280.0,53466.0,0.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,平湖里,38.0,20639.0,496.0,5.0,15872.0,2613.0,432.0,113.0,1.0,895.0,0.0,43.0,0.0,169.0,11784.0,16551.0,9.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,南山里,85.0,43859.0,39.0,208.0,33956.0,1055.0,1741.0,0.0,21.0,6710.0,0.0,80.0,0.0,49.0,25318.0,35221.0,12.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,新寮里,23.0,13646.0,343.0,210.0,11969.0,647.0,0.0,47.0,9.0,378.0,0.0,43.0,0.0,0.0,9264.0,10940.0,2.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,十分里,165.0,114685.0,3986.0,1043.0,83074.0,5300.0,11103.0,78.0,27.0,8652.0,7.0,1042.0,0.0,372.0,63379.0,94990.0,6.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,望古里,35.0,23876.0,987.0,22.0,18654.0,733.0,1031.0,0.0,48.0,1360.0,512.0,149.0,0.0,380.0,14216.0,19438.0,0.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
103,,26.0,平溪區,,,,無年齡維度,0.0,,平溪區,合計,976.0,618596.0,11963.0,4029.0,484026.0,25741.0,21748.0,15581.0,515.0,49497.0,762.0,3450.0,0.0,1284.0,367019.0,501589.0,61.0,,,,,,,,,,,
