民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,張北里,2704.0,3303299.0,19331.0,58398.0,2533566.0,159375.0,50071.0,22086.0,3690.0,390918.0,3367.0,47291.0,1916.0,13290.0,2146702.0,2916047.0,7842.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,張南里,726.0,851895.0,16758.0,8094.0,614134.0,45894.0,25716.0,7105.0,976.0,113396.0,1462.0,13889.0,512.0,3961.0,517123.0,754759.0,1978.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,廣明里,286.0,269813.0,3061.0,2603.0,169433.0,13432.0,9752.0,3348.0,218.0,64185.0,0.0,2469.0,0.0,1312.0,133808.0,234188.0,121.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,江陵里,2069.0,2960651.0,11190.0,80946.0,2072828.0,170690.0,79747.0,16862.0,2248.0,443839.0,5747.0,60250.0,1962.0,14342.0,1781293.0,2669064.0,9726.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,百忍里,1339.0,1233172.0,5685.0,24419.0,955119.0,83634.0,23604.0,1691.0,2361.0,110013.0,11162.0,12497.0,159.0,2827.0,769284.0,1047336.0,1930.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,青潭里,1742.0,1485625.0,15525.0,15803.0,1269883.0,57945.0,14262.0,2696.0,1632.0,91440.0,243.0,11573.0,754.0,3868.0,1003987.0,1219729.0,3442.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,員潭里,1415.0,1137858.0,10864.0,10037.0,978660.0,46534.0,12309.0,4426.0,1458.0,55100.0,204.0,11854.0,921.0,5489.0,766579.0,925610.0,3394.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,雙坑里,163.0,99266.0,730.0,1089.0,81250.0,2928.0,4660.0,393.0,92.0,7084.0,0.0,763.0,0.0,275.0,59031.0,77046.0,133.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,粗坑里,967.0,991937.0,21831.0,16972.0,714474.0,54244.0,22741.0,4550.0,564.0,123630.0,2346.0,23510.0,3987.0,3088.0,587888.0,864912.0,12808.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,屈尺里,623.0,466258.0,5989.0,6245.0,365980.0,27588.0,15277.0,882.0,2077.0,37916.0,8.0,3541.0,83.0,673.0,279957.0,380191.0,569.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,廣興里,304.0,224879.0,5383.0,3012.0,166536.0,9918.0,13959.0,624.0,170.0,20561.0,0.0,4135.0,140.0,439.0,126516.0,184859.0,464.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,龜山里,406.0,320017.0,4153.0,3757.0,245697.0,11744.0,8073.0,1242.0,235.0,41632.0,272.0,2726.0,35.0,451.0,191433.0,265753.0,352.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,直潭里,329.0,334997.0,2402.0,12993.0,213051.0,15698.0,13836.0,554.0,753.0,72395.0,800.0,1811.0,0.0,703.0,168574.0,290520.0,676.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,塗潭里,187.0,164262.0,1344.0,1826.0,84006.0,5443.0,5381.0,238.0,29.0,64707.0,0.0,586.0,0.0,702.0,60363.0,140619.0,27.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,公崙里,3516.0,3462963.0,24459.0,55750.0,2766680.0,148363.0,72360.0,11788.0,3898.0,330613.0,1108.0,38448.0,797.0,8698.0,2232942.0,2929167.0,6577.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,柴埕里,2730.0,2525997.0,27494.0,32680.0,2110609.0,107208.0,33213.0,7421.0,4798.0,165221.0,562.0,23755.0,682.0,12353.0,1691664.0,2106924.0,3495.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,雙城里,1490.0,1064806.0,11260.0,10283.0,914096.0,42415.0,14917.0,2481.0,1022.0,57944.0,40.0,6511.0,546.0,3292.0,696706.0,847416.0,2174.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,頂城里,355.0,246743.0,1664.0,5118.0,199185.0,7859.0,5373.0,4529.0,578.0,21149.0,0.0,983.0,0.0,305.0,150718.0,198276.0,74.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,下城里,968.0,2340605.0,24315.0,112475.0,1320716.0,67690.0,56814.0,8271.0,6186.0,467956.0,22562.0,193474.0,3051.0,57094.0,1180472.0,2199909.0,7967.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,文中里,594.0,640895.0,2475.0,12213.0,516020.0,32447.0,12173.0,1407.0,487.0,39201.0,292.0,22236.0,518.0,1426.0,433437.0,558154.0,2170.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,國校里,831.0,809425.0,5334.0,10007.0,637662.0,38707.0,5244.0,1928.0,1171.0,88443.0,534.0,13400.0,112.0,6882.0,516571.0,688264.0,1266.0,,,,,,,,,,,
104,,6.0,新店區,,,,無年齡維度,0.0,,新店區,新生里,2035.0,2232567.0,17114.0,41894.0,1735207.0,139928.0,49612.0,9127.0,2540.0,198155.0,4095.0,18258.0,992.0,15646.0,1456857.0,1954162.0,7608.0,,,,,,,,,,,
