民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,龍潭里,243.0,191605.0,4454.0,2618.0,143303.0,10177.0,10601.0,180.0,102.0,15169.0,0.0,796.0,0.0,4204.0,113635.0,161937.0,89.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,龍鎮里,367.0,258007.0,4536.0,1963.0,229855.0,9337.0,2343.0,274.0,349.0,7844.0,0.0,1287.0,0.0,219.0,177328.0,205480.0,6.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,龍山里,405.0,267731.0,1212.0,5441.0,232953.0,8125.0,1125.0,104.0,280.0,15501.0,0.0,1787.0,0.0,1204.0,174095.0,208874.0,36.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,龍川里,509.0,339533.0,2848.0,1598.0,301284.0,9223.0,5167.0,292.0,535.0,14514.0,302.0,2512.0,0.0,1259.0,229504.0,267753.0,79.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,龍安里,185.0,124294.0,899.0,1165.0,109630.0,3644.0,304.0,47.0,122.0,6640.0,0.0,1285.0,32.0,526.0,82643.0,97307.0,228.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,柑坪里,273.0,173375.0,2993.0,1719.0,156877.0,3194.0,936.0,55.0,93.0,6433.0,0.0,711.0,0.0,364.0,117209.0,133707.0,433.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,爪峰里,1129.0,740545.0,9098.0,9332.0,658008.0,22959.0,4071.0,543.0,742.0,26620.0,1029.0,7108.0,0.0,1034.0,491587.0,574123.0,207.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,基山里,91.0,56389.0,1030.0,445.0,47592.0,1358.0,972.0,235.0,27.0,4333.0,0.0,126.0,267.0,4.0,36256.0,45053.0,561.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,永慶里,84.0,51232.0,1344.0,756.0,43795.0,1078.0,1313.0,0.0,40.0,2043.0,0.0,193.0,0.0,671.0,33356.0,40793.0,130.0,,,,,,,,,,,
106,,14.0,瑞芳區,,,,無年齡維度,0.0,,瑞芳區,崇文里,75.0,47520.0,947.0,932.0,37227.0,2924.0,1862.0,0.0,63.0,3066.0,0.0,146.0,0.0,351.0,28974.0,39267.0,0.0,,,,,,,,,,,
