民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,德茂里,260.0,162587.0,6493.0,1061.0,130863.0,6104.0,3214.0,55.0,433.0,12543.0,0.0,1547.0,0.0,274.0,79178.0,111088.0,1.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,富基里,339.0,225002.0,4773.0,3006.0,185678.0,5531.0,4706.0,226.0,269.0,18358.0,0.0,1942.0,0.0,513.0,116931.0,156805.0,192.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,老梅里,564.0,433184.0,8553.0,4524.0,343015.0,13410.0,4673.0,206.0,406.0,55098.0,295.0,2885.0,0.0,121.0,226078.0,285936.0,108.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,山溪里,207.0,162496.0,934.0,914.0,124290.0,6890.0,1374.0,0.0,167.0,26858.0,0.0,643.0,84.0,343.0,76157.0,94933.0,317.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,石門里,449.0,324831.0,5071.0,8618.0,271452.0,8645.0,4972.0,952.0,345.0,21580.0,8.0,2591.0,0.0,597.0,175262.0,229248.0,224.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,尖鹿里,406.0,264358.0,2708.0,6965.0,223688.0,5525.0,3051.0,144.0,307.0,17994.0,0.0,3960.0,0.0,15.0,130848.0,172813.0,50.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,乾華里,81.0,45389.0,242.0,559.0,41054.0,1211.0,813.0,42.0,52.0,1279.0,0.0,138.0,0.0,0.0,24036.0,29549.0,2.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,茂林里,202.0,157041.0,2129.0,1742.0,138336.0,5338.0,1564.0,112.0,59.0,6564.0,0.0,1039.0,0.0,159.0,91662.0,111085.0,48.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,草里里,217.0,134837.0,3933.0,1085.0,117433.0,3337.0,2257.0,45.0,157.0,6017.0,0.0,495.0,0.0,79.0,67532.0,86377.0,19.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,新北市,,
107,,23.0,石門區,,,,無年齡維度,0.0,,石門區,合計,2725.0,1879415.0,34834.0,28473.0,1575808.0,55991.0,26625.0,1782.0,2194.0,166291.0,303.0,15240.0,84.0,-28210.0,987686.0,1277835.0,963.0,,,,,,,,,新北市,,
