民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,下溪里,1260.0,1080802.0,9975.0,23562.0,826026.0,52492.0,24763.0,4170.0,2463.0,96287.0,540.0,31344.0,710.0,8470.0,,,3119.0,,,,,,,,,新北市,1103593.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,中溪里,1662.0,1394274.0,14434.0,44687.0,1009954.0,84160.0,33928.0,6012.0,2803.0,155961.0,7328.0,19570.0,2013.0,13423.0,,,4567.0,,,,,,,,,新北市,1363483.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,上溪里,647.0,486102.0,4231.0,11828.0,349283.0,28578.0,21346.0,1303.0,752.0,59015.0,897.0,5800.0,289.0,2780.0,,,1966.0,,,,,,,,,新北市,474628.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,後溪里,680.0,662428.0,6196.0,14841.0,459928.0,37033.0,35950.0,9832.0,962.0,81723.0,736.0,7606.0,333.0,7288.0,,,2150.0,,,,,,,,,新北市,602259.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,頂溪里,860.0,702877.0,4895.0,12186.0,508464.0,43574.0,11683.0,1819.0,1043.0,94291.0,861.0,20987.0,497.0,2577.0,,,2136.0,,,,,,,,,新北市,683031.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,網溪里,353.0,262496.0,2615.0,4758.0,202331.0,15338.0,4436.0,759.0,689.0,27382.0,0.0,3220.0,329.0,639.0,,,1106.0,,,,,,,,,新北市,275955.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,復興里,794.0,638242.0,7089.0,15642.0,458012.0,44312.0,19347.0,2194.0,3111.0,75211.0,1538.0,7912.0,440.0,3434.0,,,2361.0,,,,,,,,,新北市,612231.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,竹林里,1209.0,936934.0,5552.0,23640.0,692714.0,62047.0,26816.0,1775.0,2044.0,96547.0,651.0,19745.0,1052.0,4352.0,,,3451.0,,,,,,,,,新北市,947483.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,中興里,990.0,1014752.0,13345.0,33678.0,660931.0,63133.0,49114.0,17856.0,1181.0,151743.0,1645.0,14673.0,25.0,7428.0,,,2079.0,,,,,,,,,新北市,855656.0,
108,,4.0,永和區,,,,無年齡維度,0.0,,永和區,店街里,1428.0,1440266.0,19269.0,38832.0,951868.0,91967.0,60473.0,7595.0,2126.0,221792.0,4687.0,26028.0,802.0,14827.0,,,5334.0,,,,,,,,,新北市,1244569.0,
