民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,海山里,1698.0,1091273.0,23910.0,28029.0,785905.0,52274.0,33137.0,1908.0,2411.0,150272.0,875.0,10297.0,0.0,2255.0,,,731.0,,,,,,,,,新北市,1142145.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,全安里,1376.0,982018.0,19365.0,15854.0,727353.0,48723.0,23194.0,981.0,1871.0,118060.0,561.0,19973.0,644.0,5440.0,,,1837.0,,,,,,,,,新北市,1030597.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文衡里,701.0,537086.0,7020.0,22117.0,332610.0,42542.0,48342.0,1805.0,1802.0,69647.0,0.0,8287.0,74.0,2841.0,,,456.0,,,,,,,,,新北市,474907.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,興漢里,1054.0,803439.0,8945.0,21951.0,496387.0,47662.0,32960.0,4062.0,1186.0,168715.0,54.0,8702.0,2494.0,10321.0,,,4553.0,,,,,,,,,新北市,714581.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,榮和里,959.0,669315.0,8286.0,13983.0,446932.0,47134.0,39470.0,4940.0,2363.0,91667.0,481.0,11894.0,28.0,2137.0,,,799.0,,,,,,,,,新北市,633311.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文德里,549.0,422683.0,4586.0,9914.0,301329.0,22307.0,18972.0,5693.0,511.0,43475.0,852.0,3904.0,0.0,11140.0,,,160.0,,,,,,,,,新北市,422543.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文明里,550.0,439857.0,10911.0,11517.0,275716.0,20946.0,15221.0,2476.0,1015.0,92699.0,0.0,8116.0,0.0,1238.0,,,292.0,,,,,,,,,新北市,390434.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,中港里,2018.0,1351096.0,40227.0,36726.0,939275.0,70867.0,71550.0,3981.0,2919.0,158213.0,1026.0,17493.0,340.0,8480.0,,,2351.0,,,,,,,,,新北市,1375498.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,頭前里,3201.0,3502651.0,54591.0,181772.0,2166227.0,174073.0,162772.0,32037.0,6316.0,626926.0,2527.0,55484.0,557.0,39369.0,,,4669.0,,,,,,,,,新北市,2868096.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,丹鳳里,2722.0,1693498.0,35770.0,29993.0,1319618.0,51264.0,29008.0,4520.0,4683.0,153197.0,0.0,53141.0,390.0,11913.0,,,2653.0,,,,,,,,,新北市,1963508.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,西盛里,4052.0,2711925.0,82551.0,56851.0,1881130.0,115115.0,99392.0,11967.0,4527.0,417126.0,1312.0,37213.0,581.0,4161.0,,,3530.0,,,,,,,,,新北市,2833698.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,瓊林里,1625.0,936186.0,24652.0,13989.0,689190.0,45130.0,41971.0,2759.0,1957.0,103670.0,134.0,8692.0,239.0,3802.0,,,852.0,,,,,,,,,新北市,1052733.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,營盤里,764.0,469041.0,7902.0,5992.0,274045.0,32519.0,66716.0,1263.0,830.0,71482.0,326.0,4428.0,0.0,3540.0,,,392.0,,,,,,,,,新北市,415589.0,
108,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,後港里,2290.0,1404170.0,24372.0,22537.0,1023405.0,64266.0,42996.0,1377.0,2379.0,196340.0,20.0,20875.0,482.0,5120.0,,,2555.0,,,,,,,,,新北市,1539442.0,
