民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,樹東里,359.0,236729.0,3113.0,6191.0,133208.0,13767.0,27694.0,796.0,497.0,48522.0,0.0,1881.0,0.0,1058.0,,,12.0,,,,,,,,,新北市,202627.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,彭厝里,1486.0,722139.0,11997.0,9138.0,573915.0,27326.0,11405.0,1268.0,1490.0,76941.0,0.0,7730.0,0.0,930.0,,,362.0,,,,,,,,,新北市,916814.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,樹西里,1673.0,1248073.0,10780.0,28506.0,845710.0,69977.0,49734.0,1939.0,2498.0,216829.0,32.0,15753.0,705.0,5611.0,,,2581.0,,,,,,,,,新北市,1201615.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,坡內里,465.0,224244.0,7966.0,3116.0,153914.0,8766.0,6897.0,131.0,428.0,38580.0,0.0,2787.0,101.0,1559.0,,,415.0,,,,,,,,,新北市,252382.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,樹北里,293.0,212204.0,1851.0,7174.0,123065.0,17717.0,28075.0,937.0,396.0,28925.0,0.0,2089.0,263.0,1712.0,,,858.0,,,,,,,,,新北市,174816.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,潭底里,1234.0,718152.0,15348.0,10628.0,483844.0,35529.0,37169.0,1922.0,1310.0,114202.0,7.0,13617.0,123.0,4454.0,,,744.0,,,,,,,,,新北市,745446.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,󿾵寮里,1416.0,732078.0,23496.0,21503.0,531319.0,26015.0,9711.0,798.0,1189.0,97579.0,913.0,12946.0,21.0,6589.0,,,520.0,,,,,,,,,新北市,864756.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,三多里,1185.0,574345.0,16605.0,8530.0,380690.0,23385.0,29855.0,593.0,1149.0,104557.0,0.0,7332.0,0.0,1649.0,,,278.0,,,,,,,,,新北市,639940.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,東山里,977.0,535748.0,19981.0,7893.0,296764.0,22033.0,26060.0,1062.0,762.0,155334.0,0.0,5539.0,279.0,42.0,,,1066.0,,,,,,,,,新北市,506429.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,西山里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,樂山里,530.0,396342.0,6435.0,11345.0,234936.0,20550.0,5033.0,731.0,957.0,39543.0,0.0,75645.0,0.0,1167.0,,,567.0,,,,,,,,,新北市,358688.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,東園里,437.0,247347.0,7471.0,4482.0,156619.0,14000.0,27987.0,280.0,579.0,29388.0,0.0,4225.0,0.0,2317.0,,,58.0,,,,,,,,,新北市,250385.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,西園里,481.0,243169.0,9741.0,2419.0,170300.0,9878.0,9699.0,1091.0,414.0,36519.0,86.0,1295.0,197.0,1530.0,,,527.0,,,,,,,,,新北市,276863.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,南園里,4916.0,5197396.0,69594.0,138014.0,3750483.0,184511.0,137889.0,32674.0,9643.0,753171.0,5649.0,90344.0,1331.0,24092.0,,,10601.0,,,,,,,,,新北市,4904442.0,
108,,9.0,樹林區,,,,無年齡維度,0.0,,樹林區,北園里,603.0,320301.0,15794.0,2730.0,209150.0,16376.0,23485.0,1550.0,449.0,47083.0,0.0,2864.0,0.0,819.0,,,72.0,,,,,,,,,新北市,346169.0,
