民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,東鶯里,314.0,206616.0,4160.0,3906.0,144746.0,11382.0,6588.0,605.0,349.0,29843.0,0.0,2579.0,0.0,2457.0,,,121.0,,,,,,,,,新北市,210162.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,西鶯里,651.0,370735.0,9499.0,4820.0,265164.0,16953.0,11838.0,711.0,751.0,54367.0,144.0,5662.0,37.0,790.0,,,658.0,,,,,,,,,新北市,409306.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,南鶯里,1656.0,1157399.0,21620.0,31701.0,759581.0,56364.0,42863.0,3750.0,1922.0,215346.0,469.0,15314.0,0.0,8469.0,,,374.0,,,,,,,,,新北市,1124200.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,北鶯里,1260.0,1016654.0,19163.0,24898.0,762159.0,30930.0,9630.0,1781.0,1748.0,142404.0,3382.0,18598.0,75.0,1887.0,,,936.0,,,,,,,,,新北市,1054791.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,中鶯里,291.0,196465.0,4147.0,5333.0,134542.0,10306.0,5671.0,969.0,450.0,31321.0,0.0,2210.0,145.0,1373.0,,,656.0,,,,,,,,,新北市,197734.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,建德里,119.0,62501.0,1095.0,514.0,47382.0,1977.0,3184.0,0.0,127.0,7572.0,0.0,649.0,0.0,0.0,,,2.0,,,,,,,,,新北市,75064.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,同慶里,465.0,288476.0,10052.0,6770.0,180897.0,13647.0,16773.0,440.0,406.0,44024.0,0.0,5433.0,107.0,9926.0,,,451.0,,,,,,,,,新北市,277060.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,南靖里,982.0,525712.0,15589.0,8465.0,375391.0,22279.0,14727.0,2077.0,1104.0,74744.0,0.0,8102.0,0.0,3235.0,,,484.0,,,,,,,,,新北市,587107.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,尖山里,2559.0,1447309.0,27532.0,31989.0,1151235.0,43485.0,24135.0,3643.0,3924.0,142677.0,0.0,14198.0,43.0,4448.0,,,847.0,,,,,,,,,新北市,1762711.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,二橋里,2313.0,1259085.0,45507.0,22491.0,985199.0,37468.0,19965.0,3351.0,2207.0,117508.0,379.0,16001.0,683.0,8326.0,,,2325.0,,,,,,,,,新北市,1536383.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,二甲里,228.0,107327.0,2333.0,4502.0,82389.0,3287.0,4615.0,334.0,223.0,7748.0,6.0,1111.0,0.0,779.0,,,128.0,,,,,,,,,新北市,133795.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,東湖里,53.0,38079.0,811.0,2.0,24912.0,1488.0,2226.0,0.0,28.0,5702.0,0.0,2011.0,0.0,898.0,,,0.0,,,,,,,,,新北市,36897.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,中湖里,1591.0,740298.0,19874.0,13692.0,580608.0,27316.0,13205.0,764.0,1496.0,68138.0,780.0,11575.0,907.0,1945.0,,,1712.0,,,,,,,,,新北市,938243.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,鳳鳴里,1564.0,861501.0,24984.0,28604.0,675017.0,26201.0,18855.0,3143.0,1523.0,57142.0,236.0,24808.0,0.0,987.0,,,229.0,,,,,,,,,新北市,1042729.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,永昌里,2448.0,1330802.0,39229.0,34671.0,998120.0,48518.0,28988.0,3741.0,2046.0,155129.0,507.0,16662.0,0.0,3191.0,,,982.0,,,,,,,,,新北市,1565286.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,永吉里,1423.0,728651.0,14318.0,17203.0,591545.0,19605.0,10188.0,1330.0,2191.0,56055.0,554.0,11675.0,131.0,3856.0,,,760.0,,,,,,,,,新北市,932511.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,鳳福里,1147.0,560538.0,11624.0,18980.0,447429.0,20505.0,7883.0,1571.0,1336.0,41049.0,0.0,6215.0,0.0,3947.0,,,506.0,,,,,,,,,新北市,705539.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,大湖里,1437.0,772268.0,26016.0,11828.0,590992.0,34477.0,11497.0,1873.0,2155.0,69757.0,7472.0,11553.0,231.0,4418.0,,,1061.0,,,,,,,,,新北市,910371.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,建國里,2040.0,1244630.0,31769.0,30162.0,965356.0,34332.0,16335.0,5324.0,1862.0,137876.0,820.0,14165.0,337.0,6292.0,,,1118.0,,,,,,,,,新北市,1448347.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,鳳祥里,1230.0,628131.0,10917.0,15299.0,509290.0,21488.0,11332.0,1008.0,1160.0,49240.0,0.0,6675.0,1.0,1722.0,,,446.0,,,,,,,,,新北市,797243.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,10.0,鶯歌區,,,,無年齡維度,0.0,,鶯歌區,合計,23771.0,13543178.0,340238.0,315829.0,10271954.0,482007.0,280498.0,36415.0,27009.0,1507643.0,14747.0,195197.0,2697.0,68945.0,,,13795.0,,,,,,,,,新北市,15745479.0,
