民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,草東里,250.0,176708.0,11035.0,3096.0,78913.0,10457.0,30659.0,350.0,617.0,36166.0,0.0,2069.0,0.0,3347.0,,,170.0,,,,,,,,,新北市,114382.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,長庚里,478.0,333377.0,5510.0,8690.0,188043.0,20756.0,48927.0,1099.0,654.0,54149.0,0.0,4302.0,11.0,1235.0,,,628.0,,,,,,,,,新北市,274633.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,清文里,331.0,185857.0,4057.0,5179.0,114505.0,10199.0,19066.0,337.0,178.0,25864.0,1894.0,1364.0,0.0,3214.0,,,25.0,,,,,,,,,新北市,172739.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,鄧公里,2176.0,3061128.0,15651.0,36790.0,1487525.0,85123.0,42025.0,2329.0,3644.0,1338153.0,2421.0,41772.0,1202.0,4493.0,,,6276.0,,,,,,,,,新北市,1976700.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,永吉里,268.0,167870.0,2837.0,5654.0,117650.0,9507.0,2187.0,541.0,602.0,27143.0,150.0,1475.0,0.0,124.0,,,106.0,,,,,,,,,新北市,170223.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,協元里,425.0,252075.0,5422.0,8137.0,158749.0,14540.0,7422.0,477.0,530.0,50807.0,218.0,3625.0,0.0,2148.0,,,149.0,,,,,,,,,新北市,245011.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,民安里,205.0,157768.0,3542.0,5154.0,77897.0,12089.0,19539.0,759.0,230.0,37325.0,0.0,846.0,42.0,348.0,,,253.0,,,,,,,,,新北市,109924.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,新生里,152.0,77327.0,1157.0,2021.0,48292.0,7388.0,4421.0,408.0,61.0,10816.0,0.0,1458.0,181.0,1122.0,,,602.0,,,,,,,,,新北市,76164.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,文化里,565.0,352611.0,7463.0,9969.0,271119.0,19651.0,8414.0,909.0,711.0,28555.0,0.0,4968.0,22.0,831.0,,,1015.0,,,,,,,,,新北市,385145.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,油車里,1714.0,1078974.0,23444.0,33710.0,750958.0,58479.0,25151.0,6394.0,5545.0,141877.0,3652.0,24235.0,1999.0,3530.0,,,6007.0,,,,,,,,,新北市,1104732.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,沙崙里,1345.0,809605.0,22786.0,38797.0,593891.0,28133.0,16428.0,6418.0,2114.0,85342.0,0.0,11606.0,340.0,3750.0,,,2158.0,,,,,,,,,新北市,875215.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,水碓里,1784.0,1098620.0,15883.0,26182.0,814756.0,64140.0,31175.0,2535.0,2557.0,127360.0,0.0,10988.0,518.0,2526.0,,,2671.0,,,,,,,,,新北市,1183069.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,北投里,3520.0,2831301.0,45632.0,61663.0,2236144.0,103480.0,51279.0,17066.0,6763.0,248481.0,5547.0,43498.0,1954.0,9794.0,,,8656.0,,,,,,,,,新北市,3042132.0,
108,,12.0,淡水區,,,,無年齡維度,0.0,,淡水區,崁頂里,5801.0,4959535.0,68970.0,162549.0,3580436.0,166014.0,99734.0,44095.0,12244.0,677449.0,10087.0,114887.0,5054.0,18017.0,,,15616.0,,,,,,,,,新北市,4870863.0,
