民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,和平里,121.0,62634.0,885.0,771.0,49207.0,2753.0,1767.0,498.0,120.0,4213.0,1688.0,541.0,0.0,192.0,,,3.0,,,,,,,,,新北市,73269.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,大同里,172.0,94725.0,6886.0,3179.0,72282.0,4570.0,1176.0,18.0,98.0,5912.0,0.0,399.0,0.0,205.0,,,17.0,,,,,,,,,新北市,109082.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,豐漁里,92.0,45928.0,846.0,216.0,32927.0,5298.0,1668.0,293.0,42.0,4265.0,0.0,176.0,0.0,198.0,,,59.0,,,,,,,,,新北市,49585.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,磺港里,371.0,160914.0,2046.0,6361.0,122911.0,6994.0,5432.0,272.0,152.0,13584.0,0.0,2818.0,0.0,345.0,,,43.0,,,,,,,,,新北市,201602.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,美田里,1152.0,585075.0,23541.0,10621.0,454691.0,26523.0,12210.0,1686.0,1188.0,46365.0,197.0,6599.0,57.0,1399.0,,,1059.0,,,,,,,,,新北市,708058.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,五湖里,486.0,270237.0,5482.0,3346.0,214343.0,8628.0,5104.0,1510.0,422.0,27578.0,0.0,1898.0,0.0,1927.0,,,55.0,,,,,,,,,新北市,317037.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,重和里,334.0,215907.0,3138.0,4131.0,149410.0,12882.0,5083.0,738.0,492.0,36450.0,1160.0,2027.0,0.0,396.0,,,306.0,,,,,,,,,新北市,211408.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,兩湖里,91.0,45338.0,1288.0,875.0,36020.0,2587.0,433.0,0.0,100.0,3589.0,0.0,189.0,0.0,257.0,,,1.0,,,,,,,,,新北市,54446.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,六股里,167.0,70285.0,1940.0,2092.0,53358.0,2802.0,3357.0,0.0,78.0,5386.0,0.0,238.0,0.0,1033.0,,,2.0,,,,,,,,,新北市,86685.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,三界里,128.0,75012.0,3016.0,769.0,55632.0,2895.0,3705.0,0.0,165.0,7201.0,0.0,433.0,0.0,1196.0,,,11.0,,,,,,,,,新北市,81759.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,清泉里,194.0,85732.0,1798.0,1527.0,64958.0,4643.0,1613.0,76.0,179.0,9985.0,0.0,901.0,0.0,52.0,,,14.0,,,,,,,,,新北市,104643.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,西湖里,49.0,28512.0,2676.0,783.0,18762.0,486.0,1820.0,1495.0,3.0,2042.0,0.0,32.0,0.0,414.0,,,55.0,,,,,,,,,新北市,28745.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,萬壽里,100.0,40935.0,796.0,844.0,33981.0,2195.0,1001.0,50.0,167.0,1693.0,0.0,208.0,0.0,0.0,,,7.0,,,,,,,,,新北市,56873.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,永興里,136.0,64055.0,898.0,3607.0,50224.0,2736.0,1631.0,0.0,260.0,4130.0,0.0,569.0,0.0,0.0,,,17.0,,,,,,,,,新北市,79761.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,金美里,1419.0,651579.0,24390.0,18039.0,498397.0,30043.0,17980.0,1330.0,1242.0,48874.0,2.0,9257.0,126.0,1900.0,,,612.0,,,,,,,,,新北市,792726.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,24.0,金山區,,,,無年齡維度,0.0,,金山區,合計,5012.0,2496869.0,79625.0,57160.0,1907104.0,116035.0,63978.0,7966.0,4708.0,221265.0,3046.0,26285.0,182.0,9515.0,,,2261.0,,,,,,,,,新北市,2955678.0,
