民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,萬里里,1222.0,593782.0,23131.0,17431.0,455074.0,23785.0,12327.0,2627.0,1595.0,51081.0,25.0,5992.0,127.0,586.0,,,870.0,,,,,,,,,新北市,724149.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,龜吼里,541.0,304445.0,6720.0,7139.0,219136.0,17457.0,9247.0,2107.0,650.0,32731.0,958.0,5710.0,164.0,2427.0,,,906.0,,,,,,,,,新北市,326656.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,野柳里,665.0,329207.0,11333.0,11493.0,246363.0,17252.0,9468.0,383.0,674.0,25607.0,0.0,5669.0,262.0,703.0,,,636.0,,,,,,,,,新北市,379424.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,大鵬里,704.0,365666.0,9106.0,13181.0,253252.0,12881.0,8896.0,279.0,805.0,62845.0,14.0,4152.0,0.0,254.0,,,47.0,,,,,,,,,新北市,404384.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,磺潭里,145.0,66176.0,4217.0,1141.0,47006.0,3410.0,1420.0,47.0,78.0,8196.0,0.0,453.0,0.0,208.0,,,0.0,,,,,,,,,新北市,78782.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,雙興里,204.0,133811.0,12245.0,276.0,86271.0,4924.0,6390.0,259.0,238.0,21414.0,0.0,815.0,0.0,979.0,,,52.0,,,,,,,,,新北市,131229.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,溪底里,124.0,62304.0,1331.0,680.0,43814.0,2617.0,1718.0,394.0,171.0,10400.0,0.0,1077.0,0.0,103.0,,,63.0,,,,,,,,,新北市,72651.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,崁脚里,110.0,52879.0,2569.0,2034.0,36690.0,1513.0,1951.0,0.0,88.0,4805.0,0.0,3038.0,0.0,191.0,,,168.0,,,,,,,,,新北市,59032.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,中幅里,275.0,125664.0,7301.0,2194.0,96765.0,3796.0,2188.0,87.0,183.0,12460.0,0.0,688.0,0.0,2.0,,,34.0,,,,,,,,,新北市,158191.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,北基里,605.0,258550.0,9088.0,8439.0,205203.0,10333.0,2914.0,276.0,972.0,17816.0,6.0,2601.0,306.0,596.0,,,1238.0,,,,,,,,,新北市,329067.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,25.0,萬里區,,,,無年齡維度,0.0,,萬里區,合計,4595.0,2292485.0,87041.0,64009.0,1689574.0,97968.0,56519.0,6459.0,5454.0,247353.0,1003.0,30196.0,860.0,6050.0,,,4014.0,,,,,,,,,新北市,2663565.0,
