民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,貢寮里,179.0,91103.0,1890.0,2368.0,68298.0,3945.0,1312.0,149.0,88.0,12451.0,0.0,357.0,116.0,128.0,,,349.0,,,,,,,,,新北市,108783.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,雙玉里,147.0,87996.0,294.0,290.0,65247.0,2773.0,1472.0,178.0,155.0,16470.0,0.0,543.0,0.0,574.0,,,1.0,,,,,,,,,新北市,99865.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍崗里,89.0,34796.0,1256.0,930.0,26388.0,1292.0,1283.0,49.0,92.0,3224.0,0.0,283.0,0.0,0.0,,,5.0,,,,,,,,,新北市,43447.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,吉林里,100.0,56297.0,1947.0,66.0,31679.0,2301.0,1716.0,1250.0,38.0,15841.0,0.0,304.0,0.0,1156.0,,,1.0,,,,,,,,,新北市,52230.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍門里,123.0,56640.0,1353.0,522.0,45151.0,1557.0,1517.0,87.0,150.0,5663.0,0.0,268.0,0.0,371.0,,,8.0,,,,,,,,,新北市,72161.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福隆里,336.0,165429.0,4098.0,3638.0,120439.0,12832.0,4869.0,3346.0,460.0,12743.0,0.0,2784.0,0.0,220.0,,,186.0,,,,,,,,,新北市,188722.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福連里,162.0,75160.0,3671.0,1461.0,55433.0,3505.0,1713.0,201.0,185.0,7797.0,0.0,1160.0,0.0,34.0,,,2.0,,,,,,,,,新北市,89426.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,仁里里,424.0,211575.0,7510.0,6808.0,156005.0,8142.0,2146.0,436.0,415.0,26666.0,0.0,2951.0,0.0,496.0,,,22.0,,,,,,,,,新北市,250040.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,真理里,427.0,214950.0,6387.0,7979.0,137156.0,7000.0,4996.0,118.0,227.0,47263.0,77.0,3517.0,180.0,49.0,,,447.0,,,,,,,,,新北市,222292.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,美豐里,144.0,51795.0,1233.0,1485.0,39699.0,1316.0,936.0,267.0,22.0,5791.0,0.0,1045.0,0.0,0.0,,,0.0,,,,,,,,,新北市,68529.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,和美里,197.0,87836.0,1200.0,810.0,67866.0,2956.0,4461.0,120.0,124.0,9143.0,0.0,691.0,225.0,238.0,,,569.0,,,,,,,,,新北市,108946.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,合計,2328.0,1133578.0,30840.0,26359.0,813363.0,47617.0,26423.0,6202.0,1955.0,163053.0,77.0,13902.0,521.0,3266.0,,,1590.0,,,,,,,,,新北市,1304441.0,
