民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,仁德里,614.0,342960.0,3197.0,4731.0,280331.0,12121.0,6430.0,2428.0,1011.0,27050.0,0.0,3743.0,0.0,1920.0,,,291.0,,,,,,,,,新北市,412744.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,義民里,426.0,257234.0,4623.0,12362.0,172688.0,13023.0,11331.0,429.0,317.0,39012.0,9.0,1625.0,6.0,1810.0,,,532.0,,,,,,,,,新北市,256869.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,禮門里,350.0,236074.0,1359.0,4305.0,177341.0,10468.0,9753.0,1218.0,539.0,26547.0,0.0,4292.0,0.0,252.0,,,348.0,,,,,,,,,新北市,252566.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,智慧里,1697.0,1379730.0,15428.0,37744.0,1081844.0,40242.0,25644.0,7431.0,2606.0,144493.0,1988.0,18095.0,680.0,3534.0,,,3187.0,,,,,,,,,新北市,1461068.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,信望里,115.0,97271.0,1327.0,3799.0,47408.0,3753.0,9329.0,117.0,148.0,30836.0,0.0,465.0,0.0,91.0,,,215.0,,,,,,,,,新北市,69113.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,橋東里,1142.0,815039.0,6153.0,17120.0,659113.0,25469.0,17165.0,3864.0,1431.0,65784.0,0.0,14792.0,0.0,4148.0,,,1159.0,,,,,,,,,新北市,927364.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,茄苳里,1353.0,740065.0,17697.0,13226.0,624357.0,19083.0,10746.0,2350.0,1047.0,36436.0,1137.0,9216.0,51.0,4719.0,,,946.0,,,,,,,,,新北市,946081.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保安里,525.0,247850.0,9562.0,2214.0,189363.0,7967.0,15180.0,1530.0,376.0,19297.0,0.0,2317.0,1.0,42.0,,,389.0,,,,,,,,,新北市,302147.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保長里,1634.0,1011114.0,13427.0,13151.0,872355.0,20675.0,12905.0,3731.0,2487.0,43669.0,148.0,24907.0,87.0,3573.0,,,1120.0,,,,,,,,,新北市,1275445.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,鄉長里,738.0,400150.0,8288.0,14026.0,306680.0,14802.0,8462.0,979.0,784.0,34020.0,0.0,7724.0,0.0,4384.0,,,325.0,,,,,,,,,新北市,466416.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,江北里,1982.0,1107176.0,21202.0,27053.0,905002.0,30029.0,20218.0,1459.0,2278.0,79528.0,1054.0,15561.0,284.0,3510.0,,,2034.0,,,,,,,,,新北市,1355460.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,烘內里,512.0,296825.0,3921.0,7032.0,208728.0,14457.0,11413.0,883.0,501.0,39282.0,4566.0,2664.0,0.0,3378.0,,,476.0,,,,,,,,,新北市,307524.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,拱北里,1517.0,703040.0,14965.0,19292.0,586728.0,17731.0,11039.0,2214.0,1179.0,39296.0,161.0,8223.0,126.0,2085.0,,,1320.0,,,,,,,,,新北市,914088.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,樟樹里,678.0,355962.0,4356.0,8383.0,282114.0,10303.0,13730.0,2674.0,558.0,27002.0,1801.0,4068.0,341.0,632.0,,,1262.0,,,,,,,,,新北市,424935.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,北峰里,1668.0,1014287.0,23121.0,28678.0,815798.0,24829.0,27863.0,6596.0,2167.0,64437.0,678.0,18113.0,608.0,1398.0,,,3659.0,,,,,,,,,新北市,1195269.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,北山里,1994.0,1338013.0,21495.0,39911.0,1044120.0,48333.0,35772.0,2091.0,2457.0,115851.0,1058.0,21150.0,1498.0,4276.0,,,4418.0,,,,,,,,,新北市,1479659.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,八連里,300.0,167372.0,4650.0,2892.0,109270.0,3249.0,8508.0,1278.0,245.0,16628.0,154.0,20024.0,0.0,473.0,,,31.0,,,,,,,,,新北市,170182.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,白雲里,1444.0,1134497.0,13661.0,40028.0,885430.0,32765.0,34667.0,3952.0,2151.0,81401.0,14049.0,20857.0,83.0,5455.0,,,1700.0,,,,,,,,,新北市,1217850.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,橫科里,1462.0,955017.0,15419.0,23427.0,785777.0,36218.0,11072.0,1329.0,1817.0,61076.0,2490.0,13783.0,952.0,1657.0,,,2404.0,,,,,,,,,新北市,1106424.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,東山里,181.0,94596.0,2216.0,2642.0,56861.0,2652.0,14186.0,269.0,259.0,14967.0,0.0,505.0,0.0,38.0,,,236.0,,,,,,,,,新北市,92891.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,新昌里,1828.0,1342762.0,14385.0,26603.0,1059281.0,47809.0,50835.0,4583.0,1566.0,113661.0,2870.0,19402.0,327.0,1439.0,,,2900.0,,,,,,,,,新北市,1476183.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,秀峰里,1383.0,925405.0,14159.0,20646.0,722535.0,30287.0,18637.0,2576.0,1607.0,91315.0,9.0,18148.0,155.0,5331.0,,,1810.0,,,,,,,,,新北市,1026456.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,復興里,2661.0,2658130.0,23178.0,49495.0,2138452.0,89403.0,46956.0,9715.0,6225.0,234912.0,2370.0,34813.0,1581.0,21031.0,,,6240.0,,,,,,,,,新北市,2749226.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,長安里,494.0,258911.0,3956.0,6399.0,211828.0,7832.0,5078.0,450.0,631.0,19486.0,130.0,2745.0,16.0,359.0,,,411.0,,,,,,,,,新北市,318251.0,
109,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,福山里,1360.0,1418982.0,5935.0,36491.0,1034333.0,53191.0,30099.0,6592.0,2167.0,190379.0,20505.0,25127.0,1110.0,13053.0,,,5652.0,,,,,,,,,新北市,1332170.0,
